probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11716876_a_at,TSTA3,0.0659,1.0,1.744369466666666,0.7424
11719581_a_at,BPGM,0.0276,1.0,3.3879618999999996,0.6801
11731452_s_at,SEC62,0.0448,1.0,2.0619120666666673,0.6264
11756301_x_at,TSTA3,0.0427,1.0,1.9330776999999983,0.5926
11725497_a_at,RAP1GAP,0.0149,1.0,3.251957766666667,0.5649
11721029_a_at,PIP5K1B,0.037,1.0,2.0196019666666665,0.5613
11736395_a_at,BPGM,0.0107,1.0,3.326534500000002,0.5434
11749318_a_at,TSTA3,0.0338,1.0,2.0494480999999993,0.5412
11732236_a_at,GYPA,0.0107,1.0,3.306031566666667,0.5405
11731454_a_at,SEC62,0.0515,1.0,1.0380897666666673,0.535
11761538_x_at,TSTA3,0.0371,1.0,1.8240181666666668,0.5349
11739787_a_at,IGF2 /// INS-IGF2,0.0067,1.0,3.452315566666668,0.5305
11721930_a_at,TMCC2,0.0187,1.0,2.760081200000001,0.5254
11756003_x_at,IGF2 /// INS-IGF2,0.0068,1.0,3.3839208999999992,0.5218
11729582_s_at,CA1,0.0029,0.8,3.5690905000000015,0.5179
11720807_x_at,EIF1AY,0.0023,1.0,3.5986673666666675,0.5175
11756160_x_at,CTNNAL1,0.0223,1.0,2.3980114666666674,0.5024
11736538_s_at,RHCE /// RHD,0.0063,1.0,3.241274266666667,0.4981
11717871_s_at,KANK2,0.0228,1.0,2.3181233999999984,0.4951
11740680_s_at,RHCE /// RHD,0.003,0.4,3.393371066666668,0.4942
11721030_a_at,PIP5K1B,0.0263,1.0,1.979424833333332,0.4746
11742315_s_at,RHCE /// RHD,0.001,1.0,3.3175550666666664,0.4685
11720494_a_at,CTNNAL1,0.009,1.0,2.861242166666666,0.4658
11742143_s_at,RHCE /// RHD,0.0008,1.0,3.308573133333333,0.4658
11729583_x_at,CA1,0.0,0.0,3.3250272333333335,0.462
11745300_a_at,DNAJC6,0.0095,1.0,2.7797734333333333,0.4583
11737280_at,IFIT1B,0.0055,0.8,2.997013800000002,0.4581
11736696_a_at,HEMGN,0.0061,1.0,2.943764233333332,0.4553
11731448_a_at,SNCA,0.0032,1.0,3.0973600999999986,0.4546
11740553_a_at,XPC,0.0466,1.0,0.7199724999999981,0.4536
11728821_a_at,HEPACAM2,0.0104,1.0,2.665415500000001,0.4492
11754453_s_at,NUDT4 /// NUDT4P1 /// NUDT4P2,0.0139,1.0,2.4595467999999974,0.4472
11721656_s_at,CISD2,0.0145,1.0,2.413650433333335,0.4454
11747546_a_at,PIP5K1B,0.0207,1.0,2.031364066666666,0.4393
11728138_at,XK,0.0041,1.0,2.8971089,0.4336
11732235_a_at,GYPA,0.0057,1.0,2.7993409333333346,0.4322
11739340_at,FAM46C,0.0062,1.0,2.7707061999999985,0.432
11729920_at,BBOF1,0.0038,1.0,2.8918062000000013,0.4306
11723952_at,KRT1,0.0112,1.0,2.4863892666666665,0.4304
11755059_s_at,TCF3,0.0287,1.0,1.5078762333333318,0.4273
11727161_a_at,NFIX,0.0147,1.0,2.259005466666669,0.4254
11751870_x_at,GYPA,0.0101,1.0,2.4873336,0.4222
11753827_x_at,GYPB,0.0031,1.0,2.8288814333333336,0.4166
11745557_x_at,GYPB,0.0,0.8,2.9866562666666656,0.415
11715752_at,TSPAN7,0.0099,1.0,2.4349415999999984,0.4134
11727807_at,FECH,0.002,1.0,2.8394822333333343,0.4097
11727970_a_at,SLC14A1,0.0078,1.0,2.5004742333333345,0.4066
11728137_at,XK,0.0024,1.0,2.7655192333333343,0.4025
11733360_x_at,SLC14A1,0.004,0.8,2.661250633333334,0.4001
11758559_s_at,NUDT4 /// NUDT4P1 /// NUDT4P2,0.0082,1.0,2.4202598,0.3985
11753662_x_at,GYPB,0.0011,1.0,2.7988595,0.3972
11745299_x_at,GYPB,0.0001,1.0,2.8525980666666673,0.3971
11721931_s_at,TMCC2,0.0139,1.0,2.066174533333334,0.3925
11724635_at,YOD1,0.008,1.0,2.3674640333333343,0.3896
11715792_a_at,STOM,0.0213,1.0,1.6270079666666657,0.3877
11739230_a_at,ARL4A,0.0079,1.0,2.3463522,0.3859
11757303_s_at,BNIP3L,0.0161,1.0,1.8325246333333336,0.3768
11750918_a_at,HEPACAM2,0.0041,1.0,2.4682174666666654,0.374
11752881_s_at,RHCE /// RHD,0.0011,0.4,2.6207114333333337,0.3725
11739338_at,FAM46C,0.0032,1.0,2.5064215,0.3725
