gene_rank,gene_symbol,probe_id,probe_rank,probe_type,multivariate_score,abs_fold_change,log_fold_change,mean_sonfh,mean_control,t_stat,p_value,iqr,variance
1,TSTA3,11716876_a_at,1,_a_at,17.6972,1.7444,-1.7444,6.8435,8.5879,-16.2068,1.330146854288693e-10,0.9993,0.6619
2,CA1,11729582_s_at,2,_s_at,15.3433,3.5691,-3.5691,6.5496,10.1187,-6.2021,3.828628820018584e-05,2.289,4.2447
3,GYPA,11732236_a_at,3,_a_at,15.217,3.306,-3.306,3.8002,7.1062,-7.1129,1.8167379160408342e-05,1.603,3.0486
4,BPGM,11719581_a_at,4,_a_at,15.1416,3.388,-3.388,5.7235,9.1115,-6.698,4.0175898351843816e-05,1.7594,3.2101
5,RHCE /// RHD,11740680_s_at,7,_s_at,14.4762,3.3934,-3.3934,4.1543,7.5477,-5.9165,7.310598135941998e-05,2.2767,3.8526
6,RAP1GAP,11725497_a_at,8,_a_at,14.3517,3.252,-3.252,5.9021,9.1541,-6.3413,5.3562850264016305e-05,2.3363,3.1668
7,CTNNAL1,11720494_a_at,12,_a_at,13.646,2.8612,-2.8612,4.173,7.0343,-7.1024,2.794279720919578e-05,1.3322,2.1651
8,SNCA,11731448_a_at,13,_a_at,13.4019,3.0974,-3.0974,5.4548,8.5522,-5.8765,9.090367277020938e-05,1.5806,3.1288
9,IFIT1B,11737280_at,14,_at,13.1036,2.997,-2.997,6.5115,9.5085,-5.9385,9.172708940320733e-05,1.7264,2.8455
10,HEMGN,11736696_a_at,15,_a_at,12.9769,2.9438,-2.9438,6.0469,8.9907,-6.0071,7.552788355184446e-05,1.6156,2.7715
11,IGF2 /// INS-IGF2,11739787_a_at,16,_a_at,12.7876,3.4523,-3.4523,4.9491,8.4014,-3.752,0.003817020655103653,2.0907,5.0655
12,HEPACAM2,11728821_a_at,18,_a_at,12.6816,2.6654,-2.6654,3.4253,6.0907,-6.7862,4.1208744085198813e-05,1.6328,1.9293
13,TMCC2,11721930_a_at,20,_a_at,12.5585,2.7601,-2.7601,6.377,9.1371,-6.2659,7.044940958144853e-05,1.5032,2.2315
14,BBOF1,11729920_at,21,_at,12.5318,2.8918,-2.8918,4.6651,7.5569,-5.7073,0.00013885436659678927,1.7877,2.6893
15,EIF1AY,11720807_x_at,22,_x_at,12.2928,3.5987,-3.5987,4.1371,7.7357,-2.5999,0.023945376887811565,5.3434,11.4099
16,FAM46C,11739340_at,24,_at,12.1109,2.7707,-2.7707,5.7539,8.5246,-5.7122,0.00013226981529050217,1.7876,2.4909
17,GYPB,11745557_x_at,25,_x_at,12.1011,2.9867,-2.9867,7.0497,10.0364,-4.835,0.0006177011828315022,1.3801,3.1266
18,SLC14A1,11733360_x_at,26,_x_at,12.0614,2.6613,-2.6613,5.6396,8.3009,-6.0944,3.8690690524544944e-05,2.0124,2.4584
19,NUDT4 /// NUDT4P1 /// NUDT4P2,11758559_s_at,27,_s_at,12.0543,2.4203,-2.4203,6.5721,8.9923,-7.0526,1.961339594189227e-05,1.5724,1.643
20,XK,11728137_at,28,_at,12.0474,2.7655,-2.7655,6.5111,9.2766,-5.6606,0.00011278769663526003,1.7963,2.6387
21,FECH,11727808_s_at,29,_s_at,12.0313,2.525,-2.525,8.1118,10.6368,-6.6066,1.985612440571032e-05,1.8622,2.0286
22,DNAJC6,11745300_a_at,31,_a_at,11.9125,2.7798,-2.7798,2.5112,5.291,-5.4492,0.0003683085159892779,0.4908,2.1593
23,KANK2,11717871_s_at,37,_s_at,11.4471,2.3181,-2.3181,5.1109,7.429,-6.769,2.3735883612434326e-05,1.3272,1.5885
24,HBD /// HBD,11725438_a_at,44,_a_at,11.0185,2.4431,-2.4431,9.9768,12.4199,-5.7784,2.3105558394686125e-05,1.5764,2.5849
25,CISD2,11721656_s_at,46,_s_at,10.8595,2.4137,-2.4137,6.5538,8.9675,-5.7147,0.00024317352955413948,0.6769,1.6133
26,DYRK3,11733482_a_at,48,_a_at,10.7438,2.4242,-2.4242,4.1477,6.5719,-5.5404,0.0002627780668098573,1.2617,1.739
27,PIP5K1B,11721029_a_at,52,_a_at,10.6524,2.0196,-2.0196,4.0167,6.0363,-7.0584,3.2443552865886374e-05,0.9539,1.068
28,NFIX,11727161_a_at,54,_a_at,10.515,2.259,-2.259,4.3429,6.6019,-5.9416,0.00014429484451752367,1.1705,1.4611
29,ISCA1,11716467_x_at,57,_x_at,10.4466,2.344,-2.344,7.2882,9.6322,-5.5226,0.0002467226345179766,1.2209,1.6722
30,TSPAN7,11715752_at,58,_at,10.3841,2.4349,-2.4349,4.4821,6.9171,-5.0868,0.0005243492624943695,0.9314,1.8328
31,YOD1,11724635_at,61,_at,10.2686,2.3675,-2.3675,6.9757,9.3431,-5.2251,0.00042500433970391814,1.0526,1.707
32,KRT1,11723952_at,63,_at,10.2524,2.4864,-2.4864,7.5966,10.083,-4.7299,0.00041524238900430725,2.2671,2.7363
33,SEC62,11731452_s_at,66,_s_at,10.1428,2.0619,-2.0619,5.9612,8.0231,-6.3069,0.00011206891300802503,0.6444,1.1183
34,ARL4A,11739230_a_at,67,_a_at,10.1121,2.3464,-2.3464,4.3788,6.7251,-5.131,0.0005474792323824162,0.5286,1.6219
35,UBE2H,11728669_a_at,68,_a_at,10.0834,2.2584,-2.2584,6.7453,9.0037,-5.4511,0.0003083254684994911,0.8973,1.5096
36,RIOK3,11747125_a_at,69,_a_at,10.0634,2.1005,-2.1005,7.6978,9.7983,-6.0614,7.685451041574071e-05,1.3366,1.3753
37,ACSL6,11722470_x_at,70,_x_at,9.9839,2.4637,-2.4637,5.3306,7.7944,-4.5143,0.0010639438489273264,1.218,2.2195
38,MXI1,11730499_a_at,71,_a_at,9.945,2.2794,-2.2794,4.2593,6.5386,-5.2089,0.00040843126478194074,1.0042,1.6219
39,RHD,11737267_a_at,72,_a_at,9.9372,2.4665,-2.4665,4.4262,6.8927,-4.4497,0.0009459763448924459,1.661,2.5163
40,AHSP,11718997_at,74,_at,9.8452,2.3223,-2.3223,8.3027,10.625,-4.9229,0.000255794596192546,1.6439,2.3812
41,TCF3,11755059_s_at,75,_s_at,9.8321,1.5079,-1.5079,7.0943,8.6021,-8.1735,5.583069268935378e-06,0.765,0.5795
42,STOM,11715792_a_at,76,_a_at,9.8207,1.627,-1.627,7.7874,9.4144,-7.6829,1.2511251152335165e-05,0.7598,0.6805
43,ABCG2,11724538_a_at,80,_a_at,9.6954,2.3299,-2.3299,4.2588,6.5888,-4.7213,0.0008079033786698684,1.4642,1.8655
44,TBCEL,11733941_a_at,81,_a_at,9.6105,2.0215,-2.0215,3.7382,5.7597,-5.861,0.00012500020966152564,1.2891,1.2531
45,SIAH2,11743067_at,82,_at,9.5979,2.0979,-2.0979,7.7135,9.8114,-5.5403,0.00014084928141592197,1.461,1.5358
46,TFDP2,11758929_at,83,_at,9.5463,1.9824,-1.9824,3.4949,5.4773,-5.9444,0.00011162604421594393,1.2044,1.1914
47,ALDH5A1,11719359_a_at,87,_a_at,9.3239,2.0644,-2.0644,5.2089,7.2733,-5.3617,0.00029420894145317894,1.0074,1.348
48,XPC,11740553_a_at,90,_a_at,9.2082,0.72,0.72,6.2335,5.5135,10.6203,1.3115145884386347e-09,0.4959,0.1429
49,SLC7A5,11739061_at,91,_at,9.2025,2.0134,-2.0134,5.6804,7.6938,-5.4276,0.0002704285351220945,0.9995,1.266
50,BNIP3L,11757303_s_at,92,_s_at,9.1964,1.8325,-1.8325,9.4158,11.2484,-6.146,9.541391145448811e-05,0.8296,0.9695
51,USP12,11733100_at,96,_at,9.1018,1.9844,-1.9844,4.1609,6.1453,-5.4288,0.00025926452709645897,1.2492,1.2444
52,ABCC13,11751970_a_at,97,_a_at,9.0797,2.3048,-2.3048,4.5895,6.8943,-4.1189,0.0016538344495254662,1.5882,2.3941
53,SOX6,11726179_a_at,98,_a_at,9.0437,2.0803,-2.0803,2.648,4.7283,-4.978,0.0006204425605372879,0.6852,1.3531
54,RHAG,11729757_a_at,99,_a_at,9.0339,1.6936,-1.6936,3.5252,5.2189,-6.5173,6.392337550300918e-05,0.7895,0.7849
55,TFDP1,11748055_x_at,103,_x_at,8.9026,1.9371,-1.9371,6.0136,7.9507,-5.391,0.00036449694776530034,0.4278,1.0884
56,ST6GALNAC4,11754274_a_at,104,_a_at,8.878,1.7038,-1.7038,3.8674,5.5713,-6.2984,1.5431301558471782e-05,1.3246,1.0629
57,SLC4A1,11758430_s_at,107,_s_at,8.7606,2.0701,-2.0701,9.5366,11.6066,-4.6956,0.0002812303557878848,1.8461,2.2064
58,GLRX5,11721674_s_at,109,_s_at,8.7352,1.738,-1.738,9.699,11.437,-5.9982,2.9187788228320617e-05,1.4851,1.141
59,TMEM56,11729940_x_at,111,_x_at,8.7192,2.1123,-2.1123,4.4794,6.5917,-4.4791,0.0009253908142840214,1.9586,1.8098
60,HDGF,11739002_a_at,113,_a_at,8.6885,1.3298,-1.3298,8.9983,10.3282,-7.5817,2.3295496070191492e-06,0.9241,0.542
61,PITHD1,11756446_a_at,114,_a_at,8.6702,1.8848,-1.8848,8.4199,10.3046,-5.3353,0.00020498368141571438,1.2195,1.266
62,CCR3,11740646_a_at,115,_a_at,8.67,2.2658,2.2658,7.7675,5.5017,3.8074,0.0032262246690858707,1.738,2.295
63,MAP4K5,11724907_a_at,116,_a_at,8.6565,1.3196,-1.3196,6.325,7.6446,-7.586,3.26124879853166e-06,0.9955,0.5186
64,IFI27,11715893_s_at,118,_s_at,8.6429,2.4824,-2.4824,7.896,10.3785,-2.9079,0.011440871364865223,4.2639,5.8902
65,PNP,11718400_a_at,120,_a_at,8.6357,1.442,-1.442,8.1421,9.5841,-7.0715,3.951869601316318e-05,0.4383,0.5274
66,CLIC2,11734784_a_at,122,_a_at,8.5586,1.8548,-1.8548,3.0333,4.8881,-5.3282,0.00041592777638215753,0.6241,0.9895
