gene_symbol,selected_probe_count,probe_ids,probe_types,max_abs_fold_change,mean_abs_fold_change,direction_consistency,notes
EIF1AY,1,11720807_x_at,_x_at,3.5987,3.5987,single,contains _x_at probe (cross-hybridising — interpret with care)
CA1,2,11729582_s_at | 11729583_x_at,_s_at | _x_at,3.5691,3.4471,consistent,contains _x_at probe (cross-hybridising — interpret with care)
IGF2 /// INS-IGF2,2,11739787_a_at | 11756003_x_at,_a_at | _x_at,3.4523,3.4181,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHCE /// RHD,10,11740680_s_at | 11742143_s_at | 11736538_s_at | 11742315_s_at | 11737268_s_at | 11752881_s_at | 11752701_s_at | 11750456_s_at | 11736537_a_at | 11744722_x_at,_s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _a_at | _x_at,3.3934,2.6964,consistent,10 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
BPGM,2,11719581_a_at | 11736395_a_at,_a_at | _a_at,3.388,3.3572,consistent,
GYPA,5,11732236_a_at | 11732235_a_at | 11745661_x_at | 11751870_x_at | 11732237_a_at,_a_at | _a_at | _x_at | _x_at | _a_at,3.306,2.6241,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
RAP1GAP,1,11725497_a_at,_a_at,3.252,3.252,single,
SNCA,7,11731448_a_at | 11731446_s_at | 11753731_x_at | 11754090_a_at | 11753730_a_at | 11731447_x_at | 11739782_a_at,_a_at | _s_at | _x_at | _a_at | _a_at | _x_at | _a_at,3.0974,1.898,consistent,7 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
IFIT1B,1,11737280_at,_at,2.997,2.997,single,
GYPB,5,11745557_x_at | 11745299_x_at | 11753827_x_at | 11753662_x_at | 11763093_x_at,_x_at | _x_at | _x_at | _x_at | _x_at,2.9867,2.6207,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HEMGN,1,11736696_a_at,_a_at,2.9438,2.9438,single,
XK,3,11728137_at | 11728138_at | 11728136_at,_at | _at | _at,2.8971,2.56,consistent,3 probes selected — high representation
BBOF1,1,11729920_at,_at,2.8918,2.8918,single,
CTNNAL1,3,11720494_a_at | 11756160_x_at | 11745315_a_at,_a_at | _x_at | _a_at,2.8612,2.4081,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
FECH,3,11727808_s_at | 11727807_at | 11746263_a_at,_s_at | _at | _a_at,2.8395,2.641,consistent,3 probes selected — high representation
DNAJC6,1,11745300_a_at,_a_at,2.7798,2.7798,single,
FAM46C,3,11739340_at | 11739338_at | 11739339_s_at,_at | _at | _s_at,2.7707,2.4691,consistent,3 probes selected — high representation
TMCC2,5,11721930_a_at | 11744965_x_at | 11721931_s_at | 11721929_x_at | 11721928_a_at,_a_at | _x_at | _s_at | _x_at | _a_at,2.7601,2.121,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HEPACAM2,2,11728821_a_at | 11750918_a_at,_a_at | _a_at,2.6654,2.5668,consistent,
SLC14A1,3,11733360_x_at | 11727970_a_at | 11727969_a_at,_x_at | _a_at | _a_at,2.6613,2.5393,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
KRT1,1,11723952_at,_at,2.4864,2.4864,single,
IFI27,2,11715893_s_at | 11757480_x_at,_s_at | _x_at,2.4824,2.4239,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHD,5,11737267_a_at | 11741977_a_at | 11737269_x_at | 11752880_a_at | 11741979_at,_a_at | _a_at | _x_at | _a_at | _at,2.4665,2.1595,consistent,5 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ACSL6,3,11722470_x_at | 11722469_a_at | 11747143_x_at,_x_at | _a_at | _x_at,2.4637,2.1516,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
NUDT4 /// NUDT4P1 /// NUDT4P2,2,11758559_s_at | 11754453_s_at,_s_at | _s_at,2.4595,2.4399,consistent,
HBD /// HBD,2,11725438_a_at | 11725439_at,_a_at | _at,2.4431,2.3525,consistent,
TSPAN7,3,11715752_at | 11715753_a_at | 11751489_a_at,_at | _a_at | _a_at,2.4349,2.0993,consistent,3 probes selected — high representation
DYRK3,2,11733482_a_at | 11739937_a_at,_a_at | _a_at,2.4242,2.2409,consistent,
RNF182,1,11737774_a_at,_a_at,2.4195,2.4195,single,
CISD2,2,11721656_s_at | 11721655_at,_s_at | _at,2.4137,2.2552,consistent,
YOD1,1,11724635_at,_at,2.3675,2.3675,single,
ARL4A,4,11739230_a_at | 11756387_x_at | 11733139_a_at | 11733140_s_at,_a_at | _x_at | _a_at | _s_at,2.3464,1.9239,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ISCA1,3,11716467_x_at | 11716466_s_at | 11716468_s_at,_x_at | _s_at | _s_at,2.344,2.0436,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ABCG2,1,11724538_a_at,_a_at,2.3299,2.3299,single,
AHSP,1,11718997_at,_at,2.3223,2.3223,single,
KANK2,2,11717871_s_at | 11726538_x_at,_s_at | _x_at,2.3181,1.8859,consistent,contains _x_at probe (cross-hybridising — interpret with care)
ABCC13,2,11751970_a_at | 11745087_a_at,_a_at | _a_at,2.3048,2.1881,consistent,
UBE2H,4,11728669_a_at | 11728670_a_at | 11728672_x_at | 11728671_s_at,_a_at | _a_at | _x_at | _s_at,2.2997,2.0556,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
MXI1,4,11730499_a_at | 11739743_a_at | 11730843_a_at | 11739744_x_at,_a_at | _a_at | _a_at | _x_at,2.2794,1.8676,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
CCR3,1,11740646_a_at,_a_at,2.2658,2.2658,single,
NFIX,2,11727161_a_at | 11727162_x_at,_a_at | _x_at,2.259,1.8685,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHAG,2,11729757_a_at | 11758545_s_at,_a_at | _s_at,2.1314,1.9125,consistent,
FHDC1,1,11743306_at,_at,2.1142,2.1142,single,
TMEM56,1,11729940_x_at,_x_at,2.1123,2.1123,single,contains _x_at probe (cross-hybridising — interpret with care)
RIOK3,4,11747125_a_at | 11749176_a_at | 11725950_s_at | 11725951_at,_a_at | _a_at | _s_at | _at,2.1005,1.9494,consistent,4 probes selected — high representation
SIAH2,2,11743067_at | 11743068_at,_at | _at,2.0979,1.9528,consistent,
SOX6,1,11726179_a_at,_a_at,2.0803,2.0803,single,
SLC4A1,4,11758430_s_at | 11726489_at | 11726490_a_at | 11726491_at,_s_at | _at | _a_at | _at,2.0701,1.9246,consistent,4 probes selected — high representation
ALDH5A1,2,11719359_a_at | 11736619_a_at,_a_at | _a_at,2.0644,1.8141,consistent,
SEC62,5,11731452_s_at | 11731454_a_at | 11731451_at | 11731453_at | 11731449_s_at,_s_at | _a_at | _at | _at | _s_at,2.0619,1.5517,consistent,5 probes selected — high representation
TSTA3,4,11716876_a_at | 11756301_x_at | 11749318_a_at | 11761538_x_at,_a_at | _x_at | _a_at | _x_at,2.0494,1.8877,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
PIP5K1B,3,11721029_a_at | 11747546_a_at | 11721030_a_at,_a_at | _a_at | _a_at,2.0314,2.0101,consistent,3 probes selected — high representation
