Gene,FilterAUC
11740553_a_at,0.9966666666666667
11718185_a_at,0.9933333333333334
11725976_a_at,0.99
11755411_a_at,0.9833333333333334
11724224_a_at,0.9766666666666666
11736084_a_at,0.9766666666666666
11744351_a_at,0.9733333333333334
11746376_a_at,0.9733333333333334
11737423_a_at,0.9700000000000001
11724485_x_at,0.97
11754863_s_at,0.97
11734727_a_at,0.97
11725180_a_at,0.97
11757569_a_at,0.9666666666666668
11745744_a_at,0.9666666666666667
11747203_x_at,0.9666666666666667
11756479_x_at,0.9633333333333334
11756894_a_at,0.9633333333333334
11757379_a_at,0.9633333333333334
11728207_a_at,0.9600000000000001
11736159_a_at,0.96
11721777_at,0.96
11723848_s_at,0.96
11754197_x_at,0.96
11733801_s_at,0.96
11740096_a_at,0.9566666666666668
11748249_a_at,0.9566666666666667
11720392_at,0.9566666666666667
11716908_a_at,0.9566666666666667
11722574_at,0.9566666666666667
11719889_x_at,0.9566666666666666
11719149_a_at,0.9566666666666666
11720644_a_at,0.9566666666666666
11727905_a_at,0.9566666666666666
11721585_a_at,0.9566666666666666
11717993_at,0.9566666666666666
11747228_x_at,0.9533333333333335
11716904_s_at,0.9533333333333334
11726632_at,0.9533333333333334
11717721_s_at,0.9533333333333334
11746459_a_at,0.9533333333333334
11755068_s_at,0.9533333333333334
11732338_a_at,0.9533333333333334
11757369_s_at,0.9533333333333334
11745768_a_at,0.9533333333333334
11720998_a_at,0.9533333333333334
11745313_a_at,0.9533333333333334
11744592_a_at,0.9533333333333333
11757525_s_at,0.9500000000000001
11745276_a_at,0.9500000000000001
11717324_at,0.9500000000000001
11718297_a_at,0.9500000000000001
11737412_at,0.9500000000000001
11739009_a_at,0.9500000000000001
11756694_a_at,0.95
11724807_at,0.95
11733802_a_at,0.95
11731521_at,0.95
11724857_s_at,0.95
11732135_a_at,0.95
11720446_a_at,0.95
11740935_s_at,0.95
11753909_x_at,0.9466666666666668
11737940_s_at,0.9466666666666668
11729216_at,0.9466666666666668
11719025_a_at,0.9466666666666668
11756746_s_at,0.9466666666666667
11719038_a_at,0.9466666666666667
11747732_a_at,0.9466666666666667
11721221_at,0.9466666666666667
11731879_a_at,0.9466666666666667
11727483_a_at,0.9466666666666667
11739944_x_at,0.9466666666666667
11725813_at,0.9466666666666667
11717687_a_at,0.9466666666666667
11722752_a_at,0.9466666666666667
11721719_at,0.9466666666666667
11758215_s_at,0.9466666666666665
11757642_a_at,0.9466666666666665
11721834_a_at,0.9433333333333334
11757750_a_at,0.9433333333333334
11718472_s_at,0.9433333333333334
11757904_s_at,0.9433333333333334
11720493_s_at,0.9433333333333334
11731408_x_at,0.9433333333333334
11740162_a_at,0.9433333333333334
11727567_s_at,0.9433333333333334
11758386_s_at,0.9433333333333334
11740061_a_at,0.9433333333333334
11717217_at,0.9433333333333334
11745779_a_at,0.9433333333333334
11720236_a_at,0.9433333333333334
11760963_x_at,0.9433333333333334
11724013_a_at,0.9433333333333334
11730431_a_at,0.9433333333333334
11729343_at,0.9400000000000001
11733938_x_at,0.9400000000000001
11723178_s_at,0.9400000000000001
11727513_at,0.9400000000000001
11722216_a_at,0.9400000000000001
11720554_a_at,0.9400000000000001
11717720_a_at,0.9400000000000001
11732821_a_at,0.9400000000000001
11724979_a_at,0.9400000000000001
11742418_a_at,0.9400000000000001
11762627_x_at,0.94
11744409_a_at,0.94
11722960_a_at,0.94
11736158_x_at,0.94
11718370_a_at,0.94
11716765_s_at,0.94
11727947_at,0.94
11715424_x_at,0.94
11732189_at,0.94
11739268_s_at,0.94
11731880_at,0.94
11717019_x_at,0.94
11727304_at,0.94
11724326_a_at,0.94
11721220_s_at,0.94
11739989_a_at,0.9366666666666668
11724810_at,0.9366666666666668
11715615_at,0.9366666666666668
11716903_a_at,0.9366666666666668
11731424_x_at,0.9366666666666668
11754151_a_at,0.9366666666666666
11717544_a_at,0.9366666666666666
11718406_s_at,0.9366666666666666
11734501_a_at,0.9366666666666666
