probe_id,gene_symbol,Median_TestAUC,SD_TestAUC,abs_fold_change,univariate_score
11731798_a_at,LGALS2,1.0,0.1768494279453825,1.8983,1.8831
11741223_s_at,FAM198B,1.0,0.1825741858350553,1.831,1.8173
11733060_a_at,PELI1,1.0,0.0523782800878923,1.783,1.7703
11759824_a_at,LILRA1,1.0,0.1375864860815311,1.7076,1.6966
11715948_at,KCTD12,1.0,0.2318885309999782,1.6836,1.6731
11739379_a_at,FAM198B,1.0,0.1729276671100555,1.6821,1.6717
11731426_s_at,CXCR2 /// CXCR2P1,1.0,0.1622881651867158,1.6768,1.6665
11748311_s_at,VCAN,1.0,0.0523782800878923,1.6353,1.6259
11717762_a_at,CPVL,1.0,0.0165634664999984,1.607,1.5982
11731424_x_at,CXCR2,1.0,0.1141558148697958,1.6038,1.5951
11750862_a_at,ADGRE3,1.0,0.1325077319999875,1.5619,1.5541
11731425_at,CXCR2,1.0,0.0993807989999906,1.5447,1.5373
11751164_a_at,CPPED1,1.0,0.0662538659999937,1.5201,1.5132
11748164_a_at,VCAN,0.962962962962963,0.0993807989999906,1.8533,1.5072
11724979_a_at,DPEP2,1.0,0.0202860206483394,1.5019,1.4954
11733803_x_at,CPPED1,1.0,0.0202860206483394,1.5007,1.4942
11728840_at,TMCC3,1.0,0.0993807989999906,1.4759,1.47
11755281_a_at,TGFBI,0.962962962962963,0.2104929220501158,1.811,1.4659
11715757_a_at,RGS2,1.0,0.1129477828294585,1.4678,1.4621
11728828_at,F2RL1,1.0,0.152707615763617,1.4454,1.4401
11735177_at,HAL,0.962962962962963,0.1092435644722417,1.7646,1.4205
11722259_s_at,FAM174A,1.0,0.0721984766282145,1.425,1.4202
11733513_a_at,WLS,0.962962962962963,0.0422287194481162,1.7548,1.4109
11725516_s_at,ABCG1,1.0,0.1325077319999875,1.4131,1.4085
11755009_s_at,VCAN,0.962962962962963,0.1129477828294586,1.7508,1.407
11733691_a_at,SIGLEC7,1.0,0.0993807989999906,1.4067,1.4023
11725827_s_at,CD1D,1.0,0.0,1.403,1.3987
11733802_a_at,CPPED1,1.0,0.0496903994999953,1.3978,1.3936
11733801_s_at,CPPED1,1.0,0.0331269329999968,1.3925,1.3884
11725517_x_at,ABCG1,1.0,0.1293648088635035,1.392,1.3879
11757288_s_at,CST3,1.0,0.1643877112679418,1.3746,1.3709
11719307_a_at,RASSF4,1.0,0.1513541980866855,1.3708,1.3672
11737388_s_at,MTMR11,1.0,0.1123388954674303,1.3686,1.365
11736509_x_at,IL6R,1.0,0.0,1.3685,1.3649
11752737_a_at,CLEC7A,1.0,0.0202860206483394,1.3673,1.3638
11721454_a_at,SERPINA1,1.0,0.1605887658420652,1.3668,1.3633
11750769_s_at,CCR2,1.0,0.1729276671100555,1.349,1.3459
11726122_at,MYO1F,1.0,0.0,1.3474,1.3443
11733403_x_at,CLEC7A,1.0,0.0828173324999922,1.3419,1.3389
11720644_a_at,PECAM1,1.0,0.0482903881866862,1.3317,1.3289
11759088_at,MARCH1,1.0,0.0802943829210325,1.3315,1.3287
11739521_at,ST8SIA4,1.0,0.0331269329999968,1.3266,1.3239
11718657_a_at,MIR21 /// VMP1,1.0,0.0662538659999937,1.3196,1.3171
11721346_a_at,MPEG1,1.0,0.1325077319999875,1.3124,1.3101
11732181_x_at,PTAFR,1.0,0.1325077319999875,1.31,1.3077
11727905_a_at,IL13RA1,0.962962962962963,0.0692899516069248,1.6465,1.305
11726205_at,CCNJL,1.0,0.1141558148697958,1.307,1.3048
11744529_a_at,PELI1,1.0,0.0811440825933579,1.3025,1.3004
11720989_a_at,SLC7A7,1.0,0.1844429570072404,1.2997,1.2976
11716129_at,IGF2R,1.0,0.1129477828294585,1.2976,1.2956
11752771_a_at,CHST15,1.0,0.0523782800878924,1.2929,1.291
11731728_at,P2RY13,1.0,0.0802943829210325,1.2888,1.287
11757783_s_at,VCAN,0.962962962962963,0.106702668821392,1.6237,1.2827
11730996_a_at,AMICA1,1.0,0.0662538659999937,1.2817,1.28
11746972_a_at,MARCH1,1.0,0.0993807989999906,1.2749,1.2734
11728989_a_at,MSL1,1.0,0.0331269329999968,1.2718,1.2703
11742686_a_at,FCGRT,1.0,0.0482903881866862,1.2707,1.2693
11731879_a_at,NLRP1,1.0,0.0165634664999983,1.2655,1.2642
11728424_x_at,PILRA,1.0,0.0165634664999983,1.2653,1.264
11733061_s_at,PELI1,0.962962962962963,0.0868595511078413,1.6006,1.2601
11722904_a_at,TBC1D9,1.0,0.2045437225405047,1.2556,1.2545
11722406_at,PFKFB4,1.0,0.0965807763733725,1.2506,1.2496
11727904_s_at,IL13RA1,1.0,0.0496903994999952,1.2474,1.2465
11756827_a_at,RTN1,1.0,0.0331269329999968,1.2435,1.2427
11751544_a_at,MYO1F,1.0,0.1643877112679417,1.2429,1.2421
11745912_a_at,PELI1,0.962962962962963,0.0868595511078412,1.582,1.2419
11732728_at,SLITRK4,1.0,0.0331269329999968,1.241,1.2402
11733768_x_at,LILRA2,1.0,0.1768494279453825,1.2332,1.2326
11743130_a_at,SORL1,1.0,0.0811440825933579,1.2301,1.2296
11757635_a_at,TYROBP,1.0,0.0828173324999922,1.2232,1.2228
11726276_at,SNN,1.0,0.0828173324999922,1.2229,1.2225
11731054_s_at,FNIP1,1.0,0.0641500299099584,1.2203,1.22
11745192_a_at,EPB41L3,1.0,0.118286810538306,1.2135,1.2133
11736575_x_at,GPR155,1.0,0.0,1.2112,1.2111
11759127_at,CD300E,0.962962962962963,0.1325077319999875,1.5447,1.2054
11716073_a_at,ATP6V1B2,1.0,0.0331269329999968,1.2044,1.2044
11732373_a_at,TSEN34,1.0,0.1293648088635035,1.2016,1.2017
11748747_a_at,ARHGAP25,1.0,0.0993807989999906,1.2005,1.2006
11730788_a_at,APLP2,1.0,0.0331269329999968,1.2002,1.2003
11746456_x_at,GPR155,1.0,0.0,1.2001,1.2002
11724326_a_at,ARHGAP25,1.0,0.1014301032416973,1.1993,1.1994
11746639_a_at,RASSF2,1.0,0.1129477828294586,1.1938,1.1941
11728926_at,NFAM1,1.0,0.1803060954761197,1.1839,1.1844
11744313_a_at,ST20,0.962962962962963,0.0922214785036201,1.5213,1.1825
11723287_at,TYROBP,1.0,0.115944265499989,1.1795,1.1801
11716128_at,IGF2R,1.0,0.144396953256429,1.1747,1.1754
11726492_a_at,ABCG1,1.0,0.1490711984999859,1.1734,1.1741
11736783_s_at,RAB11FIP1,0.962962962962963,0.11886523359912,1.5124,1.1738
11718724_at,ARRDC3,1.0,0.115944265499989,1.173,1.1737
11739720_a_at,GIMAP8,1.0,0.0852656624683061,1.172,1.1727
11743736_at,MOSPD2,1.0,0.2028602064833948,1.1704,1.1712
11757808_s_at,RERE,1.0,0.0202860206483394,1.1675,1.1683
11723156_a_at,LSP1,1.0,0.0965807763733725,1.1658,1.1667
11746957_a_at,TNFRSF10C,1.0,0.0331269329999968,1.1651,1.166
11732415_s_at,TIAM1,1.0,0.0922214785036202,1.1607,1.1617
11728972_a_at,PTPRJ,1.0,0.0662538659999937,1.1557,1.1568
11741086_x_at,APLP2,1.0,0.0405720412966789,1.1551,1.1562
11757383_a_at,CTSH,1.0,0.0,1.1463,1.1476
11719183_a_at,DEF8,1.0,0.152707615763617,1.1456,1.1469
11761116_a_at,FAM65B,1.0,0.0802943829210325,1.14,1.1414
