@RELATION univariate_ann

@ATTRIBUTE 11718185_a_at NUMERIC
@ATTRIBUTE 11725976_a_at NUMERIC
@ATTRIBUTE 11754863_s_at NUMERIC
@ATTRIBUTE 11726632_at NUMERIC
@ATTRIBUTE 11720493_s_at NUMERIC
@ATTRIBUTE 11740162_a_at NUMERIC
@ATTRIBUTE 11760963_x_at NUMERIC
@ATTRIBUTE 11730431_a_at NUMERIC
@ATTRIBUTE 11716903_a_at NUMERIC
@ATTRIBUTE 11717544_a_at NUMERIC
@ATTRIBUTE 11724484_a_at NUMERIC
@ATTRIBUTE 11725440_a_at NUMERIC
@ATTRIBUTE 11721513_a_at NUMERIC
@ATTRIBUTE 200021_PM_at NUMERIC
@ATTRIBUTE 11741435_s_at NUMERIC
@ATTRIBUTE 11748747_a_at NUMERIC
@ATTRIBUTE 11745742_s_at NUMERIC
@ATTRIBUTE 11732181_x_at NUMERIC
@ATTRIBUTE 11718196_x_at NUMERIC
@ATTRIBUTE 11736017_s_at NUMERIC
@ATTRIBUTE 11723156_a_at NUMERIC
@ATTRIBUTE 11731426_s_at NUMERIC
@ATTRIBUTE 11752510_x_at NUMERIC
@ATTRIBUTE 11722269_a_at NUMERIC
@ATTRIBUTE 11722387_at NUMERIC
@ATTRIBUTE 11720097_at NUMERIC
@ATTRIBUTE 11742686_a_at NUMERIC
@ATTRIBUTE 11755572_x_at NUMERIC
@ATTRIBUTE 11728989_a_at NUMERIC
@ATTRIBUTE 11754831_a_at NUMERIC
@ATTRIBUTE 11737749_a_at NUMERIC
@ATTRIBUTE 11746456_x_at NUMERIC
@ATTRIBUTE 11722270_at NUMERIC
@ATTRIBUTE 11718120_at NUMERIC
@ATTRIBUTE 11718121_x_at NUMERIC
@ATTRIBUTE 11725924_a_at NUMERIC
@ATTRIBUTE 11741351_s_at NUMERIC
@ATTRIBUTE 11721716_s_at NUMERIC
@ATTRIBUTE 11756827_a_at NUMERIC
@ATTRIBUTE 11723842_s_at NUMERIC
@ATTRIBUTE 11727841_a_at NUMERIC
@ATTRIBUTE 11744067_s_at NUMERIC
@ATTRIBUTE 11736575_x_at NUMERIC
@ATTRIBUTE 11715706_x_at NUMERIC
@ATTRIBUTE 11733768_x_at NUMERIC
@ATTRIBUTE 11720230_at NUMERIC
@ATTRIBUTE 11740553_a_at NUMERIC
@ATTRIBUTE 11755411_a_at NUMERIC
@ATTRIBUTE 11736084_a_at NUMERIC
@ATTRIBUTE 11744351_a_at NUMERIC
@ATTRIBUTE 11737423_a_at NUMERIC
@ATTRIBUTE 11757569_a_at NUMERIC
@ATTRIBUTE 11747203_x_at NUMERIC
@ATTRIBUTE 11756894_a_at NUMERIC
@ATTRIBUTE 11757379_a_at NUMERIC
@ATTRIBUTE 11754197_x_at NUMERIC
@ATTRIBUTE 11716908_a_at NUMERIC
@ATTRIBUTE 11720644_a_at NUMERIC
@ATTRIBUTE 11716904_s_at NUMERIC
@ATTRIBUTE 11757525_s_at NUMERIC
@ATTRIBUTE 11717324_at NUMERIC
@ATTRIBUTE 11724807_at NUMERIC
@ATTRIBUTE 11733802_a_at NUMERIC
@ATTRIBUTE 11732135_a_at NUMERIC
@ATTRIBUTE 11753909_x_at NUMERIC
@ATTRIBUTE 11719025_a_at NUMERIC
@ATTRIBUTE 11756746_s_at NUMERIC
@ATTRIBUTE 11719038_a_at NUMERIC
@ATTRIBUTE 11731879_a_at NUMERIC
@ATTRIBUTE 11725813_at NUMERIC
@ATTRIBUTE 11722752_a_at NUMERIC
@ATTRIBUTE 11721719_at NUMERIC
@ATTRIBUTE 11757904_s_at NUMERIC
@ATTRIBUTE 11758386_s_at NUMERIC
@ATTRIBUTE 11722216_a_at NUMERIC
@ATTRIBUTE 11724979_a_at NUMERIC
@ATTRIBUTE 11742418_a_at NUMERIC
@ATTRIBUTE 11722960_a_at NUMERIC
@ATTRIBUTE 11716765_s_at NUMERIC
@ATTRIBUTE 11732189_at NUMERIC
@ATTRIBUTE 11724326_a_at NUMERIC
@ATTRIBUTE 11731424_x_at NUMERIC
@ATTRIBUTE 11758090_s_at NUMERIC
@ATTRIBUTE 11763266_at NUMERIC
@ATTRIBUTE 11741091_a_at NUMERIC
@ATTRIBUTE 11757808_s_at NUMERIC
@ATTRIBUTE 11720380_a_at NUMERIC
@ATTRIBUTE 11752509_s_at NUMERIC
@ATTRIBUTE 11731437_at NUMERIC
@ATTRIBUTE 11723400_a_at NUMERIC
@ATTRIBUTE 11751164_a_at NUMERIC
@ATTRIBUTE 11720739_s_at NUMERIC
@ATTRIBUTE 11733803_x_at NUMERIC
@ATTRIBUTE 11728840_at NUMERIC
@ATTRIBUTE 11728972_a_at NUMERIC
@ATTRIBUTE 11723401_x_at NUMERIC
@ATTRIBUTE 11717208_at NUMERIC
@ATTRIBUTE 11747623_a_at NUMERIC
@ATTRIBUTE 11717752_s_at NUMERIC
@ATTRIBUTE 11756532_a_at NUMERIC
@ATTRIBUTE class {SONFH,control}

@DATA
5.068588,5.536450,7.169374,7.621214,8.448059,7.551556,7.450402,7.910014,8.327340,6.537779,7.658872,7.284442,8.488585,12.032850,9.703982,8.189856,8.727583,7.700546,9.127239,9.331211,7.712684,8.883381,11.163640,7.916088,8.514828,5.640323,9.028793,7.207482,7.686244,5.903864,5.907757,5.673154,9.010933,7.509200,7.268853,6.245884,6.277891,4.055935,5.112565,6.584121,8.156808,8.089993,4.597070,8.132582,8.176045,7.249638,5.381547,6.053491,6.572055,7.051099,7.220813,7.516042,6.971961,3.594827,8.038507,5.395819,9.936067,8.703009,9.840144,8.061222,7.750637,8.097454,7.338914,6.570759,8.020668,8.038479,7.046669,7.510606,5.737544,6.684678,7.165733,7.364810,7.487372,6.582211,7.216076,7.584051,7.722060,7.394626,8.562588,6.674191,8.898390,8.272480,5.391935,6.744049,5.836695,7.103759,8.894444,11.573940,7.202933,9.978194,7.471599,7.425634,7.377498,4.367069,5.400742,9.969660,5.905739,7.207993,8.689798,9.580909,control
4.878870,6.069910,6.847307,7.036624,8.417543,7.810754,7.445183,8.134713,8.017219,6.363181,7.262102,7.393279,8.342548,11.622580,9.452919,7.683240,8.709167,8.277582,9.028412,9.814264,7.921813,9.930730,11.373960,7.527353,7.947226,6.098707,9.333565,6.613277,6.974357,5.803768,5.931967,4.884813,8.594865,6.452204,6.174463,6.127057,5.620863,3.556788,6.081429,7.202921,8.199888,7.558415,4.047034,7.641633,8.176445,7.855965,5.813973,5.861210,5.982122,7.503971,7.130261,6.863097,6.857371,4.853357,8.080787,5.218613,10.724150,7.934840,9.564043,6.829535,7.847418,7.632637,8.894677,6.653621,7.383189,7.767545,8.148092,7.855804,5.332871,6.760154,6.350645,7.947299,7.783518,5.967401,7.067196,7.522883,7.846498,7.256868,9.129134,7.552304,7.972333,9.327426,5.617705,6.874433,6.065416,6.506765,8.980911,11.743610,6.380632,9.478950,8.073334,7.732307,8.568503,4.822172,6.481437,9.386147,5.957489,6.916512,8.673005,8.810600,control
4.958467,6.300553,7.186956,7.646685,8.875138,7.955297,7.228837,8.236191,7.698497,6.294875,7.384308,7.860910,8.823877,11.778360,9.878913,8.270237,8.877090,8.552776,9.455983,10.177540,8.237024,10.185360,11.018320,7.838542,8.166746,6.050283,9.856264,7.103234,8.020914,6.021646,6.644976,5.005394,8.834681,6.756976,6.479235,6.366176,5.844117,3.586291,5.427165,7.079804,8.435409,7.562035,3.388205,8.112663,8.332237,7.811562,5.456543,5.720421,6.191778,7.474967,6.894631,7.050146,7.046392,4.556423,8.099720,5.427796,10.783860,8.175456,9.395083,7.610276,7.889512,7.876971,9.111961,6.196196,7.416202,7.672214,8.319949,7.955504,5.067955,6.780731,6.503136,7.176977,7.763012,5.966320,7.083027,7.743319,7.982450,7.038195,9.121082,7.542717,8.322279,9.612012,6.013176,6.759191,5.969116,6.713599,9.482801,11.515990,6.566023,9.651707,8.712068,7.719867,8.951232,5.065114,6.298449,9.748951,5.922000,7.361345,8.986292,9.213310,control
4.489721,5.678150,6.630012,6.992864,8.585331,8.279014,7.318791,7.415064,7.254376,6.026068,7.454005,7.626135,8.552614,11.697920,9.583901,8.079557,8.704805,8.087951,9.152808,9.985329,7.949885,10.098850,10.882360,7.934577,8.253588,6.205809,8.943087,6.689059,7.598831,5.484623,5.828697,5.588475,8.756201,6.586763,6.422689,6.431002,5.712595,3.067949,5.691294,7.280993,8.428543,7.086843,4.320416,7.511383,8.182264,7.638071,5.451530,5.970418,6.245513,7.606704,6.846465,6.663929,6.921830,4.716424,7.856642,5.134164,10.240790,7.603157,8.933875,7.339694,7.417112,7.535816,8.738244,6.331765,7.538619,7.461439,8.400627,8.030119,5.039582,6.236564,6.432578,6.790924,7.275455,5.375432,7.128406,7.308852,7.487691,6.717514,8.617569,7.669870,8.062462,9.442129,6.090788,6.981222,5.668448,6.744932,9.056139,11.380660,6.464061,9.604466,7.824624,7.636132,8.398829,4.628168,6.067519,9.440219,5.674380,7.177618,8.705568,9.133402,control
4.954717,6.274050,7.066034,6.855478,8.203747,7.619632,7.106962,7.765334,7.703197,6.424741,7.317819,6.916290,7.972628,11.285510,9.437935,7.531320,8.641754,7.787099,8.745297,9.431957,7.628964,9.467289,10.963520,7.348330,7.563685,5.893425,9.141457,6.581616,6.582423,5.351885,5.943653,4.556832,8.475085,6.332696,6.048153,6.036326,5.608801,3.347776,6.376868,6.805357,7.479891,7.537863,3.761542,7.063701,6.909436,7.637894,5.549139,5.684882,5.670493,7.413400,7.384308,7.183241,6.795727,3.998066,8.085351,5.158254,9.943827,7.548885,9.160627,7.286084,7.450139,7.362434,8.422535,6.636726,7.553653,7.836516,8.076045,7.619634,5.507451,6.397424,7.051777,7.971908,7.553207,5.454882,6.376297,7.417810,7.434625,6.994484,8.631206,7.152050,8.015157,9.070146,6.147882,7.044885,5.795471,6.235463,8.656418,11.359830,6.435731,9.333277,7.726694,8.266870,8.238141,4.169330,6.082865,9.224038,5.765192,6.824111,8.809027,8.968618,control
5.026825,5.790744,6.338869,7.593400,7.620011,7.170622,7.149752,7.462925,7.633769,6.738730,7.506351,6.421734,8.179205,12.058390,9.413050,7.440919,8.259846,6.300946,8.711887,8.884085,7.000249,8.377395,10.371100,7.245463,7.702156,5.350395,7.981217,6.666840,6.864935,6.112819,4.564451,5.089607,8.369453,6.572055,6.150129,5.844117,5.740598,2.871085,4.676554,6.214593,6.702563,7.101995,4.311369,8.060129,5.891061,7.446639,5.612411,5.763569,6.160478,6.987682,6.894126,7.274505,6.755491,4.522884,7.736377,5.003745,9.887175,6.533226,9.349815,7.635386,7.703897,7.839975,7.066960,6.482732,7.310133,7.612950,6.978367,7.099278,5.031590,6.092358,7.552937,7.056522,7.033675,6.188156,6.558576,6.166864,8.142658,6.954577,9.211644,6.672715,7.436585,7.512584,5.722335,7.289321,5.944940,7.069664,8.326177,10.852700,7.209698,9.503663,6.792196,7.891709,6.962507,3.326162,5.030077,9.401601,5.947084,6.519888,7.871940,8.868509,control
4.657990,5.902161,6.413543,5.703620,7.843433,7.292274,6.271384,6.959266,6.790141,5.797101,7.113233,6.222830,8.136348,10.787310,8.647195,7.235650,8.047878,7.192511,8.578646,8.787088,6.957628,8.154092,10.110150,6.500339,6.855430,5.902458,7.926020,6.395216,5.330185,5.025411,6.264680,4.457682,7.734631,5.948253,5.806346,6.263889,3.954486,3.449654,5.997461,6.168605,6.953466,6.865140,3.443343,7.116812,6.487532,7.215600,5.391332,5.503099,6.052058,6.706962,6.900512,6.561150,6.238070,4.787823,7.320251,4.597013,9.613309,6.976356,8.577180,6.262563,6.800228,6.664798,7.500005,6.413609,7.128453,7.390113,7.727487,7.223094,4.546177,6.209705,6.296365,6.804101,7.129046,4.397087,6.586873,6.211066,7.569873,6.544168,7.567106,6.058213,7.227873,7.753816,5.937318,6.524286,5.446461,5.700577,7.507270,10.386980,6.175801,8.965521,6.237437,7.621282,6.841423,2.549493,5.086690,8.924718,5.173074,6.716922,8.557851,8.269028,control
5.000751,6.460577,7.163487,7.878526,9.497424,8.874969,8.168674,8.663682,8.089280,6.767614,8.131274,8.470411,9.312739,12.329650,10.450170,9.517055,10.013930,9.607059,9.917811,11.088120,9.225556,11.722620,12.213210,8.761821,9.054188,6.796433,10.556830,7.747446,8.606195,6.900748,7.314955,6.880662,9.845509,8.063730,7.800310,7.795420,7.081829,3.380232,7.051103,7.646775,9.639196,7.991919,6.065318,8.746077,9.294503,8.348803,5.471892,6.006722,6.340454,8.298056,7.929905,7.338600,7.118199,4.702570,8.885864,5.369080,11.198760,8.994127,10.029800,7.980985,8.235970,8.609418,9.271801,7.088603,7.591109,8.573061,9.066374,8.817266,6.762813,7.532205,7.615705,8.163759,8.349178,6.628919,7.351502,8.849903,8.519449,7.781533,9.410230,8.422771,9.349403,10.837850,6.372019,6.800566,6.971219,7.900843,9.948915,12.595080,6.958118,10.768650,8.891478,8.582276,9.524277,5.883138,7.172741,10.659410,6.523366,8.247083,9.293051,10.458660,control
4.897824,6.056800,7.020564,6.948759,8.280551,7.982381,7.588676,7.773831,7.984854,5.658639,7.494854,7.373473,8.405273,11.704890,9.882387,8.432202,8.472503,8.109667,8.876934,9.956297,7.843542,9.484238,10.450750,7.534184,8.127144,6.050702,9.326465,6.666515,7.033852,5.867233,5.988644,5.075408,8.639474,6.272768,6.203983,6.642948,5.812236,3.514781,5.875361,7.352157,7.820997,7.472429,4.426464,8.123470,7.053057,7.964422,5.253911,5.667365,6.070663,7.852116,7.261406,7.076970,6.623140,3.529523,7.889194,5.045656,10.703850,7.738146,9.649813,7.468099,7.669844,7.665415,8.701668,6.557907,7.321616,7.765719,8.036634,7.883949,5.853503,6.744739,7.206756,8.088636,7.874567,5.409322,6.753963,7.307669,7.865747,7.388570,8.867756,7.491211,8.172769,9.452332,6.391490,6.575597,6.086344,6.465484,9.154119,10.684590,7.080760,9.901915,7.921066,8.181499,8.595431,4.464441,5.551943,9.840258,5.938078,7.161490,8.539965,9.146465,control
4.895889,6.279228,7.466117,7.508973,8.568368,8.109232,7.686112,8.504264,7.941992,6.015155,7.247068,7.607333,8.529110,11.994910,10.311350,8.442868,8.886672,8.655319,9.507126,10.090110,8.375591,9.941377,11.920380,7.721314,7.654365,6.525935,10.320560,7.069188,7.764175,6.269956,7.064685,5.434252,8.949630,7.271967,7.006964,6.621088,6.605182,3.593908,7.391008,7.551306,8.470016,8.890558,4.800123,8.019680,8.724241,8.343291,5.752664,6.041836,6.603949,7.765352,7.552905,7.333079,6.962808,4.833447,8.045327,5.421640,11.242670,8.810163,9.800233,7.679732,7.765425,7.913143,9.732197,6.634917,7.868207,8.114818,8.193151,8.106915,5.978321,6.101103,7.278663,8.565258,7.309292,6.656299,7.169652,8.239169,7.935047,7.516210,9.602233,7.704791,8.802122,9.417168,6.318226,6.880433,6.648480,7.104636,9.631441,12.298830,7.335325,10.276820,9.401049,7.689420,9.749043,5.010941,6.635451,10.251030,5.668166,7.391611,8.483151,9.322704,control
