gene_symbol,selected_probe_count,probe_ids,probe_types,max_abs_fold_change,mean_abs_fold_change,direction_consistency,notes
EIF1AY,1,11720807_x_at,_x_at,3.5987,3.5987,single,contains _x_at probe (cross-hybridising — interpret with care)
CA1,2,11729582_s_at | 11729583_x_at,_s_at | _x_at,3.5691,3.4471,consistent,contains _x_at probe (cross-hybridising — interpret with care)
IGF2 /// INS-IGF2,2,11739787_a_at | 11756003_x_at,_a_at | _x_at,3.4523,3.4181,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHCE /// RHD,8,11740680_s_at | 11742315_s_at | 11742143_s_at | 11736538_s_at | 11737268_s_at | 11752881_s_at | 11752701_s_at | 11750456_s_at,_s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _s_at,3.3934,2.9131,consistent,8 probes selected — high representation
BPGM,2,11719581_a_at | 11736395_a_at,_a_at | _a_at,3.388,3.3572,consistent,
GYPA,4,11732236_a_at | 11732235_a_at | 11751870_x_at | 11745661_x_at,_a_at | _a_at | _x_at | _x_at,3.306,2.7596,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
RAP1GAP,1,11725497_a_at,_a_at,3.252,3.252,single,
SNCA,2,11731448_a_at | 11731446_s_at,_a_at | _s_at,3.0974,2.7292,consistent,
IFIT1B,1,11737280_at,_at,2.997,2.997,single,
GYPB,4,11745557_x_at | 11745299_x_at | 11753827_x_at | 11753662_x_at,_x_at | _x_at | _x_at | _x_at,2.9867,2.8667,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HEMGN,1,11736696_a_at,_a_at,2.9438,2.9438,single,
XK,3,11728138_at | 11728137_at | 11728136_at,_at | _at | _at,2.8971,2.56,consistent,3 probes selected — high representation
BBOF1,1,11729920_at,_at,2.8918,2.8918,single,
CTNNAL1,2,11720494_a_at | 11756160_x_at,_a_at | _x_at,2.8612,2.6296,consistent,contains _x_at probe (cross-hybridising — interpret with care)
FECH,3,11727807_at | 11746263_a_at | 11727808_s_at,_at | _a_at | _s_at,2.8395,2.641,consistent,3 probes selected — high representation
FAM46C,3,11739340_at | 11739338_at | 11739339_s_at,_at | _at | _s_at,2.7707,2.4691,consistent,3 probes selected — high representation
TMCC2,3,11721930_a_at | 11744965_x_at | 11721931_s_at,_a_at | _x_at | _s_at,2.7601,2.324,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HEPACAM2,2,11728821_a_at | 11750918_a_at,_a_at | _a_at,2.6654,2.5668,consistent,
SLC14A1,3,11733360_x_at | 11727970_a_at | 11727969_a_at,_x_at | _a_at | _a_at,2.6613,2.5393,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
KRT1,1,11723952_at,_at,2.4864,2.4864,single,
IFI27,2,11715893_s_at | 11757480_x_at,_s_at | _x_at,2.4824,2.4239,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHD,4,11737267_a_at | 11741977_a_at | 11737269_x_at | 11752880_a_at,_a_at | _a_at | _x_at | _a_at,2.4665,2.3047,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
ACSL6,2,11722470_x_at | 11722469_a_at,_x_at | _a_at,2.4637,2.3062,consistent,contains _x_at probe (cross-hybridising — interpret with care)
NUDT4 /// NUDT4P1 /// NUDT4P2,2,11754453_s_at | 11758559_s_at,_s_at | _s_at,2.4595,2.4399,consistent,
HBD /// HBD,2,11725438_a_at | 11725439_at,_a_at | _at,2.4431,2.3525,consistent,
TSPAN7,2,11715752_at | 11715753_a_at,_at | _a_at,2.4349,2.2558,consistent,
DYRK3,2,11733482_a_at | 11739937_a_at,_a_at | _a_at,2.4242,2.2409,consistent,
RNF182,1,11737774_a_at,_a_at,2.4195,2.4195,single,
CISD2,2,11721656_s_at | 11721655_at,_s_at | _at,2.4137,2.2552,consistent,
YOD1,1,11724635_at,_at,2.3675,2.3675,single,
ARL4A,1,11739230_a_at,_a_at,2.3464,2.3464,single,
ISCA1,2,11716467_x_at | 11716466_s_at,_x_at | _s_at,2.344,2.3329,consistent,contains _x_at probe (cross-hybridising — interpret with care)
ABCG2,1,11724538_a_at,_a_at,2.3299,2.3299,single,
AHSP,1,11718997_at,_at,2.3223,2.3223,single,
KANK2,1,11717871_s_at,_s_at,2.3181,2.3181,single,
ABCC13,2,11751970_a_at | 11745087_a_at,_a_at | _a_at,2.3048,2.1881,consistent,
UBE2H,2,11728670_a_at | 11728669_a_at,_a_at | _a_at,2.2997,2.2791,consistent,
MXI1,1,11730499_a_at,_a_at,2.2794,2.2794,single,
CCR3,1,11740646_a_at,_a_at,2.2658,2.2658,single,
NFIX,1,11727161_a_at,_a_at,2.259,2.259,single,
RHAG,1,11758545_s_at,_s_at,2.1314,2.1314,single,
FHDC1,1,11743306_at,_at,2.1142,2.1142,single,
TMEM56,1,11729940_x_at,_x_at,2.1123,2.1123,single,contains _x_at probe (cross-hybridising — interpret with care)
RIOK3,2,11747125_a_at | 11749176_a_at,_a_at | _a_at,2.1005,2.0837,consistent,
SIAH2,1,11743067_at,_at,2.0979,2.0979,single,
SOX6,1,11726179_a_at,_a_at,2.0803,2.0803,single,
SLC4A1,1,11758430_s_at,_s_at,2.0701,2.0701,single,
ALDH5A1,1,11719359_a_at,_a_at,2.0644,2.0644,single,
SEC62,1,11731452_s_at,_s_at,2.0619,2.0619,single,
TSTA3,1,11749318_a_at,_a_at,2.0494,2.0494,single,
PIP5K1B,2,11747546_a_at | 11721029_a_at,_a_at | _a_at,2.0314,2.0255,consistent,
ANK1,1,11741071_a_at,_a_at,2.0304,2.0304,single,
TBCEL,1,11733941_a_at,_a_at,2.0215,2.0215,single,
SLC7A5,1,11739061_at,_at,2.0134,2.0134,single,
LYZ,1,11715461_at,_at,1.9947,1.9947,single,
CHI3L1,1,11756316_a_at,_a_at,1.9944,1.9944,single,
