probe_id,gene_symbol,abs_log_fold_change,variance
11715111_s_at,CGB /// CGB1 /// CGB2 /// CGB5 /// CGB7 /// CGB8,0.2833121333333324,0.1851718585977538
11715150_s_at,PCDHA4,0.3939119999999994,0.3435150443478563
11715159_at,SFT2D1,0.43717103333333185,0.24310471752619942
11715164_s_at,IGLL3P,0.5295116666666662,0.5908000949693204
11715188_at,H3F3C,0.3719081999999996,1.011143418753895
11715195_at,IMPACT,0.2952432666666662,0.28871967675610005
11715202_s_at,TCEAL1,0.06143449999999806,0.3345575635400198
11715225_s_at,VPS54,0.31222833333333266,0.21613848941358713
11715231_x_at,RPL36,0.28250286666666824,0.1334800764002436
11715235_x_at,UQCRHL,0.004261566666667882,0.23096590656390703
11715237_s_at,RPL9 /// RPL9P25 /// RPL9P32 /// RPL9P7 /// TIPIN,0.3062184333333331,0.950813987649189
11715238_x_at,RPL9,0.1842353666666643,0.7157305846292815
11715239_x_at,IFITM3,0.6407954999999994,0.9769105418767634
11715243_x_at,LCE1F,0.44872760000000067,0.21977102989342556
11715244_x_at,LCE1A,0.28532246666666694,0.19290926808358724
11715251_at,CHST7,0.8572057333333332,0.2718371163991898
11715252_at,RSRC1,0.6984100666666677,0.277262989137023
11715268_s_at,GP1BB /// SEPT5 /// SEPT5-GP1BB,0.3896541666666673,0.5402091775939326
11715270_s_at,KLF7,0.3978611000000001,0.19685894365288142
11715293_s_at,TRPT1,0.6574345333333342,0.2752081794016307
11715316_x_at,HLA-C,0.7586492999999983,11.429764294231328
11715323_s_at,NKX1-2,0.3382012999999988,0.2765573494302301
11715327_x_at,CBWD1 /// CBWD3,0.5267957000000001,0.3258754520584301
11715344_at,GSTP1,0.4017607999999999,0.1700640894396
11715349_a_at,COX7C,0.1734915000000008,0.45151861689554823
11715357_s_at,RPS21,0.37334010000000184,0.5324049833565894
11715358_x_at,CST3,1.468986433333333,0.9225210484828403
11715360_x_at,TIMP1,0.4468828333333317,0.2785967654788557
11715361_a_at,ATP6V0E1,0.8371566999999995,0.4325055743401224
11715368_a_at,SERPING1,0.8264630666666664,1.8354461423513948
11715369_s_at,NDUFA4,0.19961209999999951,0.30211134004721474
11715370_s_at,LGALS3BP,0.5323362333333357,0.6930673931526149
11715372_a_at,MDH1,0.1713651666666678,0.1948487783681994
11715373_a_at,TRIM28,0.3217258000000003,0.27126127478584355
11715376_a_at,RPS11,0.22618499999999564,0.23264576341788468
11715377_x_at,COX4I1,0.47819183333333193,0.21720185195851224
11715380_s_at,LAPTM4B,0.815045866666666,0.6372334723854974
11715383_a_at,PHB2,0.31201039999999836,0.20444064815983587
11715384_x_at,PHB2,0.37964276666666663,0.2067925568397276
11715385_s_at,C4orf46 /// TOMM7,0.283540266666666,0.49903337765528205
11715394_s_at,CD81,0.21215636666666526,0.36297514493793276
11715395_a_at,BLOC1S5-TXNDC5 /// TXNDC5,1.0056370999999977,1.2813941821557888
11715396_s_at,BLOC1S5-TXNDC5 /// TXNDC5,0.9193009666666665,1.060159507474507
11715398_a_at,APEX1,0.1731335999999999,0.35136158598891276
11715399_at,SLC25A5,0.3114771999999988,0.36343374375636905
11715400_x_at,SLC25A5,0.28035333333333057,0.31014344269924105
11715401_s_at,ILF2,0.1949804000000004,0.26716119977307695
11715407_s_at,PSMB4,0.5072509333333333,0.427735496181118
11715408_x_at,PSMB4,0.4952373333333355,0.34266577844047175
11715409_a_at,PRDX2,1.7729445333333356,1.1438208684589644
11715410_x_at,PRDX2,1.71277346666667,1.0498405492201641
11715413_s_at,TSC22D1,0.03220936666666674,0.49644380293250717
11715417_s_at,SKP1 /// SKP1P2,0.8043858666666672,0.22150578625436923
11715419_at,LY6E,0.5246107333333345,1.2235611154726125
11715420_a_at,CCT2,0.27201363333333184,0.4468503371865636
11715421_a_at,CCT2,0.025539099999997816,0.5190622767373326
11715425_x_at,FLNA,0.573694699999999,0.20651405058985575
11715426_s_at,SNU13,0.33675016666666746,0.2522129484430455
11715447_at,TALDO1,0.3369839999999975,0.13058961726564108
11715454_at,KISS1,0.32875239999999906,0.1235841429792923
11715460_a_at,DHCR24,0.14463273333333326,0.13514320364736154
11715461_at,LYZ,1.9947085333333323,1.8493284783501946
11715466_at,ARHGDIB,0.8681973333333346,0.3643452495499383
11715469_s_at,TXN,0.7070529666666641,0.2299158644987277
11715470_x_at,TXN,0.6948307666666667,0.30804709971655836
11715474_at,DDX17,0.1516977999999991,0.3747647095889103
11715475_a_at,DDX17,0.49908076666666723,0.3149148292068199
11715476_s_at,DDX17,0.6275273333333331,0.2588966884099999
11715477_at,TFRC,0.9113292666666677,0.37247174902316676
11715482_a_at,MCL1,0.9672256666666676,0.400425690109782
11715483_s_at,MCL1,0.9606060333333346,0.4039482593903531
11715484_a_at,MCL1,1.090153366666665,0.6292423609910249
11715487_a_at,MCL1,0.9874753333333315,0.5064644027956822
11715488_s_at,PGRMC1,0.6323331666666689,0.36286832426612753
11715489_a_at,PGRMC1,0.7331841000000017,0.44412783809587114
11715490_s_at,AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B /// AMYP1,0.9272714666666673,0.6656948989553743
