@RELATION femoral_head_necrosis

@ATTRIBUTE 11716876_a_at NUMERIC
@ATTRIBUTE 11729582_s_at NUMERIC
@ATTRIBUTE 11732236_a_at NUMERIC
@ATTRIBUTE 11719581_a_at NUMERIC
@ATTRIBUTE 11736395_a_at NUMERIC
@ATTRIBUTE 11729583_x_at NUMERIC
@ATTRIBUTE 11740680_s_at NUMERIC
@ATTRIBUTE 11725497_a_at NUMERIC
@ATTRIBUTE 11742143_s_at NUMERIC
@ATTRIBUTE 11736538_s_at NUMERIC
@ATTRIBUTE 11742315_s_at NUMERIC
@ATTRIBUTE 11720494_a_at NUMERIC
@ATTRIBUTE 11731448_a_at NUMERIC
@ATTRIBUTE 11737280_at NUMERIC
@ATTRIBUTE 11736696_a_at NUMERIC
@ATTRIBUTE 11739787_a_at NUMERIC
@ATTRIBUTE 11756003_x_at NUMERIC
@ATTRIBUTE 11728821_a_at NUMERIC
@ATTRIBUTE 11756301_x_at NUMERIC
@ATTRIBUTE 11721930_a_at NUMERIC
@ATTRIBUTE 11729920_at NUMERIC
@ATTRIBUTE 11720807_x_at NUMERIC
@ATTRIBUTE 11732235_a_at NUMERIC
@ATTRIBUTE 11739340_at NUMERIC
@ATTRIBUTE 11745557_x_at NUMERIC
@ATTRIBUTE 11733360_x_at NUMERIC
@ATTRIBUTE 11758559_s_at NUMERIC
@ATTRIBUTE 11728137_at NUMERIC
@ATTRIBUTE 11727808_s_at NUMERIC
@ATTRIBUTE 11728138_at NUMERIC
@ATTRIBUTE 11745300_a_at NUMERIC
@ATTRIBUTE 11754453_s_at NUMERIC
@ATTRIBUTE 11749318_a_at NUMERIC
@ATTRIBUTE 11756160_x_at NUMERIC
@ATTRIBUTE 11739338_at NUMERIC
@ATTRIBUTE 11745299_x_at NUMERIC
@ATTRIBUTE 11717871_s_at NUMERIC
@ATTRIBUTE 11727807_at NUMERIC
@ATTRIBUTE 11753827_x_at NUMERIC
@ATTRIBUTE 11737268_s_at NUMERIC
@ATTRIBUTE 11753662_x_at NUMERIC
@ATTRIBUTE 11750918_a_at NUMERIC
@ATTRIBUTE 11746263_a_at NUMERIC
@ATTRIBUTE 11725438_a_at NUMERIC
@ATTRIBUTE 11727970_a_at NUMERIC
@ATTRIBUTE 11721656_s_at NUMERIC
@ATTRIBUTE 11725439_at NUMERIC
@ATTRIBUTE 11733482_a_at NUMERIC
@ATTRIBUTE 11745661_x_at NUMERIC
@ATTRIBUTE 11752881_s_at NUMERIC
@ATTRIBUTE 11727969_a_at NUMERIC
@ATTRIBUTE 11721029_a_at NUMERIC
@ATTRIBUTE 11751870_x_at NUMERIC
@ATTRIBUTE 11727161_a_at NUMERIC
@ATTRIBUTE 11752701_s_at NUMERIC
@ATTRIBUTE 11739339_s_at NUMERIC
@ATTRIBUTE 11716467_x_at NUMERIC
@ATTRIBUTE 11715752_at NUMERIC
@ATTRIBUTE 11761538_x_at NUMERIC
@ATTRIBUTE 11747546_a_at NUMERIC
@ATTRIBUTE 11724635_at NUMERIC
@ATTRIBUTE 11731446_s_at NUMERIC
@ATTRIBUTE 11723952_at NUMERIC
@ATTRIBUTE 11721655_at NUMERIC
@ATTRIBUTE 11716466_s_at NUMERIC
@ATTRIBUTE 11731452_s_at NUMERIC
@ATTRIBUTE 11739230_a_at NUMERIC
@ATTRIBUTE 11728669_a_at NUMERIC
@ATTRIBUTE 11747125_a_at NUMERIC
@ATTRIBUTE 11722470_x_at NUMERIC
@ATTRIBUTE 11730499_a_at NUMERIC
@ATTRIBUTE 11737267_a_at NUMERIC
@ATTRIBUTE 11731454_a_at NUMERIC
@ATTRIBUTE 11718997_at NUMERIC
@ATTRIBUTE 11755059_s_at NUMERIC
@ATTRIBUTE 11715792_a_at NUMERIC
@ATTRIBUTE 11721030_a_at NUMERIC
@ATTRIBUTE 11731451_at NUMERIC
@ATTRIBUTE 11749176_a_at NUMERIC
@ATTRIBUTE 11724538_a_at NUMERIC
@ATTRIBUTE 11733941_a_at NUMERIC
@ATTRIBUTE 11743067_at NUMERIC
@ATTRIBUTE 11758929_at NUMERIC
@ATTRIBUTE 11743068_at NUMERIC
@ATTRIBUTE 11741977_a_at NUMERIC
@ATTRIBUTE 11728670_a_at NUMERIC
@ATTRIBUTE 11719359_a_at NUMERIC
@ATTRIBUTE 11750456_s_at NUMERIC
@ATTRIBUTE 11725950_s_at NUMERIC
@ATTRIBUTE 11740553_a_at NUMERIC
@ATTRIBUTE 11739061_at NUMERIC
@ATTRIBUTE 11757303_s_at NUMERIC
@ATTRIBUTE 11739937_a_at NUMERIC
@ATTRIBUTE 11725951_at NUMERIC
@ATTRIBUTE 11744965_x_at NUMERIC
@ATTRIBUTE 11733100_at NUMERIC
@ATTRIBUTE 11751970_a_at NUMERIC
@ATTRIBUTE 11726179_a_at NUMERIC
@ATTRIBUTE 11729757_a_at NUMERIC
@ATTRIBUTE 11721931_s_at NUMERIC
@ATTRIBUTE class {SONFH,control}

@DATA
8.557409,8.732930,4.994030,7.004470,7.177016,10.103150,5.874669,6.427765,5.937729,5.915199,5.907681,6.458408,5.882703,7.810727,6.964293,3.802539,3.164706,4.277569,8.454957,7.217052,4.954436,1.736091,4.253155,5.920270,7.214436,6.412936,8.497303,6.599200,9.600315,4.177295,2.749471,8.656445,8.185987,6.075611,8.870037,6.292865,6.764538,4.099481,7.250937,5.155025,7.054167,4.087893,7.085751,11.278990,5.638710,7.220813,11.972140,8.048323,4.171605,5.101368,6.307517,6.184038,3.506730,5.856619,5.040342,10.012370,8.177168,9.090311,6.717500,5.626318,7.763617,7.566671,6.323502,7.888256,6.345981,7.420826,4.443777,6.797106,8.169231,5.169820,4.209336,5.011745,10.257780,9.223879,8.995770,8.637331,7.359712,5.417298,7.824893,4.569173,4.036007,7.266092,5.684701,9.045671,4.149736,5.649747,7.970653,5.023431,9.748353,5.381547,7.220876,10.146850,7.399313,9.522598,7.016248,4.438190,3.921659,2.796065,4.467706,6.878427,control
8.723810,11.216230,7.868501,10.289330,10.458490,12.946830,8.663006,11.042590,8.607899,8.624262,8.725281,7.207698,9.541193,11.074170,9.961740,10.506520,9.388454,7.019146,10.013610,10.095590,8.053823,10.806750,6.730590,9.793498,11.809020,8.833643,9.340133,10.067110,11.838040,7.881823,6.994784,10.272360,10.491350,7.003067,12.025580,10.645570,8.233387,9.141988,11.929940,8.018767,11.721020,6.419081,10.376260,13.261590,7.775052,9.890251,13.135670,6.157817,6.110325,8.078774,8.742691,6.566738,6.308299,7.612829,7.976721,12.511210,10.243440,7.975770,8.509621,6.195482,10.313480,10.810970,10.964360,9.667303,8.747097,9.080871,7.853126,10.113770,10.764740,9.168177,7.441122,8.200645,10.551160,11.056970,8.357009,9.854315,7.365556,6.539103,10.544260,7.685803,5.777721,10.539150,6.310990,11.231880,7.344089,9.348122,8.176903,7.696024,11.907240,5.813973,8.789616,12.099130,6.071286,11.614640,9.659050,6.287169,7.939477,5.901105,5.239296,9.175415,control
8.505177,10.625250,7.683703,9.050923,9.215179,12.617900,8.101383,7.955520,7.857437,7.919959,8.245027,8.543353,8.355137,8.522453,9.920204,8.256703,6.768762,5.780903,9.683966,10.940880,8.593866,9.371290,6.990414,8.732722,10.789420,8.510290,9.874104,9.543177,10.597020,7.491460,4.973563,10.916640,10.121730,8.122470,11.286310,9.810022,8.026222,8.108831,11.344230,7.356441,10.826620,5.321611,9.458369,13.263700,7.798507,9.114132,13.169440,8.304876,6.763692,7.364122,8.667625,5.791938,6.445415,7.044743,7.349376,11.815000,10.437470,5.381186,8.626512,5.387590,9.699218,9.429187,10.791500,9.246543,8.487377,7.608871,8.142523,9.278097,9.839488,8.011215,7.325934,7.142222,9.947423,11.558390,8.961798,9.460851,6.776898,5.335942,10.011520,7.089528,6.845113,10.974570,4.896880,11.762000,6.240745,8.802596,7.262987,7.650683,10.945120,5.456543,8.536992,11.170980,8.213614,10.735600,10.617140,7.078704,7.937757,4.160248,5.620123,10.205010,control
8.941810,10.196440,6.749736,9.483574,9.673876,12.286930,8.149967,9.102225,7.804259,7.960407,7.973178,6.486973,8.820645,10.005450,9.331628,7.907831,6.471226,5.888033,10.520260,9.285774,7.680902,9.460186,6.096196,9.195862,10.980670,8.604115,8.410751,10.163930,10.215330,8.090366,4.864594,9.382859,10.781190,6.242247,11.756970,9.826868,7.741434,6.805356,10.990060,7.204032,10.864270,5.428741,8.606367,12.525320,7.170244,8.479558,12.676990,6.440310,5.409542,7.326140,8.171408,5.400999,5.084542,6.014651,7.168413,12.109040,9.562341,6.748736,9.329094,5.068012,8.918979,10.243610,9.095136,8.438573,7.707511,8.135298,6.377123,9.005497,9.774572,6.945753,6.646576,7.546532,10.024160,11.248560,8.636821,9.592297,6.526235,5.489078,9.599034,6.116328,5.699916,9.692738,5.058202,10.516430,6.482472,8.064796,7.342103,7.387714,10.829210,5.451530,7.720881,10.834830,5.920606,10.720280,8.586113,5.716464,7.696635,5.103454,5.322948,8.061143,control
8.813538,11.090680,8.448383,9.966805,10.061150,12.837700,8.281197,10.427500,8.213202,8.264534,8.454098,7.700443,9.673346,10.770090,9.758898,9.764305,8.597828,6.627501,10.081160,8.818477,8.694458,10.574180,7.580755,9.249146,10.921760,8.890066,9.731139,10.792500,11.568920,8.708439,6.422286,10.464100,10.342500,7.247702,11.995300,9.973259,7.953624,9.079234,11.116760,7.418587,10.935240,6.048650,10.157100,13.225180,8.151865,10.257250,13.196950,5.711877,7.148755,7.543453,8.801292,7.062424,7.037364,7.138193,7.674555,12.319530,10.859880,7.366595,8.551436,6.831984,10.364230,10.739120,10.766650,9.797945,9.048178,8.773638,7.347718,9.915591,10.489530,9.561088,7.512463,6.647097,10.419780,11.459760,8.766697,10.159480,8.177645,6.061081,10.217240,7.411329,6.136942,10.215440,6.163367,10.889260,5.540910,8.948547,7.960345,7.615753,11.444670,5.549139,8.222200,11.894610,5.504714,11.295850,8.234544,6.357246,7.947094,5.984310,5.695833,7.800078,control
8.288160,10.122910,7.013339,9.238316,9.389742,12.162340,7.876316,9.569218,7.847722,7.567138,7.971910,7.653397,7.860137,9.526112,8.432035,10.631060,9.436772,6.453424,9.508101,10.111830,7.321882,9.676264,6.152510,8.505514,10.487090,7.322440,8.148791,8.379808,10.214800,5.858810,6.006960,9.027310,9.715490,7.159935,10.918270,9.578890,6.866339,5.630871,10.778320,7.078430,10.491250,5.786015,8.411459,12.876880,6.267776,8.407643,12.955750,6.977432,5.934243,7.392475,7.335158,5.644972,5.628811,6.722697,7.143842,11.580350,9.074738,6.919941,8.789047,5.286108,8.545849,9.340944,10.290600,8.848460,7.050895,7.837439,7.420457,8.687426,9.639766,6.915590,6.200613,7.350005,10.303790,10.731760,8.946059,9.003298,6.923493,5.589167,9.839054,6.739162,6.178316,9.744309,6.044831,10.707670,6.140845,6.011271,8.401383,7.585339,10.701890,5.612411,8.383389,10.932910,6.479571,10.567690,9.582676,6.541262,7.087494,5.220564,6.158778,9.321370,control
9.094606,11.796380,8.711367,10.660810,10.603740,13.534060,9.851624,11.001690,9.806581,9.668638,9.895985,8.057846,9.827097,11.125020,10.748800,10.603540,9.595173,7.958577,10.320810,10.478780,9.329871,10.896280,8.191077,9.683715,11.636210,10.120510,9.975142,10.738140,11.106720,8.907088,7.123353,10.612610,10.766560,7.919163,12.024080,10.510090,8.869080,7.783724,11.688280,9.282298,11.466480,7.670094,9.853762,13.538990,9.898367,10.164740,13.261570,8.237082,8.074608,9.316309,10.019000,7.248124,7.671011,8.436568,9.235086,12.418230,11.130330,7.874085,9.192739,6.981048,9.980182,10.982410,11.585540,10.049980,9.608952,8.488625,8.222046,10.216990,10.690700,9.861277,7.782454,9.396277,10.333710,12.235640,9.349437,9.958666,8.058457,5.988004,10.735930,8.837404,7.124563,10.807240,6.940257,11.518110,8.445107,9.242808,8.305314,8.806211,11.690760,5.391332,8.790442,11.960560,7.628408,11.432870,10.322300,7.709541,8.800108,6.276983,6.326056,9.988756,control
8.137056,6.717366,4.669218,6.938884,6.937880,8.959162,4.369011,7.708288,4.471892,5.001933,4.288306,4.066763,6.005084,7.436206,6.910491,6.673732,5.184538,4.724324,9.228693,7.620150,4.915001,1.815625,3.249679,6.366477,6.905177,6.762814,6.795306,7.528552,8.407215,4.843163,2.830620,7.550749,9.755857,4.176777,9.500135,5.843014,5.668262,4.642005,7.249216,4.363943,7.159014,3.518617,6.688575,10.244510,5.565350,6.617622,10.568690,4.355912,3.403228,3.662120,6.250932,4.452522,2.873733,4.580088,4.259893,10.232350,7.120992,4.524890,8.403318,3.888638,6.466972,8.456455,9.550803,6.881767,5.456386,5.601606,4.434642,7.231267,8.074080,5.838849,4.041211,4.329871,9.732644,7.753400,7.486996,8.122544,4.842711,3.915732,8.058100,4.027489,4.004428,8.726298,3.626865,9.786540,3.284808,6.163297,4.809197,4.422336,9.378100,5.471892,6.029165,9.531948,4.327580,8.932501,7.300267,4.297432,4.486130,3.344654,4.001310,6.979733,control
8.432276,12.126130,8.281876,11.151570,11.250860,13.309070,8.666756,10.037310,8.584756,8.632675,8.747290,7.017447,10.499150,11.059920,10.485170,11.906330,10.784210,7.290894,9.886634,9.378567,8.686649,11.052180,7.055787,10.195360,11.532620,9.957262,9.953217,10.393230,12.089020,8.624088,6.516043,10.541090,9.857069,6.846053,12.358330,10.597960,8.012957,8.995209,11.921080,7.795441,11.525460,6.744178,10.714850,12.867980,9.165996,10.578080,12.788210,6.498895,6.605161,7.845303,9.908274,6.709576,6.718687,7.379609,7.958945,12.786620,10.779420,8.171928,7.937980,6.345819,10.852000,11.753190,11.229370,10.186270,8.797367,9.006996,7.340028,10.583730,11.100020,9.509171,7.255967,8.357530,10.549800,11.295820,8.613690,9.866864,7.695890,6.576912,11.063310,7.857238,6.336639,10.543550,5.793322,11.097870,7.486901,10.158110,6.590853,7.928327,11.830630,5.253911,7.732476,12.392880,6.480522,11.865080,8.256903,7.183336,7.745799,5.476298,5.221161,8.371228,control
8.385201,8.563044,6.641864,7.330400,7.488406,10.652190,5.643051,8.268433,5.375114,5.256280,5.369710,7.150200,9.057079,7.754519,7.393475,3.961401,3.587532,4.886573,9.556396,7.423429,7.338269,1.968502,5.498274,7.603907,8.087192,7.594650,9.197536,8.560690,10.730720,5.858877,4.428315,9.797777,9.720842,6.773058,10.570070,7.080079,6.153988,7.800306,8.276588,4.945993,7.892933,4.404465,8.448687,11.115520,6.872291,8.944586,11.430760,4.986469,5.078041,5.148617,7.278593,5.301955,5.038793,5.233253,5.103641,11.430970,8.935732,5.117413,8.368304,4.931805,10.526740,10.204010,10.232570,8.952270,6.877691,8.276917,5.669613,8.207700,9.440860,6.962659,6.970822,4.944792,10.528040,9.685889,7.907001,9.487973,6.333478,5.955099,9.289027,5.554319,5.456977,9.605021,4.253860,10.935460,4.122690,6.970604,5.913395,5.088018,10.778720,5.752664,5.512224,11.518870,4.823946,10.304240,6.763761,5.844117,5.380594,3.019000,4.135571,6.837817,control
