sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,11737774_a_at,11721656_s_at,11756160_x_at,11741977_a_at,11724635_at,11757480_x_at,11731446_s_at,11739230_a_at,11716467_x_at,11724538_a_at,11718997_at,11716466_s_at,11717871_s_at,11751970_a_at,11728670_a_at,11730499_a_at,11740646_a_at,11725439_at,11727161_a_at,11728669_a_at,11750456_s_at,11737269_x_at,11752880_a_at,11722469_a_at,11744965_x_at,11758545_s_at,11739339_s_at,11743306_at,11729940_x_at,11747125_a_at,11743067_at,11721655_at,11726179_a_at,11715753_a_at,11745087_a_at,11758430_s_at,11749176_a_at,11721931_s_at,11719359_a_at,11731452_s_at,11739937_a_at,11749318_a_at,11747546_a_at,11741071_a_at,11733941_a_at,11721029_a_at,11728136_at,11739061_at,11715461_at,11756316_a_at,class
GSM3507251,1.736091,8.73293,3.802539,5.874669,7.00447,3.164706,7.177016,10.10315,5.907681,5.937729,4.99403,6.427765,5.915199,5.882703,7.810727,7.214436,6.964293,4.177295,4.954436,6.458408,6.292865,4.099481,7.250937,4.253155,7.054167,5.92027,6.5992,7.217052,4.277569,6.412936,5.155025,5.101368,7.085751,9.600315,5.040342,8.870037,5.63871,3.50673,6.323502,5.990334,4.087893,5.011745,5.16982,8.656445,6.307517,4.171605,11.27899,9.090311,8.048323,8.497303,5.440596,7.220813,6.075611,4.149736,7.763617,7.428829,7.566671,4.443777,8.177168,4.569173,9.223879,6.345981,6.764538,3.921659,5.649747,4.209336,6.87109,11.97214,5.856619,6.797106,5.023431,4.994056,4.003585,4.968098,7.016248,3.133564,10.01237,4.278721,4.326485,8.169231,7.266092,7.888256,2.796065,7.17977,5.384149,9.134279,7.824893,6.878427,7.970653,7.420826,7.399313,8.185987,5.626318,4.986784,4.036007,6.184038,3.559446,7.220876,11.61087,7.561344,control
GSM3507252,10.80675,11.21623,10.50652,8.663006,10.28933,9.388454,10.45849,12.94683,8.725281,8.607899,7.868501,11.04259,8.624262,9.541193,11.07417,11.80902,9.96174,7.881823,8.053823,7.207698,10.64557,9.141988,11.92994,6.73059,11.72102,9.793498,10.06711,10.09559,7.019146,8.833643,8.018767,8.078774,10.37626,11.83804,7.976721,12.02558,7.775052,6.308299,10.96436,10.46554,6.419081,8.200645,9.168177,10.27236,8.742691,6.110325,13.26159,7.97577,6.157817,9.340133,9.009374,9.890251,7.003067,7.344089,10.31348,11.92061,10.81097,7.853126,10.24344,7.685803,11.05697,8.747097,8.233387,7.939477,9.348122,7.441122,2.775437,13.13567,7.612829,10.11377,7.696024,8.242967,7.317662,8.618045,9.65905,4.3288,12.51121,6.654555,6.516255,10.76474,10.53915,9.667303,5.901105,6.666216,8.90073,12.49002,10.54426,9.175415,8.176903,9.080871,6.071286,10.49135,6.195482,8.459242,5.777721,6.566738,7.207697,8.789616,11.32742,5.1857,control
GSM3507253,9.37129,10.62525,8.256703,8.101383,9.050923,6.768762,9.215179,12.6179,8.245027,7.857437,7.683703,7.95552,7.919959,8.355137,8.522453,10.78942,9.920204,7.49146,8.593866,8.543353,9.810022,8.108831,11.34423,6.990414,10.82662,8.732722,9.543177,10.94088,5.780903,8.51029,7.356441,7.364122,9.458369,10.59702,7.349376,11.28631,7.798507,6.445415,10.7915,11.59922,5.321611,7.142222,8.011215,10.91664,8.667625,6.763692,13.2637,5.381186,8.304876,9.874104,7.632952,9.114132,8.12247,6.240745,9.699218,12.63707,9.429187,8.142523,10.43747,7.089528,11.55839,8.487377,8.026222,7.937757,8.802596,7.325934,5.021522,13.16944,7.044743,9.278097,7.650683,7.145116,6.229868,7.549795,10.61714,5.148388,11.815,8.839212,8.222312,9.839488,10.97457,9.246543,4.160248,3.810506,9.451416,12.05512,10.01152,10.20501,7.262987,7.608871,8.213614,10.12173,5.38759,7.690505,6.845113,5.791938,6.944016,8.536992,10.25118,5.500705,control
GSM3507254,9.460186,10.19644,7.907831,8.149967,9.483574,6.471226,9.673876,12.28693,7.973178,7.804259,6.749736,9.102225,7.960407,8.820645,10.00545,10.98067,9.331628,8.090366,7.680902,6.486973,9.826868,6.805356,10.99006,6.096196,10.86427,9.195862,10.16393,9.285774,5.888033,8.604115,7.204032,7.32614,8.606367,10.21533,7.168413,11.75697,7.170244,5.084542,9.095136,13.03225,5.428741,7.546532,6.945753,9.382859,8.171408,5.409542,12.52532,6.748736,6.44031,8.410751,8.440174,8.479558,6.242247,6.482472,8.918979,13.60911,10.24361,6.377123,9.562341,6.116328,11.24856,7.707511,7.741434,7.696635,8.064796,6.646576,5.49504,12.67699,6.014651,9.005497,7.387714,7.363699,6.656447,6.264627,8.586113,4.478887,12.10904,5.183475,6.49562,9.774572,9.692738,8.438573,5.103454,4.411476,8.95932,11.9514,9.599034,8.061143,7.342103,8.135298,5.920606,10.78119,5.068012,8.332199,5.699916,5.400999,7.390398,7.720881,11.18228,6.967706,control
GSM3507255,10.57418,11.09068,9.764305,8.281197,9.966805,8.597828,10.06115,12.8377,8.454098,8.213202,8.448383,10.4275,8.264534,9.673346,10.77009,10.92176,9.758898,8.708439,8.694458,7.700443,9.973259,9.079234,11.11676,7.580755,10.93524,9.249146,10.7925,8.818477,6.627501,8.890066,7.418587,7.543453,10.1571,11.56892,7.674555,11.9953,8.151865,7.037364,10.76665,9.615314,6.04865,6.647097,9.561088,10.4641,8.801292,7.148755,13.22518,7.366595,5.711877,9.731139,10.14817,10.25725,7.247702,5.54091,10.36423,11.08004,10.73912,7.347718,10.85988,7.411329,11.45976,9.048178,7.953624,7.947094,8.948547,7.512463,5.513792,13.19695,7.138193,9.915591,7.615753,6.638825,5.496929,9.015304,8.234544,5.470735,12.31953,5.556007,7.476936,10.48953,10.21544,9.797945,5.98431,6.290387,8.99667,12.59926,10.21724,7.800078,7.960345,8.773638,5.504714,10.3425,6.831984,8.543592,6.136942,7.062424,7.782275,8.2222,9.57072,6.428276,control
GSM3507256,9.676264,10.12291,10.63106,7.876316,9.238316,9.436772,9.389742,12.16234,7.97191,7.847722,7.013339,9.569218,7.567138,7.860137,9.526112,10.48709,8.432035,5.85881,7.321882,7.653397,9.57889,5.630871,10.77832,6.15251,10.49125,8.505514,8.379808,10.11183,6.453424,7.32244,7.07843,7.392475,8.411459,10.2148,7.143842,10.91827,6.267776,5.628811,10.2906,11.14578,5.786015,7.350005,6.91559,9.02731,7.335158,5.934243,12.87688,6.919941,6.977432,8.148791,3.547932,8.407643,7.159935,6.140845,8.545849,12.29478,9.340944,7.420457,9.074738,6.739162,10.73176,7.050895,6.866339,7.087494,6.011271,6.200613,4.388326,12.95575,6.722697,8.687426,7.585339,7.239224,5.947084,6.669819,9.582676,6.037648,11.58035,7.442576,6.680339,9.639766,9.744309,8.84846,5.220564,5.223484,8.589289,11.71962,9.839054,9.32137,8.401383,7.837439,6.479571,9.71549,5.286108,7.92345,6.178316,5.644972,5.009349,8.383389,7.546598,5.137545,control
GSM3507257,10.89628,11.79638,10.60354,9.851624,10.66081,9.595173,10.60374,13.53406,9.895985,9.806581,8.711367,11.00169,9.668638,9.827097,11.12502,11.63621,10.7488,8.907088,9.329871,8.057846,10.51009,7.783724,11.68828,8.191077,11.46648,9.683715,10.73814,10.47878,7.958577,10.12051,9.282298,9.316309,9.853762,11.10672,9.235086,12.02408,9.898367,7.671011,11.58554,12.5057,7.670094,9.396277,9.861277,10.61261,10.019,8.074608,13.53899,7.874085,8.237082,9.975142,9.358904,10.16474,7.919163,8.445107,9.980182,13.31185,10.98241,8.222046,11.13033,8.837404,12.23564,9.608952,8.86908,8.800108,9.242808,7.782454,3.731321,13.26157,8.436568,10.21699,8.806211,9.319741,8.604069,9.133192,10.3223,6.766939,12.41823,8.45363,8.213499,10.6907,10.80724,10.04998,6.276983,5.988004,9.975054,12.74301,10.73593,9.988756,8.305314,8.488625,7.628408,10.76656,6.981048,9.33939,7.124563,7.248124,8.757095,8.790442,7.845288,4.488803,control
GSM3507258,1.815625,6.717366,6.673732,4.369011,6.938884,5.184538,6.93788,8.959162,4.288306,4.471892,4.669218,7.708288,5.001933,6.005084,7.436206,6.905177,6.910491,4.843163,4.915001,4.066763,5.843014,4.642005,7.249216,3.249679,7.159014,6.366477,7.528552,7.62015,4.724324,6.762814,4.363943,3.66212,6.688575,8.407215,4.259893,9.500135,5.56535,2.873733,9.550803,13.0746,3.518617,4.329871,5.838849,7.550749,6.250932,3.403228,10.24451,4.52489,4.355912,6.795306,5.887131,6.617622,4.176777,3.284808,6.466972,13.81732,8.456455,4.434642,7.120992,4.027489,7.7534,5.456386,5.668262,4.48613,6.163297,4.041211,8.355439,10.56869,4.580088,7.231267,4.422336,4.466294,3.671072,5.389161,7.300267,2.349392,10.23235,3.989045,4.278876,8.07408,8.726298,6.881767,3.344654,3.392308,6.088218,10.00271,8.0581,6.979733,4.809197,5.601606,4.32758,9.755857,3.888638,7.584925,4.004428,4.452522,4.701881,6.029165,10.18021,8.760777,control
GSM3507259,11.05218,12.12613,11.90633,8.666756,11.15157,10.78421,11.25086,13.30907,8.74729,8.584756,8.281876,10.03731,8.632675,10.49915,11.05992,11.53262,10.48517,8.624088,8.686649,7.017447,10.59796,8.995209,11.92108,7.055787,11.52546,10.19536,10.39323,9.378567,7.290894,9.957262,7.795441,7.845303,10.71485,12.08902,7.958945,12.35833,9.165996,6.718687,11.22937,9.054829,6.744178,8.35753,9.509171,10.54109,9.908274,6.605161,12.86798,8.171928,6.498895,9.953217,3.273218,10.57808,6.846053,7.486901,10.852,10.73547,11.75319,7.340028,10.77942,7.857238,11.29582,8.797367,8.012957,7.745799,10.15811,7.255967,4.718121,12.78821,7.379609,10.58373,7.928327,7.889984,7.838483,9.011828,8.256903,3.716332,12.78662,5.095681,7.668504,11.10002,10.54355,10.18627,5.476298,6.729212,9.167351,12.46093,11.06331,8.371228,6.590853,9.006996,6.480522,9.857069,6.345819,8.331798,6.336639,6.709576,7.598826,7.732476,9.154664,5.103647,control
GSM3507260,1.968502,8.563044,3.961401,5.643051,7.3304,3.587532,7.488406,10.65219,5.36971,5.375114,6.641864,8.268433,5.25628,9.057079,7.754519,8.087192,7.393475,5.858877,7.338269,7.1502,7.080079,7.800306,8.276588,5.498274,7.892933,7.603907,8.56069,7.423429,4.886573,7.59465,4.945993,5.148617,8.448687,10.73072,5.103641,10.57007,6.872291,5.038793,10.23257,7.301145,4.404465,4.944792,6.962659,9.797777,7.278593,5.078041,11.11552,5.117413,4.986469,9.197536,9.132847,8.944586,6.773058,4.12269,10.52674,8.805066,10.20401,5.669613,8.935732,5.554319,9.685889,6.877691,6.153988,5.380594,6.970604,6.970822,8.146732,11.43076,5.233253,8.2077,5.088018,5.137811,4.50166,6.484911,6.763761,2.541794,11.43097,4.296415,6.03826,9.44086,9.605021,8.95227,3.019,3.623117,6.685258,10.91015,9.289027,6.837817,5.913395,8.276917,4.823946,9.720842,4.931805,6.021861,5.456977,5.301955,5.006162,5.512224,11.88534,6.440937,control
