sample,11733691_a_at,11717267_x_at,11746639_a_at,11733611_a_at,11741035_a_at,11718387_s_at,11757383_a_at,11717836_a_at,11728926_at,11759407_at,11720739_s_at,11754832_a_at,11737423_a_at,11756746_s_at,11731879_a_at,11732415_s_at,11740206_x_at,11746195_x_at,11722269_a_at,11732373_a_at,11740096_a_at,11725165_a_at,11717208_at,11756361_x_at,11739069_s_at,11722387_at,11731728_at,11746456_x_at,11715617_a_at,11759416_x_at,11739813_a_at,11752282_a_at,11748839_a_at,11728961_a_at,11726384_at,11741435_s_at,11755644_s_at,11718340_x_at,11752737_a_at,11730005_a_at,11724224_a_at,11717752_s_at,11719728_s_at,11750862_a_at,11730433_a_at,11717214_s_at,11722834_x_at,11728827_at,11728424_x_at,11718260_at,11725180_a_at,11723893_s_at,11741086_x_at,11759627_at,11718568_a_at,11719686_a_at,11726636_s_at,11748615_a_at,11763557_x_at,11715462_x_at,11721499_x_at,11747020_x_at,11750585_a_at,11724645_at,11754863_s_at,11745165_a_at,11718920_a_at,11721777_at,11720392_at,11748410_a_at,11754278_x_at,11760387_at,11751304_a_at,11763426_a_at,11740553_a_at,11745779_a_at,11733938_x_at,11716765_s_at,11715423_s_at,11723468_at,11716346_at,11747992_a_at,11723153_a_at,11740652_x_at,11723842_s_at,11759205_a_at,11744862_x_at,11724005_s_at,11726019_at,11716389_a_at,11752689_a_at,11717091_s_at,11723792_at,11745768_a_at,11718078_a_at,11741190_a_at,11747190_a_at,11755086_x_at,11744180_a_at,11747203_x_at,class
GSM3507251,4.736568,6.414512,9.958319,7.834176,8.567746,6.829122,7.430493,8.679629,6.86907,7.323825,7.425634,6.432875,7.220813,7.046669,5.737544,5.456556,5.917058,6.975746,7.916088,7.479171,4.791504,3.479879,5.905739,6.385234,11.4607,8.514828,7.980678,5.673154,8.608905,3.841313,3.958516,3.267504,5.54534,5.196506,6.037275,9.703982,7.6457,9.698145,9.246944,8.232609,8.405865,8.689798,7.427689,6.028747,4.386814,8.151743,7.100967,5.60836,7.100709,6.547413,6.938063,6.958774,9.060278,6.508845,6.487836,7.374879,8.344577,6.33058,9.891636,12.28943,8.644282,7.965228,10.06964,6.759662,7.169374,7.992814,8.156129,9.606052,5.264699,8.494023,7.628259,5.688499,5.039301,9.235361,5.381547,4.389281,8.671894,8.562588,9.671829,6.455258,6.271213,6.00214,6.360325,7.454488,6.584121,7.452216,7.417897,9.256689,4.913479,7.610722,5.092332,9.707071,6.708644,6.797272,7.01025,5.465222,4.309193,7.660013,8.462515,6.971961,control
GSM3507252,5.635341,6.226609,9.30484,7.264286,8.355513,6.39267,7.544011,9.332471,7.741407,6.802961,7.732307,5.901106,7.130261,8.148092,5.332871,5.779621,5.37772,6.846608,7.527353,6.975795,4.055808,3.197927,5.957489,6.001682,11.76011,7.947226,8.522875,4.884813,9.342854,4.484108,4.342096,4.019978,5.18921,5.353817,5.462711,9.452919,7.513096,9.083214,8.472171,8.458843,7.734167,8.673005,8.232779,5.060506,4.423845,7.513096,6.523702,5.180068,7.617067,6.595506,6.729413,6.739445,8.941881,6.845233,6.679976,6.926941,8.100021,6.097512,9.847363,11.36801,9.015622,7.187289,8.477486,6.110476,6.847307,8.369106,8.735032,9.593337,5.737268,8.110644,7.712926,5.696161,5.741491,8.746049,5.813973,3.928231,8.287384,9.129134,9.118649,6.37251,6.295733,5.033871,6.260468,6.85715,7.202921,7.772329,7.581426,9.340878,4.892881,7.959626,5.444837,8.653625,6.649655,8.173411,6.805256,5.22203,5.133411,7.269614,7.975204,6.857371,control
GSM3507253,4.575043,6.166544,9.724562,7.243803,8.407247,6.310296,7.716856,9.489668,8.13764,6.728192,7.719867,6.044977,6.894631,8.319949,5.067955,5.730014,5.545305,6.760837,7.838542,7.29,4.552462,3.632594,5.922,5.713544,11.45529,8.166746,9.154518,5.005394,9.57097,3.952383,3.776862,3.713879,5.104319,5.295825,4.660788,9.878913,7.403683,9.231096,9.429158,8.166051,7.693481,8.986292,8.324213,6.147551,4.263236,7.572744,6.662529,5.737471,8.084688,6.348527,6.443607,7.200005,9.270532,6.883706,6.80761,6.859179,7.840666,6.900128,10.09486,11.51003,9.235141,7.239088,8.489379,6.504236,7.186956,8.259602,8.668812,9.369648,4.958649,8.560294,7.58066,5.755572,5.721293,8.617643,5.456543,4.198867,8.508522,9.121082,8.994052,6.775049,6.479498,5.814814,5.5466,6.92355,7.079804,7.904863,7.777092,9.598798,4.839565,7.832537,5.517177,9.416706,6.880495,8.116443,7.325934,5.503688,5.366104,7.186559,8.117275,7.046392,control
GSM3507254,5.385219,6.104755,8.803234,7.728086,8.347201,5.972899,7.888199,9.047313,7.45001,6.551281,7.636132,5.612015,6.846465,8.400627,5.039582,5.944603,6.03427,6.877082,7.934577,7.487573,4.347202,3.04546,5.67438,6.006392,11.34618,8.253588,8.592262,5.588475,9.081957,4.374001,4.3269,3.870654,4.757349,5.880078,4.957577,9.583901,7.24104,9.092446,9.146502,8.361205,7.003482,8.705568,7.725947,6.294875,4.103368,7.42159,6.514878,5.912478,7.55117,6.540267,6.093809,6.782181,8.526331,6.950044,7.371121,6.143512,7.879531,6.658779,9.645244,11.29309,9.629335,7.169655,8.068781,6.33902,6.630012,8.610405,8.481726,8.927296,4.745376,7.854223,7.452238,5.205764,5.979696,7.901696,5.45153,4.085794,8.374022,8.617569,8.847704,5.937726,6.447906,5.523919,5.682981,6.971647,7.280993,7.36062,7.180953,9.504419,4.653654,8.044891,5.092944,8.218088,6.641696,8.12141,6.910789,5.641159,5.494708,7.031284,7.532682,6.92183,control
GSM3507255,4.768865,5.961625,8.84931,7.121865,7.796765,6.37933,7.7293,9.260464,6.943638,6.627765,8.26687,5.983565,7.384308,8.076045,5.507451,6.757294,5.17628,6.3383,7.34833,6.464108,4.808625,3.765153,5.765192,6.402535,11.35302,7.563685,8.027602,4.556832,8.8996,4.289158,3.788408,4.105368,4.922982,4.117007,5.506738,9.437935,6.939974,8.739258,8.871593,8.013467,7.75096,8.809027,7.36997,6.124227,4.226144,7.506707,6.593698,5.569662,6.780189,6.130131,6.118472,6.58451,8.643723,6.176631,6.037693,6.574247,7.742148,6.006074,9.890379,11.05904,8.759658,6.883745,8.823778,5.948413,7.066034,8.3561,8.391127,8.979197,5.62878,7.867194,7.676435,5.326602,5.628508,8.691244,5.549139,4.188491,8.300052,8.631206,8.775201,5.826097,6.126794,5.798481,6.185384,6.470136,6.805357,7.103091,7.016873,8.895163,4.65965,7.892033,4.999656,8.302382,6.167459,7.813138,7.166173,6.315804,5.50792,7.390705,7.516927,6.795727,control
GSM3507256,4.090694,5.4911,8.621964,7.541775,7.359465,6.414811,6.056591,6.413802,5.456011,6.962757,7.891709,5.903995,6.894126,6.978367,5.03159,6.938006,5.978337,6.78303,7.245463,6.341675,4.523784,4.028206,5.947084,6.311311,10.70953,7.702156,6.42566,5.089607,9.011062,4.264627,4.532879,3.84281,5.483667,4.920804,5.791045,9.41305,7.621162,8.931301,7.268206,8.174343,7.735321,7.87194,6.045461,4.21599,4.328424,8.337919,6.415944,3.993424,5.597309,5.540995,5.484624,6.807095,7.793595,5.823375,6.469933,6.551778,8.119742,6.115727,10.08801,9.909621,8.564596,6.824756,9.183787,6.05807,6.338869,8.087522,8.979076,8.844106,5.009417,7.96561,7.872554,4.835728,5.40333,8.270365,5.612411,4.104793,8.563635,9.211644,9.258665,5.746857,6.389257,5.959258,5.985802,6.831258,6.214593,5.517191,6.553743,8.305037,4.11412,8.794371,4.22028,8.839775,6.173886,7.084513,7.595349,5.556998,4.750947,7.431076,6.692778,6.755491,control
GSM3507257,4.018555,5.48854,7.540815,6.254058,7.588311,6.101465,7.06541,7.581954,5.973506,5.694072,7.621282,5.816935,6.900512,7.727487,4.546177,6.233043,5.009574,5.457891,6.500339,5.589934,4.348516,3.61807,5.173074,5.558179,10.36776,6.85543,6.761484,4.457682,7.942427,3.686577,3.845811,3.491163,4.941681,3.576247,4.510208,8.647195,7.386586,8.487902,7.347232,7.939831,6.82712,8.557851,6.520296,5.554693,4.008698,6.735916,6.190096,5.434389,6.281414,5.75028,6.233043,6.198426,7.622526,6.582877,5.637606,5.561546,7.243216,4.976261,9.973147,9.48321,8.484227,6.78829,8.438574,5.620345,6.413543,8.27941,7.592846,7.967873,4.908381,7.41948,7.165776,4.574393,5.556065,8.110683,5.391332,3.967776,8.031314,7.567106,8.467144,5.600567,6.097927,5.772938,5.550133,5.813714,6.168605,5.723125,6.397838,8.582303,4.601553,7.735807,3.966774,8.242473,5.182972,7.224088,6.737326,5.814247,5.108481,6.440785,6.10365,6.23807,control
GSM3507258,6.76566,7.430831,10.44683,8.78554,9.098616,7.112007,8.462827,9.309723,8.727392,7.587166,8.582276,6.436627,7.929905,9.066374,6.762813,7.108197,7.258124,7.970399,8.761821,8.209113,5.518908,4.219657,6.523366,6.539255,12.54984,9.054188,9.411669,6.880662,10.26113,4.507558,4.427804,4.76337,5.719911,6.041545,7.722652,10.45017,8.195864,10.16415,10.79396,9.622455,8.134298,9.293051,9.071648,7.813152,5.183543,8.359636,7.132416,6.807309,8.858699,7.799308,7.56102,7.827486,9.950083,7.45538,7.884649,7.020924,8.931851,7.065235,11.1888,12.14094,9.949039,8.443639,9.695937,7.382207,7.163487,8.989908,9.487136,9.66256,5.60502,8.710089,8.404926,6.487552,6.91631,9.571137,5.471892,4.496119,8.74137,9.41023,9.293987,7.020924,6.867482,6.003545,6.496274,8.116749,7.646775,9.218491,8.36128,10.62204,5.61514,7.926278,6.070593,9.272405,7.26908,8.481997,7.225411,6.317081,5.972922,8.55165,9.299623,7.118199,control
GSM3507259,4.693172,6.018924,9.175854,7.68823,7.776444,6.496863,7.705377,9.501685,6.816572,6.934535,8.181499,6.079148,7.261406,8.036634,5.853503,5.887946,5.69582,6.885385,7.534184,6.770184,4.515714,3.181117,5.938078,6.138345,10.96737,8.127144,7.789133,5.075408,9.102706,4.037772,4.181417,3.828203,4.933125,4.778427,5.587469,9.882387,7.784168,9.449945,9.320797,8.608798,7.547434,8.539965,7.858809,6.487866,4.17586,7.982491,6.695196,5.196373,6.779911,6.453111,6.992881,7.036836,8.669079,6.519949,6.634607,6.60954,8.122373,6.470013,10.84353,11.02231,8.655781,7.260155,8.463449,6.602067,7.020564,8.894076,8.395785,9.145746,4.933125,8.117319,7.29858,5.619437,5.958321,9.223646,5.253911,3.685915,8.542522,8.867756,9.223682,6.368003,6.395381,5.687699,6.044234,7.024024,7.352157,7.952683,7.65118,9.539341,4.603784,7.995074,5.061719,9.151947,6.115493,7.607257,6.758721,6.505466,5.414476,7.080125,7.809956,6.62314,control
GSM3507260,5.812073,6.22452,10.03456,7.927298,8.24826,6.920046,9.858089,10.73813,7.806356,7.251198,7.68942,5.947077,7.552905,8.193151,5.978321,7.505038,6.008477,7.237081,7.721314,8.097742,5.109358,4.11645,5.668166,6.242602,12.12445,7.654365,8.980982,5.434252,10.19873,5.747994,5.477546,4.27687,5.586397,5.71073,6.761029,10.31135,7.762666,9.819329,10.48424,8.437853,8.167393,8.483151,8.429537,6.68187,4.1546,8.733271,7.496553,6.306288,8.203791,6.594287,7.211824,6.646,9.756952,7.282711,6.886458,6.618656,7.802415,6.923953,10.82377,12.31983,9.624319,7.504967,9.214676,7.525496,7.466117,8.931446,8.468019,9.26189,5.404027,8.198636,7.412654,5.821339,5.778621,9.685923,5.752664,4.107743,8.788052,9.602233,9.199544,7.059883,6.522191,5.870088,6.045011,7.169624,7.551306,8.338276,7.963834,10.2991,4.799706,7.933305,5.774055,9.251713,7.095344,8.048162,7.22328,7.016271,5.443311,7.47505,8.307594,6.962808,control
