@RELATION femoral_head_necrosis

@ATTRIBUTE 11720807_x_at NUMERIC
@ATTRIBUTE 11729582_s_at NUMERIC
@ATTRIBUTE 11739787_a_at NUMERIC
@ATTRIBUTE 11740680_s_at NUMERIC
@ATTRIBUTE 11719581_a_at NUMERIC
@ATTRIBUTE 11756003_x_at NUMERIC
@ATTRIBUTE 11736395_a_at NUMERIC
@ATTRIBUTE 11729583_x_at NUMERIC
@ATTRIBUTE 11742315_s_at NUMERIC
@ATTRIBUTE 11742143_s_at NUMERIC
@ATTRIBUTE 11732236_a_at NUMERIC
@ATTRIBUTE 11725497_a_at NUMERIC
@ATTRIBUTE 11736538_s_at NUMERIC
@ATTRIBUTE 11731448_a_at NUMERIC
@ATTRIBUTE 11737280_at NUMERIC
@ATTRIBUTE 11745557_x_at NUMERIC
@ATTRIBUTE 11736696_a_at NUMERIC
@ATTRIBUTE 11728138_at NUMERIC
@ATTRIBUTE 11729920_at NUMERIC
@ATTRIBUTE 11720494_a_at NUMERIC
@ATTRIBUTE 11745299_x_at NUMERIC
@ATTRIBUTE 11727807_at NUMERIC
@ATTRIBUTE 11753827_x_at NUMERIC
@ATTRIBUTE 11732235_a_at NUMERIC
@ATTRIBUTE 11753662_x_at NUMERIC
@ATTRIBUTE 11739340_at NUMERIC
@ATTRIBUTE 11728137_at NUMERIC
@ATTRIBUTE 11721930_a_at NUMERIC
@ATTRIBUTE 11728821_a_at NUMERIC
@ATTRIBUTE 11733360_x_at NUMERIC
@ATTRIBUTE 11737268_s_at NUMERIC
@ATTRIBUTE 11752881_s_at NUMERIC
@ATTRIBUTE 11746263_a_at NUMERIC
@ATTRIBUTE 11727808_s_at NUMERIC
@ATTRIBUTE 11752701_s_at NUMERIC
@ATTRIBUTE 11739338_at NUMERIC
@ATTRIBUTE 11727970_a_at NUMERIC
@ATTRIBUTE 11751870_x_at NUMERIC
@ATTRIBUTE 11723952_at NUMERIC
@ATTRIBUTE 11715893_s_at NUMERIC
@ATTRIBUTE 11750918_a_at NUMERIC
@ATTRIBUTE 11737267_a_at NUMERIC
@ATTRIBUTE 11722470_x_at NUMERIC
@ATTRIBUTE 11754453_s_at NUMERIC
@ATTRIBUTE 11727969_a_at NUMERIC
@ATTRIBUTE 11745661_x_at NUMERIC
@ATTRIBUTE 11725438_a_at NUMERIC
@ATTRIBUTE 11715752_at NUMERIC
@ATTRIBUTE 11733482_a_at NUMERIC
@ATTRIBUTE 11758559_s_at NUMERIC
@ATTRIBUTE 11737774_a_at NUMERIC
@ATTRIBUTE 11721656_s_at NUMERIC
@ATTRIBUTE 11756160_x_at NUMERIC
@ATTRIBUTE 11741977_a_at NUMERIC
@ATTRIBUTE 11724635_at NUMERIC
@ATTRIBUTE 11757480_x_at NUMERIC
@ATTRIBUTE 11731446_s_at NUMERIC
@ATTRIBUTE 11739230_a_at NUMERIC
@ATTRIBUTE 11716467_x_at NUMERIC
@ATTRIBUTE 11724538_a_at NUMERIC
@ATTRIBUTE 11718997_at NUMERIC
@ATTRIBUTE 11716466_s_at NUMERIC
@ATTRIBUTE 11717871_s_at NUMERIC
@ATTRIBUTE 11751970_a_at NUMERIC
@ATTRIBUTE 11728670_a_at NUMERIC
@ATTRIBUTE 11730499_a_at NUMERIC
@ATTRIBUTE 11740646_a_at NUMERIC
@ATTRIBUTE 11725439_at NUMERIC
@ATTRIBUTE 11727161_a_at NUMERIC
@ATTRIBUTE 11728669_a_at NUMERIC
@ATTRIBUTE 11750456_s_at NUMERIC
@ATTRIBUTE 11737269_x_at NUMERIC
@ATTRIBUTE 11752880_a_at NUMERIC
@ATTRIBUTE 11722469_a_at NUMERIC
@ATTRIBUTE 11744965_x_at NUMERIC
@ATTRIBUTE 11758545_s_at NUMERIC
@ATTRIBUTE 11739339_s_at NUMERIC
@ATTRIBUTE 11743306_at NUMERIC
@ATTRIBUTE 11729940_x_at NUMERIC
@ATTRIBUTE 11747125_a_at NUMERIC
@ATTRIBUTE 11743067_at NUMERIC
@ATTRIBUTE 11721655_at NUMERIC
@ATTRIBUTE 11726179_a_at NUMERIC
@ATTRIBUTE 11715753_a_at NUMERIC
@ATTRIBUTE 11745087_a_at NUMERIC
@ATTRIBUTE 11758430_s_at NUMERIC
@ATTRIBUTE 11749176_a_at NUMERIC
@ATTRIBUTE 11721931_s_at NUMERIC
@ATTRIBUTE 11719359_a_at NUMERIC
@ATTRIBUTE 11731452_s_at NUMERIC
@ATTRIBUTE 11739937_a_at NUMERIC
@ATTRIBUTE 11749318_a_at NUMERIC
@ATTRIBUTE 11747546_a_at NUMERIC
@ATTRIBUTE 11741071_a_at NUMERIC
@ATTRIBUTE 11733941_a_at NUMERIC
@ATTRIBUTE 11721029_a_at NUMERIC
@ATTRIBUTE 11728136_at NUMERIC
@ATTRIBUTE 11739061_at NUMERIC
@ATTRIBUTE 11715461_at NUMERIC
@ATTRIBUTE 11756316_a_at NUMERIC
@ATTRIBUTE class {SONFH,control}

@DATA
1.736091,8.732930,3.802539,5.874669,7.004470,3.164706,7.177016,10.103150,5.907681,5.937729,4.994030,6.427765,5.915199,5.882703,7.810727,7.214436,6.964293,4.177295,4.954436,6.458408,6.292865,4.099481,7.250937,4.253155,7.054167,5.920270,6.599200,7.217052,4.277569,6.412936,5.155025,5.101368,7.085751,9.600315,5.040342,8.870037,5.638710,3.506730,6.323502,5.990334,4.087893,5.011745,5.169820,8.656445,6.307517,4.171605,11.278990,9.090311,8.048323,8.497303,5.440596,7.220813,6.075611,4.149736,7.763617,7.428829,7.566671,4.443777,8.177168,4.569173,9.223879,6.345981,6.764538,3.921659,5.649747,4.209336,6.871090,11.972140,5.856619,6.797106,5.023431,4.994056,4.003585,4.968098,7.016248,3.133564,10.012370,4.278721,4.326485,8.169231,7.266092,7.888256,2.796065,7.179770,5.384149,9.134279,7.824893,6.878427,7.970653,7.420826,7.399313,8.185987,5.626318,4.986784,4.036007,6.184038,3.559446,7.220876,11.610870,7.561344,control
10.806750,11.216230,10.506520,8.663006,10.289330,9.388454,10.458490,12.946830,8.725281,8.607899,7.868501,11.042590,8.624262,9.541193,11.074170,11.809020,9.961740,7.881823,8.053823,7.207698,10.645570,9.141988,11.929940,6.730590,11.721020,9.793498,10.067110,10.095590,7.019146,8.833643,8.018767,8.078774,10.376260,11.838040,7.976721,12.025580,7.775052,6.308299,10.964360,10.465540,6.419081,8.200645,9.168177,10.272360,8.742691,6.110325,13.261590,7.975770,6.157817,9.340133,9.009374,9.890251,7.003067,7.344089,10.313480,11.920610,10.810970,7.853126,10.243440,7.685803,11.056970,8.747097,8.233387,7.939477,9.348122,7.441122,2.775437,13.135670,7.612829,10.113770,7.696024,8.242967,7.317662,8.618045,9.659050,4.328800,12.511210,6.654555,6.516255,10.764740,10.539150,9.667303,5.901105,6.666216,8.900730,12.490020,10.544260,9.175415,8.176903,9.080871,6.071286,10.491350,6.195482,8.459242,5.777721,6.566738,7.207697,8.789616,11.327420,5.185700,control
9.371290,10.625250,8.256703,8.101383,9.050923,6.768762,9.215179,12.617900,8.245027,7.857437,7.683703,7.955520,7.919959,8.355137,8.522453,10.789420,9.920204,7.491460,8.593866,8.543353,9.810022,8.108831,11.344230,6.990414,10.826620,8.732722,9.543177,10.940880,5.780903,8.510290,7.356441,7.364122,9.458369,10.597020,7.349376,11.286310,7.798507,6.445415,10.791500,11.599220,5.321611,7.142222,8.011215,10.916640,8.667625,6.763692,13.263700,5.381186,8.304876,9.874104,7.632952,9.114132,8.122470,6.240745,9.699218,12.637070,9.429187,8.142523,10.437470,7.089528,11.558390,8.487377,8.026222,7.937757,8.802596,7.325934,5.021522,13.169440,7.044743,9.278097,7.650683,7.145116,6.229868,7.549795,10.617140,5.148388,11.815000,8.839212,8.222312,9.839488,10.974570,9.246543,4.160248,3.810506,9.451416,12.055120,10.011520,10.205010,7.262987,7.608871,8.213614,10.121730,5.387590,7.690505,6.845113,5.791938,6.944016,8.536992,10.251180,5.500705,control
9.460186,10.196440,7.907831,8.149967,9.483574,6.471226,9.673876,12.286930,7.973178,7.804259,6.749736,9.102225,7.960407,8.820645,10.005450,10.980670,9.331628,8.090366,7.680902,6.486973,9.826868,6.805356,10.990060,6.096196,10.864270,9.195862,10.163930,9.285774,5.888033,8.604115,7.204032,7.326140,8.606367,10.215330,7.168413,11.756970,7.170244,5.084542,9.095136,13.032250,5.428741,7.546532,6.945753,9.382859,8.171408,5.409542,12.525320,6.748736,6.440310,8.410751,8.440174,8.479558,6.242247,6.482472,8.918979,13.609110,10.243610,6.377123,9.562341,6.116328,11.248560,7.707511,7.741434,7.696635,8.064796,6.646576,5.495040,12.676990,6.014651,9.005497,7.387714,7.363699,6.656447,6.264627,8.586113,4.478887,12.109040,5.183475,6.495620,9.774572,9.692738,8.438573,5.103454,4.411476,8.959320,11.951400,9.599034,8.061143,7.342103,8.135298,5.920606,10.781190,5.068012,8.332199,5.699916,5.400999,7.390398,7.720881,11.182280,6.967706,control
10.574180,11.090680,9.764305,8.281197,9.966805,8.597828,10.061150,12.837700,8.454098,8.213202,8.448383,10.427500,8.264534,9.673346,10.770090,10.921760,9.758898,8.708439,8.694458,7.700443,9.973259,9.079234,11.116760,7.580755,10.935240,9.249146,10.792500,8.818477,6.627501,8.890066,7.418587,7.543453,10.157100,11.568920,7.674555,11.995300,8.151865,7.037364,10.766650,9.615314,6.048650,6.647097,9.561088,10.464100,8.801292,7.148755,13.225180,7.366595,5.711877,9.731139,10.148170,10.257250,7.247702,5.540910,10.364230,11.080040,10.739120,7.347718,10.859880,7.411329,11.459760,9.048178,7.953624,7.947094,8.948547,7.512463,5.513792,13.196950,7.138193,9.915591,7.615753,6.638825,5.496929,9.015304,8.234544,5.470735,12.319530,5.556007,7.476936,10.489530,10.215440,9.797945,5.984310,6.290387,8.996670,12.599260,10.217240,7.800078,7.960345,8.773638,5.504714,10.342500,6.831984,8.543592,6.136942,7.062424,7.782275,8.222200,9.570720,6.428276,control
9.676264,10.122910,10.631060,7.876316,9.238316,9.436772,9.389742,12.162340,7.971910,7.847722,7.013339,9.569218,7.567138,7.860137,9.526112,10.487090,8.432035,5.858810,7.321882,7.653397,9.578890,5.630871,10.778320,6.152510,10.491250,8.505514,8.379808,10.111830,6.453424,7.322440,7.078430,7.392475,8.411459,10.214800,7.143842,10.918270,6.267776,5.628811,10.290600,11.145780,5.786015,7.350005,6.915590,9.027310,7.335158,5.934243,12.876880,6.919941,6.977432,8.148791,3.547932,8.407643,7.159935,6.140845,8.545849,12.294780,9.340944,7.420457,9.074738,6.739162,10.731760,7.050895,6.866339,7.087494,6.011271,6.200613,4.388326,12.955750,6.722697,8.687426,7.585339,7.239224,5.947084,6.669819,9.582676,6.037648,11.580350,7.442576,6.680339,9.639766,9.744309,8.848460,5.220564,5.223484,8.589289,11.719620,9.839054,9.321370,8.401383,7.837439,6.479571,9.715490,5.286108,7.923450,6.178316,5.644972,5.009349,8.383389,7.546598,5.137545,control
10.896280,11.796380,10.603540,9.851624,10.660810,9.595173,10.603740,13.534060,9.895985,9.806581,8.711367,11.001690,9.668638,9.827097,11.125020,11.636210,10.748800,8.907088,9.329871,8.057846,10.510090,7.783724,11.688280,8.191077,11.466480,9.683715,10.738140,10.478780,7.958577,10.120510,9.282298,9.316309,9.853762,11.106720,9.235086,12.024080,9.898367,7.671011,11.585540,12.505700,7.670094,9.396277,9.861277,10.612610,10.019000,8.074608,13.538990,7.874085,8.237082,9.975142,9.358904,10.164740,7.919163,8.445107,9.980182,13.311850,10.982410,8.222046,11.130330,8.837404,12.235640,9.608952,8.869080,8.800108,9.242808,7.782454,3.731321,13.261570,8.436568,10.216990,8.806211,9.319741,8.604069,9.133192,10.322300,6.766939,12.418230,8.453630,8.213499,10.690700,10.807240,10.049980,6.276983,5.988004,9.975054,12.743010,10.735930,9.988756,8.305314,8.488625,7.628408,10.766560,6.981048,9.339390,7.124563,7.248124,8.757095,8.790442,7.845288,4.488803,control
1.815625,6.717366,6.673732,4.369011,6.938884,5.184538,6.937880,8.959162,4.288306,4.471892,4.669218,7.708288,5.001933,6.005084,7.436206,6.905177,6.910491,4.843163,4.915001,4.066763,5.843014,4.642005,7.249216,3.249679,7.159014,6.366477,7.528552,7.620150,4.724324,6.762814,4.363943,3.662120,6.688575,8.407215,4.259893,9.500135,5.565350,2.873733,9.550803,13.074600,3.518617,4.329871,5.838849,7.550749,6.250932,3.403228,10.244510,4.524890,4.355912,6.795306,5.887131,6.617622,4.176777,3.284808,6.466972,13.817320,8.456455,4.434642,7.120992,4.027489,7.753400,5.456386,5.668262,4.486130,6.163297,4.041211,8.355439,10.568690,4.580088,7.231267,4.422336,4.466294,3.671072,5.389161,7.300267,2.349392,10.232350,3.989045,4.278876,8.074080,8.726298,6.881767,3.344654,3.392308,6.088218,10.002710,8.058100,6.979733,4.809197,5.601606,4.327580,9.755857,3.888638,7.584925,4.004428,4.452522,4.701881,6.029165,10.180210,8.760777,control
11.052180,12.126130,11.906330,8.666756,11.151570,10.784210,11.250860,13.309070,8.747290,8.584756,8.281876,10.037310,8.632675,10.499150,11.059920,11.532620,10.485170,8.624088,8.686649,7.017447,10.597960,8.995209,11.921080,7.055787,11.525460,10.195360,10.393230,9.378567,7.290894,9.957262,7.795441,7.845303,10.714850,12.089020,7.958945,12.358330,9.165996,6.718687,11.229370,9.054829,6.744178,8.357530,9.509171,10.541090,9.908274,6.605161,12.867980,8.171928,6.498895,9.953217,3.273218,10.578080,6.846053,7.486901,10.852000,10.735470,11.753190,7.340028,10.779420,7.857238,11.295820,8.797367,8.012957,7.745799,10.158110,7.255967,4.718121,12.788210,7.379609,10.583730,7.928327,7.889984,7.838483,9.011828,8.256903,3.716332,12.786620,5.095681,7.668504,11.100020,10.543550,10.186270,5.476298,6.729212,9.167351,12.460930,11.063310,8.371228,6.590853,9.006996,6.480522,9.857069,6.345819,8.331798,6.336639,6.709576,7.598826,7.732476,9.154664,5.103647,control
1.968502,8.563044,3.961401,5.643051,7.330400,3.587532,7.488406,10.652190,5.369710,5.375114,6.641864,8.268433,5.256280,9.057079,7.754519,8.087192,7.393475,5.858877,7.338269,7.150200,7.080079,7.800306,8.276588,5.498274,7.892933,7.603907,8.560690,7.423429,4.886573,7.594650,4.945993,5.148617,8.448687,10.730720,5.103641,10.570070,6.872291,5.038793,10.232570,7.301145,4.404465,4.944792,6.962659,9.797777,7.278593,5.078041,11.115520,5.117413,4.986469,9.197536,9.132847,8.944586,6.773058,4.122690,10.526740,8.805066,10.204010,5.669613,8.935732,5.554319,9.685889,6.877691,6.153988,5.380594,6.970604,6.970822,8.146732,11.430760,5.233253,8.207700,5.088018,5.137811,4.501660,6.484911,6.763761,2.541794,11.430970,4.296415,6.038260,9.440860,9.605021,8.952270,3.019000,3.623117,6.685258,10.910150,9.289027,6.837817,5.913395,8.276917,4.823946,9.720842,4.931805,6.021861,5.456977,5.301955,5.006162,5.512224,11.885340,6.440937,control
