probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11721762_a_at,1.0,0.9481481481481481,0.11594426549998907,0.8333333333333334,PIK3R5,1.0
11717176_at,1.0,0.6851851851851852,0.4452153807470855,0.75,SNX27,1.0
11722904_a_at,1.0,0.8814814814814815,0.26501546399997505,0.8333333333333334,TBC1D9,1.0
11722126_a_at,1.0,0.8592592592592592,0.2944386209533599,0.25,CCDC174,1.0
11747020_x_at,1.0,0.6518518518518519,0.4783373123248279,0.25,HMHA1,1.0
11722269_a_at,1.0,0.9037037037037038,0.19528039002168987,0.25,SASH3,1.0
11739055_x_at,1.0,0.7851851851851852,0.42098584410023177,0.25,PTPN6,1.0
11719624_a_at,1.0,0.762962962962963,0.38632310549349025,0.75,PLEKHM1,1.0
11731019_x_at,1.0,0.8555555555555555,0.24088314876309777,0.25,AIF1,1.0
11743813_a_at,1.0,0.8222222222222222,0.3211775316841304,0.75,EVI2B,1.0
11738360_x_at,1.0,0.674074074074074,0.4470602037631528,0.75,PPIAL4C,1.0
11746456_x_at,1.0,0.8148148148148149,0.414086662499961,0.75,GPR155,1.0
11733389_a_at,1.0,0.6222222222222222,0.5187830013301667,0.75,DEF6,1.0
11745976_x_at,1.0,0.7777777777777778,0.3054152315272341,0.75,ANXA11,1.0
11727304_at,1.0,0.6666666666666667,0.4581228472908512,0.75,TIGD3,1.0
11738183_a_at,1.0,0.7407407407407407,0.3571722504071465,0.75,NLRP3,1.0
11752051_a_at,0.962962962962963,0.9037037037037038,0.15625943044243687,0.25,MYH9,0.962962962962963
11722574_at,0.962962962962963,0.9703703703703704,0.03098740839015091,0.25,AP1G1,0.962962962962963
11758635_s_at,0.962962962962963,0.8,0.2574007459836156,0.25,CREBBP,0.962962962962963
11723468_at,0.962962962962963,0.8814814814814815,0.1467526870826589,0.25,LPGAT1,0.962962962962963
11754447_a_at,0.962962962962963,0.874074074074074,0.20387198436330198,0.25,RPS6KA5,0.962962962962963
11717267_x_at,0.962962962962963,0.6185185185185185,0.5077587321170876,0.25,CAMK2G,0.962962962962963
11732514_s_at,0.962962962962963,0.762962962962963,0.3746054165478602,0.25,LYN,0.962962962962963
11754126_x_at,0.962962962962963,0.788888888888889,0.2656616865248785,0.25,CFLAR,0.962962962962963
11743589_at,0.962962962962963,0.8148148148148149,0.24982847339318592,0.5,SNX29,0.962962962962963
11723153_a_at,0.962962962962963,0.7851851851851852,0.4193534771768344,0.4166666666666667,GON4L,0.962962962962963
11762400_s_at,0.962962962962963,0.7111111111111111,0.38968173148333735,0.4166666666666667,PPIL2,0.962962962962963
11725043_a_at,0.962962962962963,0.8,0.2437138352053645,0.5833333333333334,YWHAB,0.962962962962963
11746818_s_at,0.962962962962963,0.674074074074074,0.4346134936801766,0.75,PGK1,0.962962962962963
11744129_at,0.962962962962963,0.6074074074074074,0.5215519733500678,0.75,MYO9B,0.962962962962963
11731397_a_at,0.962962962962963,0.8518518518518519,0.29045161372885414,0.75,YWHAB,0.962962962962963
11730270_a_at,0.962962962962963,0.7851851851851852,0.38167920082928153,0.75,NIPBL,0.962962962962963
11736509_x_at,0.962962962962963,0.7777777777777778,0.4358741591088822,0.75,IL6R,0.962962962962963
11730005_a_at,0.962962962962963,0.7074074074074075,0.38005847503304596,0.75,SEMA4D,0.962962962962963
11754245_x_at,0.962962962962963,0.6518518518518519,0.42921435869090774,0.75,SDCBP,0.962962962962963
11739009_a_at,0.962962962962963,0.7925925925925926,0.36250916454050836,0.75,MYH9,0.962962962962963
11718260_at,0.962962962962963,0.662962962962963,0.45557061101288754,0.5,NOTCH1,0.962962962962963
11717874_a_at,0.9444444444444444,0.8555555555555555,0.18163259015169228,0.25,IRF8,0.9444444444444444
11716073_a_at,0.9444444444444444,0.7814814814814814,0.39640012485481235,0.25,ATP6V1B2,0.9444444444444444
11730788_a_at,0.9444444444444444,0.7962962962962963,0.38445443503753135,0.75,APLP2,0.9444444444444444
11725110_a_at,0.9444444444444444,0.7814814814814814,0.29525279210921157,0.75,NDE1,0.9444444444444444
11743839_a_at,0.925925925925926,0.874074074074074,0.14721931047667994,0.25,ST3GAL6,0.925925925925926
11739746_s_at,0.925925925925926,0.6814814814814815,0.40875198996507833,0.25,SVIL,0.925925925925926
11734077_a_at,0.925925925925926,0.6296296296296297,0.44367216854484964,0.25,TNRC6C,0.925925925925926
