sample,11721762_a_at,11722904_a_at,11727304_at,11745976_x_at,11733389_a_at,11746456_x_at,11738360_x_at,11738183_a_at,11743813_a_at,11717176_at,11719624_a_at,11739055_x_at,11722269_a_at,11731019_x_at,11747020_x_at,11722126_a_at,11739009_a_at,11754245_x_at,11730005_a_at,11736509_x_at,11730270_a_at,11731397_a_at,11744129_at,11746818_s_at,11725043_a_at,11718260_at,11743589_at,11762400_s_at,11723153_a_at,11722574_at,11758635_s_at,11723468_at,11752051_a_at,11717267_x_at,11732514_s_at,11754126_x_at,11754447_a_at,11730788_a_at,11725110_a_at,11716073_a_at,11717874_a_at,11746376_a_at,11726633_s_at,11730501_a_at,11722387_at,11737775_a_at,11722594_at,11730781_a_at,11750630_s_at,11750917_a_at,11741275_a_at,11736169_a_at,11720446_a_at,11717993_at,11727947_at,11726586_at,11724357_a_at,11739746_s_at,11734077_a_at,11728838_a_at,11719377_x_at,11717636_s_at,11743839_a_at,11720334_a_at,11719308_a_at,11719150_a_at,11733470_at,11756484_a_at,11741091_a_at,11715691_s_at,11745369_x_at,11727841_a_at,11730394_at,11743523_a_at,11724005_s_at,11755086_x_at,11752577_at,11730284_x_at,11754832_a_at,11739467_a_at,11721342_a_at,11718297_a_at,11721465_a_at,11717209_s_at,11715462_x_at,11754775_s_at,11727138_a_at,11723669_s_at,11741172_a_at,11743116_s_at,11754599_a_at,11740553_a_at,11733938_x_at,11734501_a_at,11732131_x_at,11740206_x_at,11739438_at,11756341_a_at,11716652_a_at,11731281_a_at,class
GSM3507251,8.321125,7.450159,4.699669,9.523532,7.705902,5.673154,2.162536,6.041151,10.75204,7.385207,8.461843,9.230789,7.916088,9.428463,7.965228,6.783522,9.618308,9.586418,8.232609,6.083395,7.41563,8.652733,5.19408,10.49363,8.039841,6.547413,5.892215,6.477283,6.360325,6.952541,6.789247,6.455258,7.039629,6.414512,7.739701,6.762813,6.166615,9.357658,9.15358,8.619602,6.445637,7.579285,7.653925,3.702986,8.514828,5.587142,7.918227,3.552476,6.999202,6.477361,3.501578,7.3324,5.232766,7.211343,5.01093,4.129282,6.133927,6.100269,5.208565,5.198853,10.12612,9.473189,3.732788,6.84053,4.62527,4.814035,5.769413,6.653076,5.836695,10.91247,6.564324,8.156808,5.106511,7.5555,9.256689,7.660013,7.2533,4.640687,6.432875,7.577957,7.510386,6.994935,8.440007,7.509666,12.28943,10.95688,5.616358,2.806063,3.157823,9.923574,7.207837,5.381547,8.671894,6.246318,8.86982,5.917058,3.087206,7.684541,4.236782,7.019931,control
GSM3507252,8.285982,6.267767,5.083256,9.166264,7.515437,4.884813,2.791597,6.621037,10.48866,7.518793,7.829366,8.367022,7.527353,9.084023,7.187289,6.361911,9.384628,10.18157,8.458843,6.16714,7.210811,8.550873,5.45097,10.51553,7.392817,6.595506,4.934797,6.602572,6.260468,6.593624,6.667395,6.37251,7.196606,6.226609,7.891297,6.959074,5.380704,9.318221,8.753481,8.694478,5.983226,7.502264,6.995018,4.013619,7.947226,5.185076,8.581936,4.579048,7.15008,6.979287,4.107169,7.40942,5.18383,7.577295,5.03386,4.395664,5.735761,5.962409,5.595056,6.078233,9.521935,9.368575,2.627776,4.685803,5.048849,5.076477,6.523598,7.003328,6.065416,10.51061,6.344588,8.199888,4.967549,6.830323,9.340878,7.269614,7.555692,4.724144,5.901106,6.964172,8.214766,6.386771,8.485768,6.81949,11.36801,9.926418,5.619765,2.917388,4.135565,9.007761,7.351538,5.813973,8.287384,6.184994,8.76062,5.37772,3.525552,6.845319,4.275127,6.658647,control
GSM3507253,8.314295,5.409785,4.884161,8.980405,7.609935,5.005394,2.701902,6.214128,11.05618,7.786637,7.605256,8.41467,7.838542,9.25584,7.239088,6.431674,8.921156,10.46625,8.166051,6.964792,7.145116,8.553151,5.543346,10.77277,7.450757,6.348527,4.225005,5.844117,5.5466,6.507863,6.510516,6.775049,6.737009,6.166544,8.38989,7.364279,5.545653,9.465409,8.657999,9.259841,5.798552,7.481802,7.450822,3.66873,8.166746,4.863895,8.124924,4.05598,7.128358,6.964256,4.120108,8.01294,4.915463,8.051066,4.949813,4.31022,5.984781,6.288979,5.218808,5.635913,9.602789,9.963612,4.240418,4.898113,4.999219,4.85091,6.248185,6.716921,5.969116,11.01934,6.196079,8.435409,5.313422,7.197567,9.598798,7.186559,7.918153,4.357631,6.044977,7.145427,8.406716,6.497121,9.039105,7.441877,11.51003,10.13464,6.116532,2.733394,4.230979,9.392517,6.794025,5.456543,8.508522,6.438868,9.264255,5.545305,3.42408,7.355375,4.517953,6.57085,control
GSM3507254,7.816289,4.36881,5.077928,9.203881,7.544658,5.588475,2.521392,6.441466,10.52658,7.486472,7.562757,8.499228,7.934577,8.800245,7.169655,6.132915,9.435068,10.13227,8.361205,5.955921,7.127956,8.562141,5.39234,10.61528,7.463842,6.540267,4.686443,6.169371,5.682981,6.492369,6.375726,5.937726,6.912529,6.104755,8.255463,7.091443,5.37182,8.886039,8.294178,9.08857,5.622202,7.284709,7.144168,3.504683,8.253588,5.312935,7.952057,4.122909,7.253632,6.895968,3.894049,7.584258,4.855088,7.078617,4.590527,4.388086,6.103753,6.261186,4.883005,5.662856,9.638246,9.71277,3.593352,4.807113,4.828924,5.243166,6.61881,6.458015,5.668448,10.63927,6.016768,8.428543,4.424148,7.000703,9.504419,7.031284,7.180366,4.114119,5.612015,6.767423,8.276626,6.025684,8.222593,7.045158,11.29309,10.56175,5.96177,2.72711,4.144697,9.766562,6.902603,5.45153,8.374022,6.073499,8.458283,6.03427,3.506817,7.588031,4.109626,6.400241,control
GSM3507255,7.691845,7.012269,5.231127,8.805049,7.3406,4.556832,2.81278,6.196552,10.10251,7.23839,7.65272,8.356319,7.34833,9.031931,6.883745,6.393411,9.09446,9.482574,8.013467,5.432554,7.114031,8.291451,5.211795,10.2192,7.028664,6.130131,5.512462,6.514773,6.185384,6.88044,6.552749,5.826097,6.881783,5.961625,7.502916,6.188324,5.622854,9.006795,8.494251,8.361985,6.465376,7.382201,6.84617,4.948642,7.563685,5.317194,7.934988,5.116769,6.666392,6.893469,3.998066,7.010837,4.810423,7.84526,5.139475,4.427727,6.049133,5.074756,5.537235,4.429892,9.141665,8.90613,3.293717,4.663281,5.207165,5.101969,6.72683,7.09731,5.795471,9.996947,6.002959,7.479891,4.139869,7.08914,8.895163,7.390705,7.417809,4.396457,5.983565,6.1939,8.572504,6.091064,7.68629,7.512268,11.05904,9.74838,5.596169,2.89491,4.244872,8.943398,7.468651,5.549139,8.300052,6.21351,8.753941,5.17628,3.599957,6.87691,3.879722,6.699329,control
GSM3507256,6.9036,6.087222,4.85872,8.475534,7.191857,5.089607,2.749398,5.544016,9.689377,6.792453,7.589883,9.117612,7.245463,7.06291,6.824756,6.688157,9.094885,9.33456,8.174343,4.574182,7.413023,8.527783,4.752263,10.65386,7.341862,5.540995,5.343456,6.737205,5.985802,6.668727,6.761006,5.746857,6.704259,5.4911,7.724106,5.740306,5.465263,8.153031,8.502428,7.728225,5.593903,7.030432,7.492603,3.553065,7.702156,6.193084,7.748969,4.357127,6.547163,5.959498,3.545124,7.431673,4.983398,7.642344,4.951529,4.213354,5.993682,5.203543,5.776337,4.025041,9.094252,8.678154,2.388271,5.22472,4.854798,5.288554,5.351642,7.010647,5.94494,10.56338,6.339046,6.702563,4.325575,7.321883,8.305037,7.431076,6.317962,4.78802,5.903995,6.981671,7.629972,6.433292,8.189305,7.393979,9.909621,10.56367,4.85519,2.265661,3.617828,9.715233,7.154767,5.612411,8.563635,6.605405,8.444994,5.978337,3.303707,7.303659,4.238666,7.156911,control
GSM3507257,6.837555,5.67493,4.377498,7.198395,7.250671,4.457682,2.660885,6.265286,9.225092,7.047038,7.166614,7.730814,6.500339,7.761662,6.78829,5.768147,8.764297,9.335377,7.939831,5.177791,6.858644,7.879706,4.438565,9.593136,6.70731,5.75028,5.10041,5.898421,5.550133,6.509605,6.298656,5.600567,6.054023,5.48854,6.445725,5.49741,5.136236,7.959852,8.460495,7.532747,5.910976,7.337432,6.463059,4.22503,6.85543,4.967221,7.056867,4.075258,6.167317,6.763057,4.069505,7.144113,4.729284,7.194438,4.810881,4.254273,4.504169,4.610099,5.236738,3.676045,8.214779,8.189539,3.184781,4.296009,3.875805,5.140612,6.533072,5.935111,5.446461,9.49857,5.823078,6.953466,2.883919,6.422674,8.582303,6.440785,7.054653,4.010365,5.816935,5.513079,8.070834,5.956645,8.249346,7.078824,9.48321,8.857999,5.454444,1.897659,4.478905,8.373934,6.740049,5.391332,8.031314,5.900143,7.895268,5.009574,3.517081,7.149674,3.530229,6.653997,control
GSM3507258,9.107622,7.160814,5.171957,10.03115,8.58297,6.880662,3.274585,6.929405,11.81121,8.135346,8.836867,9.014574,8.761821,9.429371,8.443639,7.006129,9.784158,10.8974,9.622455,7.614832,7.66381,9.34037,6.332607,11.09545,8.00742,7.799308,5.185845,7.027271,6.496274,7.168036,6.809073,7.020924,7.283462,7.430831,9.369838,8.507874,7.01047,10.36812,10.15727,10.15895,6.903353,8.259461,7.838542,5.144679,9.054188,5.386369,9.00577,4.955983,8.503057,7.531926,3.614186,8.699965,4.934141,8.301239,5.488832,4.458463,6.836931,6.578708,5.749941,7.137964,10.55402,10.37974,4.526367,5.128002,5.90438,5.322898,7.756372,8.312656,6.971219,11.50549,6.864433,9.639196,5.005109,8.620119,10.62204,8.55165,8.264393,5.033828,6.436627,6.846397,9.409393,7.164919,9.213594,7.952511,12.14094,11.38327,5.959271,3.768448,4.109355,11.05966,7.61111,5.471892,8.74137,6.655825,9.406419,7.258124,3.610398,8.055864,4.794726,7.207698,control
GSM3507259,8.085691,7.033643,4.124367,8.950541,7.601506,5.075408,2.749078,6.301047,10.42308,6.745183,7.624326,8.181171,7.534184,9.058449,7.260155,6.575898,9.040136,10.45496,8.608798,6.05022,7.177279,8.627357,4.643898,10.4346,7.571963,6.453111,4.808207,6.614809,6.044234,6.370924,6.473218,6.368003,7.22116,6.018924,7.965537,6.883353,6.367965,8.985362,8.799139,8.670622,6.376578,7.551774,6.519949,4.214425,8.127144,5.351521,8.124763,4.267243,7.092968,6.635518,3.730322,7.731559,5.109329,7.791418,5.125619,5.155439,6.018924,5.371908,5.924167,4.504169,9.549814,9.056742,2.75428,3.779397,5.310125,4.965483,6.711588,7.408026,6.086344,10.70391,6.205659,7.820997,4.242424,7.152701,9.539341,7.080125,6.96273,4.666205,6.079148,6.338943,8.349938,6.508464,8.35753,7.039442,11.02231,10.44336,5.569028,2.710555,3.533885,9.362097,7.28621,5.253911,8.542522,6.548359,8.805359,5.69582,3.453562,7.269186,4.727133,6.674683,control
GSM3507260,8.172853,8.896132,5.868331,9.067083,7.426151,5.434252,2.783078,7.197962,11.44851,7.937645,7.901061,8.799966,7.721314,10.58616,7.504967,6.546334,8.846125,10.79176,8.437853,6.168151,7.450106,8.742527,5.055025,11.32246,7.684787,6.594287,5.116152,6.466105,6.045011,6.966935,6.53894,7.059883,6.27377,6.22452,8.908598,7.462336,6.681322,10.02469,8.91715,9.677011,7.37998,7.652975,7.311069,6.283623,7.654365,5.375597,7.761805,5.565963,7.942779,6.675035,3.807976,7.734866,4.907571,7.997637,4.752137,4.31837,6.563395,5.910869,5.511732,5.303301,10.19718,9.657882,4.912828,5.015242,7.213337,5.072305,7.114275,7.530784,6.64848,11.16824,6.080987,8.470016,5.156204,7.634049,10.2991,7.47505,8.669097,4.4892,5.947077,7.195739,7.774918,6.546288,8.469214,7.360179,12.31983,10.83075,5.727441,4.110338,4.179474,9.582381,6.988626,5.752664,8.788052,6.112375,9.694869,6.008477,3.571814,7.558329,4.612043,6.929876,control
