Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11721762_a_at,5,1.0,0.9481481481481481,0.11594426549998907,0.8333333333333334
11722904_a_at,5,1.0,0.8814814814814815,0.26501546399997505,0.8333333333333334
11727304_at,5,1.0,0.6666666666666667,0.4581228472908512,0.75
11745976_x_at,5,1.0,0.7777777777777778,0.3054152315272341,0.75
11733389_a_at,5,1.0,0.6222222222222222,0.5187830013301667,0.75
11746456_x_at,5,1.0,0.8148148148148149,0.414086662499961,0.75
11738360_x_at,5,1.0,0.674074074074074,0.4470602037631528,0.75
11738183_a_at,5,1.0,0.7407407407407407,0.3571722504071465,0.75
11743813_a_at,5,1.0,0.8222222222222222,0.3211775316841304,0.75
11717176_at,5,1.0,0.6851851851851852,0.4452153807470855,0.75
11719624_a_at,5,1.0,0.762962962962963,0.38632310549349025,0.75
11739055_x_at,5,1.0,0.7851851851851852,0.42098584410023177,0.25
11722269_a_at,5,1.0,0.9037037037037038,0.19528039002168987,0.25
11731019_x_at,5,1.0,0.8555555555555555,0.24088314876309777,0.25
11747020_x_at,5,1.0,0.6518518518518519,0.4783373123248279,0.25
11722126_a_at,5,1.0,0.8592592592592592,0.2944386209533599,0.25
11739009_a_at,5,0.962962962962963,0.7925925925925926,0.36250916454050836,0.75
11754245_x_at,5,0.962962962962963,0.6518518518518519,0.42921435869090774,0.75
11730005_a_at,5,0.962962962962963,0.7074074074074075,0.38005847503304596,0.75
11736509_x_at,5,0.962962962962963,0.7777777777777778,0.4358741591088822,0.75
11730270_a_at,5,0.962962962962963,0.7851851851851852,0.38167920082928153,0.75
11731397_a_at,5,0.962962962962963,0.8518518518518519,0.29045161372885414,0.75
11744129_at,5,0.962962962962963,0.6074074074074074,0.5215519733500678,0.75
11746818_s_at,5,0.962962962962963,0.674074074074074,0.4346134936801766,0.75
11725043_a_at,5,0.962962962962963,0.8,0.2437138352053645,0.5833333333333334
11718260_at,5,0.962962962962963,0.662962962962963,0.45557061101288754,0.5
11743589_at,5,0.962962962962963,0.8148148148148149,0.24982847339318592,0.5
11762400_s_at,5,0.962962962962963,0.7111111111111111,0.38968173148333735,0.4166666666666667
11723153_a_at,5,0.962962962962963,0.7851851851851852,0.4193534771768344,0.4166666666666667
11722574_at,5,0.962962962962963,0.9703703703703704,0.03098740839015091,0.25
11758635_s_at,5,0.962962962962963,0.8,0.2574007459836156,0.25
11723468_at,5,0.962962962962963,0.8814814814814815,0.1467526870826589,0.25
11752051_a_at,5,0.962962962962963,0.9037037037037038,0.15625943044243687,0.25
11717267_x_at,5,0.962962962962963,0.6185185185185185,0.5077587321170876,0.25
11732514_s_at,5,0.962962962962963,0.762962962962963,0.3746054165478602,0.25
11754126_x_at,5,0.962962962962963,0.788888888888889,0.2656616865248785,0.25
11754447_a_at,5,0.962962962962963,0.874074074074074,0.20387198436330198,0.25
11730788_a_at,5,0.9444444444444444,0.7962962962962963,0.38445443503753135,0.75
11725110_a_at,5,0.9444444444444444,0.7814814814814814,0.29525279210921157,0.75
11716073_a_at,5,0.9444444444444444,0.7814814814814814,0.39640012485481235,0.25
11717874_a_at,5,0.9444444444444444,0.8555555555555555,0.18163259015169228,0.25
11746376_a_at,5,0.925925925925926,0.7037037037037037,0.4048742797976934,0.75
11726633_s_at,5,0.925925925925926,0.7185185185185186,0.3863231054934903,0.75
11730501_a_at,5,0.925925925925926,0.8962962962962964,0.11535119631405508,0.75
11722387_at,5,0.925925925925926,0.6,0.5154672125246462,0.75
11737775_a_at,5,0.925925925925926,0.9185185185185185,0.08445743889623242,0.75
11722594_at,5,0.925925925925926,0.7555555555555555,0.3916130337151497,0.75
11730781_a_at,5,0.925925925925926,0.6296296296296297,0.4807687031758211,0.75
11750630_s_at,5,0.925925925925926,0.8296296296296297,0.18068608766889585,0.75
11750917_a_at,5,0.925925925925926,0.8666666666666668,0.15404914328211422,0.75
11741275_a_at,5,0.925925925925926,0.7481481481481482,0.3914378545367511,0.75
11736169_a_at,5,0.925925925925926,0.6851851851851852,0.41491400930385336,0.75
11720446_a_at,5,0.925925925925926,0.8296296296296296,0.28157893049997357,0.6666666666666666
11717993_at,5,0.925925925925926,0.6296296296296297,0.46628438192645083,0.4166666666666667
11727947_at,5,0.925925925925926,0.7407407407407407,0.42390826452813324,0.4166666666666667
11726586_at,5,0.925925925925926,0.7111111111111111,0.41275945824459354,0.4166666666666667
11724357_a_at,5,0.925925925925926,0.6592592592592593,0.4217996585928278,0.25
11739746_s_at,5,0.925925925925926,0.6814814814814815,0.40875198996507833,0.25
11734077_a_at,5,0.925925925925926,0.6296296296296297,0.44367216854484964,0.25
11728838_a_at,5,0.925925925925926,0.8592592592592594,0.14675268708265884,0.25
11719377_x_at,5,0.925925925925926,0.8222222222222223,0.2637182684284133,0.25
11717636_s_at,5,0.925925925925926,0.8666666666666668,0.20047953485517564,0.25
11743839_a_at,5,0.925925925925926,0.874074074074074,0.14721931047667994,0.25
11720334_a_at,5,0.925925925925926,0.6,0.4992449717705071,0.25
11719308_a_at,5,0.925925925925926,0.8074074074074075,0.2739238827718607,0.25
11719150_a_at,5,0.925925925925926,0.9333333333333333,0.04829038818668627,0.25
11733470_at,5,0.925925925925926,0.5925925925925927,0.4927457294685212,0.25
11756484_a_at,5,0.925925925925926,0.888888888888889,0.13857990321384964,0.25
11741091_a_at,5,0.9259259259259259,0.762962962962963,0.42921435869090774,0.75
11715691_s_at,5,0.9259259259259259,0.6,0.48389707438754276,0.75
11745369_x_at,5,0.9259259259259259,0.7333333333333334,0.37987796755431363,0.75
11727841_a_at,5,0.9259259259259259,0.725925925925926,0.34306773857509365,0.75
11730394_at,5,0.9259259259259259,0.8777777777777779,0.14320455503097188,0.75
11743523_a_at,5,0.9259259259259259,0.7407407407407407,0.30987408390150945,0.75
11724005_s_at,5,0.9259259259259259,0.7333333333333334,0.41853490626715995,0.75
11755086_x_at,5,0.9259259259259259,0.8444444444444444,0.2318885309999782,0.75
11752577_at,5,0.9259259259259259,0.8222222222222222,0.258464389961006,0.75
11730284_x_at,5,0.9259259259259259,0.7962962962962964,0.24074074074074076,0.75
11754832_a_at,5,0.9259259259259259,0.6,0.5154672125246461,0.6666666666666666
11739467_a_at,5,0.9259259259259259,0.8666666666666668,0.17877805016514325,0.5833333333333334
11721342_a_at,5,0.9259259259259259,0.8666666666666668,0.10670266882139214,0.5833333333333334
11718297_a_at,5,0.9259259259259259,0.7703703703703704,0.35946920173484237,0.25
11721465_a_at,5,0.9259259259259259,0.6962962962962963,0.3807796492585148,0.25
11717209_s_at,5,0.9259259259259259,0.5851851851851853,0.5019850854986632,0.25
11715462_x_at,5,0.9259259259259259,0.7296296296296296,0.3190348958127115,0.25
11754775_s_at,5,0.9259259259259259,0.6518518518518519,0.459318992531185,0.25
11727138_a_at,5,0.9259259259259259,0.8518518518518519,0.10475656017578483,0.25
11723669_s_at,5,0.9259259259259259,0.6555555555555556,0.41358946000425567,0.25
11741172_a_at,5,0.9259259259259259,0.6222222222222222,0.48460525137173704,0.25
11743116_s_at,5,0.9259259259259259,0.7555555555555555,0.3538927166101112,0.25
11754599_a_at,5,0.9259259259259259,0.725925925925926,0.30943108998822844,0.25
11740553_a_at,5,0.888888888888889,0.5777777777777777,0.529383522203182,0.75
11733938_x_at,5,0.888888888888889,0.8074074074074075,0.2035352839116161,0.75
11734501_a_at,5,0.888888888888889,0.8962962962962964,0.10924356447224162,0.75
11732131_x_at,5,0.888888888888889,0.6296296296296297,0.4444444444444444,0.75
11740206_x_at,5,0.888888888888889,0.725925925925926,0.41951699969315914,0.75
11739438_at,5,0.888888888888889,0.8185185185185185,0.16992695921414017,0.75
11756341_a_at,5,0.888888888888889,0.8444444444444444,0.17053132493661238,0.75
11716652_a_at,5,0.888888888888889,0.5629629629629631,0.48034052849995484,0.75
11731281_a_at,5,0.888888888888889,0.7185185185185186,0.32245627940265065,0.75
11734529_x_at,5,0.888888888888889,0.762962962962963,0.2703957370139849,0.75
11741351_s_at,5,0.888888888888889,0.725925925925926,0.4095901126207186,0.75
11724678_a_at,5,0.888888888888889,0.6962962962962964,0.40858415912656626,0.75
11755404_a_at,5,0.888888888888889,0.8,0.2665637661547642,0.75
11715922_x_at,5,0.888888888888889,0.837037037037037,0.17877805016514325,0.75
11727112_a_at,5,0.888888888888889,0.7777777777777779,0.3364055948997213,0.75
11726217_a_at,5,0.888888888888889,0.7962962962962964,0.21989522383403554,0.75
11720755_at,5,0.888888888888889,0.7777777777777778,0.28327886186626583,0.75
11753198_a_at,5,0.888888888888889,0.7703703703703704,0.3243649488268343,0.75
11723094_a_at,5,0.888888888888889,0.837037037037037,0.11294778282945855,0.75
11716155_s_at,5,0.888888888888889,0.7703703703703704,0.302481733171784,0.75
11741519_s_at,5,0.888888888888889,0.7444444444444445,0.2567337307499759,0.75
11757926_s_at,5,0.888888888888889,0.6370370370370371,0.4234225951711941,0.5
11739272_x_at,5,0.888888888888889,0.7481481481481482,0.42098584410023177,0.4166666666666667
11718724_at,5,0.888888888888889,0.5851851851851853,0.5194436191978656,0.4166666666666667
11738800_a_at,5,0.888888888888889,0.7481481481481482,0.23482766643181271,0.4166666666666667
11728333_a_at,5,0.888888888888889,0.6370370370370371,0.42179965859282786,0.4166666666666667
11742418_a_at,5,0.888888888888889,0.5851851851851853,0.5194436191978656,0.3333333333333333
11720392_at,5,0.888888888888889,0.6296296296296297,0.44056952790260445,0.25
11733802_a_at,5,0.888888888888889,0.5777777777777777,0.5293835222031821,0.25
11758090_s_at,5,0.888888888888889,0.6222222222222222,0.4753166585823875,0.25
11739570_at,5,0.888888888888889,0.6740740740740742,0.3660863346118983,0.25
11763733_x_at,5,0.888888888888889,0.7851851851851852,0.3418660965693134,0.25
11748160_s_at,5,0.888888888888889,0.6592592592592593,0.37715998868447315,0.25
11721805_at,5,0.888888888888889,0.774074074074074,0.2665637661547642,0.25
11721421_s_at,5,0.888888888888889,0.6518518518518519,0.4070705678232322,0.25
11752737_a_at,5,0.888888888888889,0.7703703703703704,0.3398539184282804,0.25
11724224_a_at,5,0.8888888888888888,0.7481481481481482,0.4018134475589783,0.75
11758386_s_at,5,0.8888888888888888,0.7037037037037037,0.3875638803047472,0.75
11748273_a_at,5,0.8888888888888888,0.8518518518518519,0.14103283529377608,0.75
11763456_x_at,5,0.8888888888888888,0.7185185185185186,0.3718489006818113,0.75
11752568_a_at,5,0.8888888888888888,0.6370370370370371,0.36795508761540124,0.75
11715578_s_at,5,0.8888888888888888,0.7481481481481482,0.3347705641030123,0.75
11755506_a_at,5,0.8888888888888888,0.8814814814814815,0.13708707795053143,0.75
11741762_x_at,5,0.8888888888888888,0.8296296296296296,0.20387198436330198,0.75
11716908_a_at,5,0.8888888888888888,0.7,0.3759760959041918,0.25
11741062_s_at,5,0.8888888888888888,0.5851851851851853,0.4418520070783,0.25
11756361_x_at,5,0.8888888888888888,0.7703703703703704,0.3527279540980482,0.25
11739666_a_at,5,0.8888888888888888,0.7185185185185186,0.37643187991916777,0.25
11725383_a_at,5,0.8888888888888888,0.6814814814814815,0.37643187991916777,0.25
11727637_at,5,0.8888888888888888,0.725925925925926,0.4112612338515944,0.25
11729576_a_at,5,0.8888888888888888,0.6814814814814815,0.2946714708283864,0.25
11716753_x_at,5,0.8888888888888888,0.7185185185185186,0.32563117985678913,0.25
