probe_id,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc,gene_symbol,combined_score
11718185_a_at,1.0,1.0,0.0,1.0,FCHSD2,1.0
11719219_a_at,1.0,0.9703703703703704,0.04057204129667889,0.9166666666666666,UNC119,1.0
11715466_at,1.0,0.9703703703703704,0.040572041296678955,0.9166666666666666,ARHGDIB,1.0
11746818_s_at,1.0,0.888888888888889,0.1527076157636171,0.9166666666666666,PGK1,1.0
11744636_a_at,1.0,0.9037037037037038,0.14721931047667988,0.9166666666666666,OPRL1,1.0
11745192_a_at,1.0,0.9333333333333333,0.09222147850362022,0.9166666666666666,EPB41L3,1.0
11746563_x_at,1.0,0.874074074074074,0.1768494279453825,0.9166666666666666,FAM65A,1.0
11724683_a_at,1.0,0.962962962962963,0.0828173324999922,0.9166666666666666,CD300A,1.0
11743813_a_at,1.0,0.9259259259259259,0.11415581486979581,0.9166666666666666,EVI2B,1.0
11717557_s_at,1.0,0.9777777777777779,0.049690399499995305,0.9166666666666666,POM121 /// POM121C,1.0
11733470_at,1.0,0.9333333333333333,0.14907119849998596,0.9166666666666666,CD300LB,1.0
11724821_a_at,1.0,0.9333333333333333,0.12936480886350354,0.9166666666666666,NEK6,1.0
11759346_a_at,1.0,0.8962962962962964,0.14439695325642904,0.9166666666666666,MAML2,1.0
11728427_at,1.0,0.9703703703703704,0.06625386599999375,0.9166666666666666,IKBIP,1.0
11719624_a_at,1.0,0.9407407407407409,0.11294778282945848,0.9166666666666666,PLEKHM1,1.0
11756846_a_at,1.0,0.9851851851851852,0.020286020648339478,0.9166666666666666,PRAM1,1.0
11757288_s_at,1.0,0.9259259259259259,0.11415581486979587,0.9166666666666666,CST3,1.0
11718657_a_at,1.0,0.9259259259259259,0.12830005981991682,0.9166666666666666,MIR21 /// VMP1,1.0
11727179_a_at,1.0,0.9925925925925926,0.016563466499998413,0.9166666666666666,MTHFR,1.0
11735818_a_at,1.0,0.7925925925925925,0.312738249371623,0.9166666666666666,THADA,1.0
11727740_a_at,1.0,0.8962962962962964,0.14439695325642904,0.9166666666666666,CD300LF,1.0
11745744_a_at,1.0,0.962962962962963,0.05237828008789238,0.8333333333333334,AMPD2,1.0
11756894_a_at,1.0,0.9703703703703704,0.040572041296678955,0.8333333333333334,SPIN3,1.0
11747228_x_at,1.0,0.962962962962963,0.0523782800878924,0.8333333333333334,ATP1A1,1.0
11716904_s_at,1.0,0.9333333333333333,0.0993807989999906,0.8333333333333334,TGOLN2,1.0
11744592_a_at,1.0,0.9555555555555555,0.06625386599999376,0.8333333333333334,GON4L,1.0
11722752_a_at,1.0,0.9481481481481481,0.07219847662821458,0.8333333333333334,ELMSAN1,1.0
11758386_s_at,1.0,0.9555555555555555,0.06625386599999378,0.8333333333333334,MANBA,1.0
11716612_a_at,1.0,0.9925925925925926,0.016563466499998406,0.8333333333333334,ABCF3,1.0
11748273_a_at,1.0,0.9703703703703704,0.048290388186686226,0.8333333333333334,RAF1,1.0
11743591_a_at,1.0,0.8444444444444444,0.21659542988464361,0.8333333333333334,ZDHHC7,1.0
11746839_a_at,1.0,0.9407407407407407,0.09658077637337259,0.8333333333333334,SKIV2L,1.0
11754832_a_at,1.0,0.9851851851851852,0.02028602064833947,0.9166666666666666,PPP1R12C,1.0
11747020_x_at,1.0,0.9333333333333333,0.12936480886350354,0.9166666666666666,HMHA1,1.0
11724005_s_at,1.0,0.962962962962963,0.05237828008789243,0.9166666666666666,FYB,1.0
11731054_s_at,1.0,0.8592592592592592,0.2571341475216264,0.9166666666666666,FNIP1,1.0
11718121_x_at,1.0,0.888888888888889,0.15270761576361705,0.9166666666666666,ATP6V1A,1.0
11745801_s_at,1.0,0.9185185185185185,0.11233889546743032,0.9166666666666666,CAP1,1.0
11725924_a_at,1.0,0.9851851851851852,0.020286020648339478,0.9166666666666666,RASSF5,1.0
11741351_s_at,1.0,0.962962962962963,0.06415002990995841,0.9166666666666666,ANXA11,1.0
