Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11718185_a_at,5,1.0,1.0,0.0,1.0
11725976_a_at,5,1.0,0.9925925925925926,0.016563466499998396,1.0
11744351_a_at,5,1.0,0.962962962962963,0.06415002990995838,1.0
11754863_s_at,5,1.0,0.962962962962963,0.0828173324999922,1.0
11732135_a_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11756746_s_at,5,1.0,0.8814814814814815,0.16228816518671588,1.0
11719038_a_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11725813_at,5,1.0,0.9481481481481481,0.11594426549998903,1.0
11720493_s_at,5,1.0,1.0,0.0,1.0
11740162_a_at,5,1.0,0.9481481481481481,0.11594426549998903,1.0
11720554_a_at,5,1.0,0.9481481481481481,0.09658077637337252,1.0
11731424_x_at,5,1.0,0.874074074074074,0.17292766711005553,1.0
11757808_s_at,5,1.0,0.962962962962963,0.0523782800878924,1.0
11724484_a_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11747623_a_at,5,1.0,0.9703703703703704,0.06625386599999375,1.0
11725440_a_at,5,1.0,0.9111111111111111,0.16058876584206516,1.0
11721513_a_at,5,1.0,0.9925925925925926,0.016563466499998413,1.0
11726122_at,5,1.0,0.9925925925925926,0.01656346649999841,1.0
11740206_x_at,5,1.0,0.9777777777777779,0.04969039949999535,1.0
11748747_a_at,5,1.0,0.962962962962963,0.08281733249999217,1.0
11745742_s_at,5,1.0,0.9925925925925926,0.016563466499998406,1.0
11718260_at,5,1.0,0.9555555555555555,0.06625386599999376,1.0
11726276_at,5,1.0,0.9703703703703704,0.06625386599999375,1.0
11752510_x_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11742024_a_at,5,1.0,0.9333333333333333,0.14907119849998596,1.0
11724248_s_at,5,1.0,0.8814814814814815,0.1643877112679418,1.0
11744129_at,5,1.0,0.962962962962963,0.052378280087892415,1.0
11717322_a_at,5,1.0,0.962962962962963,0.0523782800878924,1.0
11720097_at,5,1.0,0.874074074074074,0.17292766711005556,1.0
11721796_at,5,1.0,0.9555555555555555,0.08029438292103255,1.0
11757635_a_at,5,1.0,0.9481481481481481,0.11594426549998907,1.0
11756827_a_at,5,1.0,0.9481481481481481,0.11594426549998905,1.0
11754644_x_at,5,1.0,0.9037037037037038,0.13250773199998753,1.0
11757383_a_at,5,1.0,0.9851851851851852,0.03312693299999684,1.0
11721346_a_at,5,1.0,0.9925925925925926,0.01656346649999841,1.0
11723287_at,5,1.0,0.9259259259259259,0.16563466499998436,1.0
11727593_a_at,5,1.0,0.8962962962962964,0.15135419808668552,1.0
11719307_a_at,5,1.0,0.8962962962962964,0.15135419808668554,1.0
11745421_a_at,5,1.0,0.9185185185185185,0.14439695325642907,1.0
11720989_a_at,5,1.0,0.962962962962963,0.05237828008789237,1.0
11752737_a_at,5,1.0,0.9407407407407409,0.0852656624683062,1.0
11725827_s_at,5,1.0,1.0,0.0,1.0
11740553_a_at,5,1.0,0.9925925925925926,0.016563466499998396,0.9166666666666666
11755411_a_at,5,1.0,0.9925925925925926,0.016563466499998413,0.9166666666666666
11737423_a_at,5,1.0,0.9481481481481481,0.11594426549998903,0.9166666666666666
11734727_a_at,5,1.0,0.962962962962963,0.08281733249999217,0.9166666666666666
11757379_a_at,5,1.0,0.9259259259259259,0.1458149606298483,0.9166666666666666
11740096_a_at,5,1.0,0.9111111111111111,0.16058876584206516,0.9166666666666666
11726632_at,5,1.0,0.9555555555555555,0.09938079899999061,0.9166666666666666
11724807_at,5,1.0,0.9555555555555555,0.08029438292103255,0.9166666666666666
11753909_x_at,5,1.0,0.9185185185185185,0.14439695325642907,0.9166666666666666
11719025_a_at,5,1.0,0.9333333333333333,0.14907119849998593,0.9166666666666666
11721719_at,5,1.0,0.9851851851851852,0.03312693299999689,0.9166666666666666
11757904_s_at,5,1.0,0.9407407407407409,0.09658077637337253,0.9166666666666666
11760963_x_at,5,1.0,0.9259259259259259,0.11415581486979584,0.9166666666666666
11730431_a_at,5,1.0,0.9333333333333333,0.11233889546743041,0.9166666666666666
11732821_a_at,5,1.0,0.9185185185185185,0.11828681053830599,0.9166666666666666
11724979_a_at,5,1.0,0.9851851851851852,0.020286020648339464,0.9166666666666666
11742418_a_at,5,1.0,0.9333333333333333,0.0993807989999906,0.9166666666666666
11732189_at,5,1.0,0.9407407407407407,0.09658077637337256,0.9166666666666666
11727304_at,5,1.0,0.9925925925925926,0.016563466499998406,0.9166666666666666
11724326_a_at,5,1.0,0.8962962962962964,0.1420021445383763,0.9166666666666666
11716903_a_at,5,1.0,0.9555555555555555,0.06085806194501849,0.9166666666666666
11717544_a_at,5,1.0,0.9777777777777779,0.033126932999996826,0.9166666666666666
11758090_s_at,5,1.0,0.962962962962963,0.05237828008789238,0.9166666666666666
11763266_at,5,1.0,0.9259259259259259,0.12830005981991685,0.9166666666666666
11741091_a_at,5,1.0,0.9703703703703704,0.04829038818668627,0.9166666666666666
11720380_a_at,5,1.0,0.9407407407407409,0.1129477828294585,0.9166666666666666
11723400_a_at,5,1.0,0.888888888888889,0.15270761576361702,0.9166666666666666
11751164_a_at,5,1.0,0.9259259259259259,0.10475656017578482,0.9166666666666666
11720739_s_at,5,1.0,0.9925925925925926,0.016563466499998406,0.9166666666666666
11728840_at,5,1.0,0.9481481481481481,0.09658077637337252,0.9166666666666666
11728972_a_at,5,1.0,0.9407407407407409,0.13250773199998753,0.9166666666666666
11723401_x_at,5,1.0,0.9037037037037038,0.13758648608153118,0.9166666666666666
11747785_s_at,5,1.0,0.9555555555555555,0.06085806194501847,0.9166666666666666
11727644_a_at,5,1.0,0.9407407407407409,0.08114408259335794,0.9166666666666666
11723893_s_at,5,1.0,0.8666666666666668,0.18257418583505533,0.9166666666666666
11741435_s_at,5,1.0,0.9111111111111111,0.1605887658420652,0.9166666666666666
11730005_a_at,5,1.0,0.9777777777777779,0.049690399499995354,0.9166666666666666
11730788_a_at,5,1.0,0.9703703703703704,0.04057204129667896,0.9166666666666666
11733691_a_at,5,1.0,0.962962962962963,0.08281733249999217,0.9166666666666666
11719680_x_at,5,1.0,0.874074074074074,0.17684942794538253,0.9166666666666666
