@RELATION univariate_ann

@ATTRIBUTE 11725813_at NUMERIC
@ATTRIBUTE 11720493_s_at NUMERIC
@ATTRIBUTE 11720739_s_at NUMERIC
@ATTRIBUTE 11756361_x_at NUMERIC
@ATTRIBUTE 11720866_a_at NUMERIC
@ATTRIBUTE 11754831_a_at NUMERIC
@ATTRIBUTE 11743865_s_at NUMERIC
@ATTRIBUTE 11754832_a_at NUMERIC
@ATTRIBUTE 11757379_a_at NUMERIC
@ATTRIBUTE 11718185_a_at NUMERIC
@ATTRIBUTE 11759144_at NUMERIC
@ATTRIBUTE 11734995_x_at NUMERIC
@ATTRIBUTE 11757243_s_at NUMERIC
@ATTRIBUTE 11752266_a_at NUMERIC
@ATTRIBUTE 11722270_at NUMERIC
@ATTRIBUTE 11753961_a_at NUMERIC
@ATTRIBUTE 11717762_a_at NUMERIC
@ATTRIBUTE 11724678_a_at NUMERIC
@ATTRIBUTE 11754946_a_at NUMERIC
@ATTRIBUTE 11736575_x_at NUMERIC
@ATTRIBUTE 11751544_a_at NUMERIC
@ATTRIBUTE 11717836_a_at NUMERIC
@ATTRIBUTE 11719307_a_at NUMERIC
@ATTRIBUTE 11725180_a_at NUMERIC
@ATTRIBUTE 11747203_x_at NUMERIC
@ATTRIBUTE 11754197_x_at NUMERIC
@ATTRIBUTE 11732135_a_at NUMERIC
@ATTRIBUTE 11756077_a_at NUMERIC
@ATTRIBUTE 11729215_x_at NUMERIC
@ATTRIBUTE 11715676_s_at NUMERIC
@ATTRIBUTE 11749027_x_at NUMERIC
@ATTRIBUTE 11753127_a_at NUMERIC
@ATTRIBUTE 11715524_a_at NUMERIC
@ATTRIBUTE 11725789_at NUMERIC
@ATTRIBUTE 11716612_a_at NUMERIC
@ATTRIBUTE 11729593_at NUMERIC
@ATTRIBUTE 11757300_s_at NUMERIC
@ATTRIBUTE 11763217_x_at NUMERIC
@ATTRIBUTE 11724357_a_at NUMERIC
@ATTRIBUTE 200021_PM_at NUMERIC
@ATTRIBUTE 11722900_s_at NUMERIC
@ATTRIBUTE 11733611_a_at NUMERIC
@ATTRIBUTE 11741278_a_at NUMERIC
@ATTRIBUTE 11720600_a_at NUMERIC
@ATTRIBUTE 11749275_a_at NUMERIC
@ATTRIBUTE 11719308_a_at NUMERIC
@ATTRIBUTE 11727740_a_at NUMERIC
@ATTRIBUTE 11730788_a_at NUMERIC
@ATTRIBUTE 11746459_a_at NUMERIC
@ATTRIBUTE 11731521_at NUMERIC
@ATTRIBUTE 11745779_a_at NUMERIC
@ATTRIBUTE 11715926_s_at NUMERIC
@ATTRIBUTE 11741660_a_at NUMERIC
@ATTRIBUTE 11721513_a_at NUMERIC
@ATTRIBUTE 11721703_s_at NUMERIC
@ATTRIBUTE 11755153_a_at NUMERIC
@ATTRIBUTE 11722387_at NUMERIC
@ATTRIBUTE 11731874_x_at NUMERIC
@ATTRIBUTE 11758105_s_at NUMERIC
@ATTRIBUTE 11727913_a_at NUMERIC
@ATTRIBUTE 11725461_s_at NUMERIC
@ATTRIBUTE 11745421_a_at NUMERIC
@ATTRIBUTE 11720644_a_at NUMERIC
@ATTRIBUTE 11741275_a_at NUMERIC
@ATTRIBUTE 11754863_s_at NUMERIC
@ATTRIBUTE 11718568_a_at NUMERIC
@ATTRIBUTE 11723179_a_at NUMERIC
@ATTRIBUTE 11728838_a_at NUMERIC
@ATTRIBUTE 11736333_at NUMERIC
@ATTRIBUTE 11719798_s_at NUMERIC
@ATTRIBUTE 11728858_at NUMERIC
@ATTRIBUTE 11727172_at NUMERIC
@ATTRIBUTE 11750028_a_at NUMERIC
@ATTRIBUTE 11722258_at NUMERIC
@ATTRIBUTE 11724645_at NUMERIC
@ATTRIBUTE 11726704_x_at NUMERIC
@ATTRIBUTE 11722752_a_at NUMERIC
@ATTRIBUTE 11724493_s_at NUMERIC
@ATTRIBUTE 11722225_a_at NUMERIC
@ATTRIBUTE 11732823_s_at NUMERIC
@ATTRIBUTE 11717837_x_at NUMERIC
@ATTRIBUTE 11723691_at NUMERIC
@ATTRIBUTE 11758669_s_at NUMERIC
@ATTRIBUTE 11755086_x_at NUMERIC
@ATTRIBUTE 11728555_s_at NUMERIC
@ATTRIBUTE 11744896_a_at NUMERIC
@ATTRIBUTE 11724005_s_at NUMERIC
@ATTRIBUTE 11716765_s_at NUMERIC
@ATTRIBUTE 11722107_at NUMERIC
@ATTRIBUTE 11731425_at NUMERIC
@ATTRIBUTE 11720345_a_at NUMERIC
@ATTRIBUTE 11719367_a_at NUMERIC
@ATTRIBUTE 11759416_x_at NUMERIC
@ATTRIBUTE 11757477_s_at NUMERIC
@ATTRIBUTE 11722834_x_at NUMERIC
@ATTRIBUTE 11752689_a_at NUMERIC
@ATTRIBUTE 11716449_a_at NUMERIC
@ATTRIBUTE 11720998_a_at NUMERIC
@ATTRIBUTE 11732131_x_at NUMERIC
@ATTRIBUTE 11725073_s_at NUMERIC
@ATTRIBUTE class {SONFH,control}

@DATA
6.684678,8.448059,7.425634,6.385234,6.713617,5.903864,7.038458,6.432875,8.038507,5.068588,7.877551,8.383862,7.402081,7.534564,9.010933,5.902145,8.328203,8.096647,6.242108,4.597070,7.027248,8.679629,5.980227,6.938063,6.971961,5.395819,6.570759,7.597762,5.965765,7.749159,6.630531,4.465909,9.721721,7.692105,6.872800,6.751343,9.944921,5.747150,6.133927,12.032850,7.282881,7.834176,6.230694,9.010415,5.746940,4.625270,6.875051,9.357658,4.969224,6.194852,4.389281,7.082997,9.341059,8.488585,5.911283,7.445322,8.514828,5.070029,8.258403,7.559191,6.902261,7.343896,8.703009,3.501578,7.169374,6.487836,7.650640,5.198853,6.417426,7.861430,6.246561,3.592077,7.914507,3.510134,6.759662,7.962328,7.165733,7.432708,7.636043,4.365372,8.991508,9.092772,7.424284,7.660013,4.440311,7.504010,9.256689,8.562588,6.526118,9.289389,9.427167,8.009455,3.841313,10.643100,7.100967,5.092332,6.922375,8.031743,8.869820,7.245323,control
6.760154,8.417543,7.732307,6.001682,6.182224,5.803768,6.627169,5.901106,8.080787,4.878870,8.434595,7.360094,7.168124,7.886619,8.594865,6.222997,8.036970,7.276333,6.166924,4.047034,6.895042,9.332471,6.006717,6.729413,6.857371,5.218613,6.653621,7.480760,4.779966,7.891297,5.753167,5.084990,9.730600,6.738652,6.585573,6.427805,8.593598,5.525094,5.735761,11.622580,7.460593,7.264286,5.773355,8.615611,6.394867,5.048849,6.945261,9.318221,5.017950,5.993240,3.928231,8.056899,8.875204,8.342548,5.469723,7.006181,7.947226,4.682413,7.845498,7.741757,6.481671,6.253442,7.934840,4.107169,6.847307,6.679976,6.977393,6.078233,5.805949,6.908040,6.006193,4.107013,7.319020,2.661680,6.110476,6.749574,6.350645,7.249872,7.637872,4.238233,8.859754,8.319844,6.555287,7.269614,4.986649,7.397633,9.340878,9.129134,7.016543,10.719790,9.200994,7.237992,4.484108,9.936719,6.523702,5.444837,7.095459,8.813466,8.760620,7.404391,control
6.780731,8.875138,7.719867,5.713544,6.010557,6.021646,6.624975,6.044977,8.099720,4.958467,7.931003,7.323737,6.945117,8.093919,8.834681,6.600652,7.796029,6.932156,6.282169,3.388205,7.164724,9.489668,5.356194,6.443607,7.046392,5.427796,6.196196,7.251198,5.651920,7.554476,6.507714,5.006436,9.963057,7.152361,6.175612,6.506128,9.436134,5.606711,5.984781,11.778360,7.865733,7.243803,6.061539,8.708925,6.989500,4.999219,7.657061,9.465409,5.546174,6.297351,4.198867,7.320451,9.603191,8.823877,5.278175,7.270857,8.166746,4.934698,8.253178,7.649861,6.569599,7.255363,8.175456,4.120108,7.186956,6.807610,7.145116,5.635913,5.514328,7.312490,6.932022,4.307661,7.279820,3.369578,6.504236,7.171377,6.503136,7.473462,8.086374,4.220568,9.064841,8.431686,7.008841,7.186559,4.580485,7.813428,9.598798,9.121082,6.625860,10.804690,9.114256,7.720043,3.952383,10.268220,6.662529,5.517177,6.880886,8.783041,9.264255,7.375899,control
6.236564,8.585331,7.636132,6.006392,6.198723,5.484623,5.860363,5.612015,7.856642,4.489721,8.188369,7.285623,6.531791,8.069515,8.756201,6.109132,7.552326,6.963392,6.163297,4.320416,6.977062,9.047313,5.480963,6.093809,6.921830,5.134164,6.331765,7.091646,5.393027,7.404459,5.674736,4.895636,9.782719,6.397068,6.244981,6.473533,8.736418,5.639466,6.103753,11.697920,7.945707,7.728086,5.651866,8.398829,7.500813,4.828924,7.093836,8.886039,4.940318,6.171066,4.085794,7.340323,9.220650,8.552614,6.049318,6.855760,8.253588,4.902249,7.867318,8.235981,6.231999,6.753110,7.603157,3.894049,6.630012,7.371121,6.532412,5.662856,5.534372,6.389393,6.919850,3.514476,6.627808,2.152230,6.339020,6.992354,6.432578,7.587177,7.648897,4.311179,8.689984,7.789688,6.288722,7.031284,4.771760,7.683623,9.504419,8.617569,6.011136,10.709050,8.946598,7.813288,4.374001,10.093940,6.514878,5.092944,6.911000,8.803954,8.458283,6.982642,control
6.397424,8.203747,8.266870,6.402535,6.522259,5.351885,6.952391,5.983565,8.085351,4.954717,8.163488,7.694398,6.958297,7.895767,8.475085,5.527383,8.044252,7.608608,6.125444,3.761542,6.617310,9.260464,6.388012,6.118472,6.795727,5.158254,6.636726,7.356844,4.935641,7.156172,5.463490,4.808770,9.641665,6.139726,6.645698,6.642867,8.545269,5.293188,6.049133,11.285510,6.819951,7.121865,5.737829,8.183567,6.556252,5.207165,6.645926,9.006795,4.276476,5.774637,4.188491,7.673384,9.044838,7.972628,5.106066,6.660653,7.563685,4.449225,7.885262,7.351375,5.990579,6.687786,7.548885,3.998066,7.066034,6.037693,6.746168,4.429892,6.191311,6.872499,5.873630,3.801880,7.222192,2.798173,5.948413,6.898729,7.051777,7.273938,6.935350,4.052473,8.829947,8.484538,6.776643,7.390705,4.441294,7.145936,8.895163,8.631206,5.822637,10.150950,8.925890,7.157130,4.289158,9.728364,6.593698,4.999656,6.895702,8.313675,8.753941,7.435986,control
6.092358,7.620011,7.891709,6.311311,7.070669,6.112819,6.971162,5.903995,7.736377,5.026825,7.792914,7.455615,7.158302,7.087836,8.369453,5.953526,4.704090,7.902212,7.241376,4.311369,5.750522,6.413802,4.873573,5.484624,6.755491,5.003745,6.482732,6.897482,5.869632,6.984079,6.333506,4.635880,8.552604,6.479431,6.845113,6.793685,9.735702,5.360171,5.993682,12.058390,6.265706,7.541775,6.034608,8.781081,6.537916,4.854798,5.534506,8.153031,5.419184,6.572811,4.104793,7.485476,8.595145,8.179205,5.247819,6.546675,7.702156,4.634852,7.858364,7.596815,6.308608,7.191699,6.533226,3.545124,6.338869,6.469933,7.229290,4.025041,5.932857,7.545600,6.031440,4.444792,7.083848,2.421506,6.058070,7.216881,7.552937,7.521497,6.709004,4.098946,6.716037,5.848444,6.258934,7.431076,4.180219,6.438372,8.305037,9.211644,6.610955,8.778800,8.917891,6.558613,4.264627,9.769896,6.415944,4.220280,7.548087,7.609573,8.444994,7.787452,control
6.209705,7.843433,7.621282,5.558179,5.747859,5.025411,5.551698,5.816935,7.320251,4.657990,7.621283,7.284226,6.271856,7.470261,7.734631,5.242254,5.675191,5.296410,6.000797,3.443343,5.243651,7.581954,4.569505,6.233043,6.238070,4.597013,6.413609,7.160861,4.376443,7.066978,5.790702,4.580476,8.262513,5.602448,6.132642,6.622709,7.980481,5.430359,4.504169,10.787310,5.852228,6.254058,4.872169,8.386414,4.969681,3.875805,5.453625,7.959852,4.190704,5.522943,3.967776,6.960831,8.100906,8.136348,5.703725,6.251869,6.855430,4.176761,7.486703,6.963663,6.180191,5.858296,6.976356,4.069505,6.413543,5.637606,5.655151,3.676045,5.580693,6.252712,4.467522,2.863503,6.875595,2.545716,5.620345,6.414603,6.296365,7.007932,6.386901,4.114514,7.102280,6.158573,5.001157,6.440785,4.635572,6.519095,8.582303,7.567106,5.334156,8.838663,8.802681,5.964905,3.686577,9.486425,6.190096,3.966774,7.022460,7.620761,7.895268,6.710508,control
7.532205,9.497424,8.582276,6.539255,7.201943,6.900748,7.312038,6.436627,8.885864,5.000751,8.776086,7.849552,8.084246,8.474474,9.845509,7.806809,8.699539,7.805443,6.374993,6.065318,9.148046,9.309723,7.294032,7.561020,7.118199,5.369080,7.088603,8.588045,6.233006,8.143915,7.406799,6.121235,11.176940,7.361251,7.009446,6.544243,10.053600,5.761569,6.836931,12.329650,8.713572,8.785540,6.901049,9.232815,8.038952,5.904380,8.376318,10.368120,5.839432,6.676442,4.496119,8.007261,10.036760,9.312739,6.996025,7.652267,9.054188,5.147532,9.038042,8.935156,7.150479,8.345915,8.994127,3.614186,7.163487,7.884649,7.585410,7.137964,6.454889,7.556641,7.847138,4.259893,7.862425,4.183897,7.382207,7.618821,7.615705,7.500866,8.419294,4.673198,8.968246,9.540822,7.752306,8.551650,4.433730,8.098982,10.622040,9.410230,7.306224,12.233790,9.951954,8.885146,4.507558,11.427550,7.132416,6.070593,7.243780,9.250501,9.406419,7.708110,control
6.744739,8.280551,8.181499,6.138345,6.718554,5.867233,7.030713,6.079148,7.889194,4.897824,8.381848,7.382915,6.797153,7.754612,8.639474,5.950368,8.417314,7.761696,5.708229,4.426464,7.694852,9.501685,6.340768,6.992881,6.623140,5.045656,6.557907,7.261622,5.257501,7.310737,6.212725,5.434314,10.011600,6.667066,6.545149,6.812186,9.213942,5.460257,6.018924,11.704890,7.171094,7.688230,5.667160,9.010442,6.538765,5.310125,6.174531,8.985362,5.160834,6.428961,3.685915,7.520156,9.500910,8.405273,5.883033,6.994834,8.127144,4.589810,8.123298,8.012016,6.065742,7.539793,7.738146,3.730322,7.020564,6.634607,7.169645,4.504169,5.853503,7.084478,5.404217,4.377378,7.482976,2.809739,6.602067,7.274175,7.206756,6.663263,7.350252,4.487172,8.893096,8.694642,7.066633,7.080125,4.571371,7.315486,9.539341,8.867756,6.545239,10.398320,9.161397,7.172896,4.037772,10.075790,6.695196,5.061719,6.932745,8.613060,8.805359,7.600400,control
6.101103,8.568368,7.689420,6.242602,6.909551,6.269956,8.030210,5.947077,8.045327,4.895889,8.813153,7.286989,6.967157,7.901818,8.949630,5.988287,10.267090,9.382226,6.354813,4.800123,7.810543,10.738130,8.122931,7.211824,6.962808,5.421640,6.634917,7.493014,6.174198,7.579568,6.616957,5.445297,11.019250,8.284160,6.687597,6.710864,9.868509,5.595922,6.563395,11.994910,7.682552,7.927298,5.845552,8.833033,7.598761,7.213337,7.840954,10.024690,5.613410,6.215216,4.107743,7.462245,9.938358,8.529110,5.639582,7.270768,7.654365,4.884994,7.866793,7.539873,6.463758,8.511436,8.810163,3.807976,7.466117,6.886458,7.406154,5.303301,6.465106,7.594910,6.617234,5.222873,8.227244,4.181593,7.525496,7.824858,7.278663,7.249752,7.642283,4.662222,10.375160,10.217730,8.405245,7.475050,4.523030,7.399248,10.299100,9.602233,6.617363,10.429540,9.265532,8.200600,5.747994,10.621430,7.496553,5.774055,7.074483,8.955069,9.694869,7.443287,control
