Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11725813_at,5,1.0,0.774074074074074,0.312738249371623,0.75
11720493_s_at,5,1.0,0.762962962962963,0.4339817876868749,0.75
11720739_s_at,5,1.0,0.8,0.4472135954999579,0.75
11756361_x_at,5,1.0,0.8074074074074075,0.26886950241305985,0.75
11720866_a_at,5,1.0,0.6518518518518519,0.4769012919354036,0.75
11754831_a_at,5,1.0,0.7925925925925925,0.4433628815302346,0.75
11743865_s_at,5,1.0,0.9185185185185185,0.12936480886350357,0.75
11754832_a_at,5,1.0,0.7851851851851852,0.4401022452596429,0.75
11757379_a_at,5,1.0,0.7555555555555555,0.4331908597692873,0.4166666666666667
11718185_a_at,5,1.0,0.7037037037037037,0.4350866712766937,0.25
11759144_at,5,1.0,0.7703703703703704,0.37074055574050957,0.25
11734995_x_at,5,1.0,0.674074074074074,0.4584221762004682,0.25
11757243_s_at,5,1.0,0.7555555555555555,0.4170574299336073,0.25
11752266_a_at,5,1.0,0.9407407407407409,0.13250773199998753,0.25
11722270_at,5,1.0,0.8,0.33701668640229115,0.25
11753961_a_at,5,1.0,0.7481481481481482,0.39056078004337974,0.25
11717762_a_at,5,1.0,0.7481481481481482,0.34486235102177126,0.25
11724678_a_at,5,1.0,0.8148148148148149,0.39370910417535737,0.25
11754946_a_at,5,1.0,0.7703703703703704,0.40095906971035133,0.25
11736575_x_at,5,1.0,0.6777777777777778,0.4520187912623998,0.25
11751544_a_at,5,1.0,0.7777777777777779,0.3694432841344445,0.25
11717836_a_at,5,1.0,0.7407407407407407,0.41902624070313926,0.25
11719307_a_at,5,1.0,0.8592592592592592,0.19316155274674518,0.25
11725180_a_at,5,0.962962962962963,0.9481481481481481,0.042228719448116195,0.75
11747203_x_at,5,0.962962962962963,0.7037037037037037,0.3945791806048614,0.75
11754197_x_at,5,0.962962962962963,0.8074074074074075,0.23628352455906043,0.75
11732135_a_at,5,0.962962962962963,0.5925925925925926,0.5411718220815726,0.75
11756077_a_at,5,0.962962962962963,0.6592592592592592,0.4651061503985364,0.75
11729215_x_at,5,0.962962962962963,0.6148148148148149,0.5109232075424711,0.75
11715676_s_at,5,0.962962962962963,0.711111111111111,0.3807796492585149,0.75
11749027_x_at,5,0.962962962962963,0.7333333333333334,0.3707405557405096,0.75
11753127_a_at,5,0.962962962962963,0.6296296296296297,0.49482923021805136,0.75
11715524_a_at,5,0.962962962962963,0.8962962962962964,0.13198910874967007,0.75
11725789_at,5,0.962962962962963,0.7481481481481482,0.4119277841007195,0.75
11716612_a_at,5,0.962962962962963,0.7037037037037037,0.4358741591088822,0.5833333333333334
11729593_at,5,0.962962962962963,0.737037037037037,0.42033365804773654,0.5833333333333334
11757300_s_at,5,0.962962962962963,0.8481481481481481,0.17781635383937486,0.5833333333333334
11763217_x_at,5,0.962962962962963,0.7555555555555556,0.3959673262490103,0.4166666666666667
11724357_a_at,5,0.962962962962963,0.762962962962963,0.43080936366208433,0.3333333333333333
200021_PM_at,5,0.962962962962963,0.8074074074074075,0.2861695373641757,0.25
11722900_s_at,5,0.962962962962963,0.9,0.12255846005758739,0.25
11733611_a_at,5,0.962962962962963,0.8444444444444444,0.22283865120727886,0.25
11741278_a_at,5,0.962962962962963,0.6148148148148149,0.5122638637635587,0.25
11720600_a_at,5,0.962962962962963,0.6888888888888889,0.4002742544031495,0.25
11749275_a_at,5,0.962962962962963,0.7185185185185186,0.3959673262490102,0.25
11719308_a_at,5,0.962962962962963,0.5925925925925926,0.5411718220815726,0.25
11727740_a_at,5,0.962962962962963,0.7925925925925926,0.3038391748443509,0.25
11730788_a_at,5,0.9444444444444444,0.8222222222222222,0.2587958821967137,0.25
11746459_a_at,5,0.925925925925926,0.7962962962962964,0.29104136380558726,0.75
11731521_at,5,0.925925925925926,0.7481481481481482,0.4201704533597564,0.75
11745779_a_at,5,0.925925925925926,0.6296296296296297,0.43271560909436757,0.75
11715926_s_at,5,0.925925925925926,0.9259259259259259,0.09072184232530288,0.75
11741660_a_at,5,0.925925925925926,0.7185185185185186,0.38185885685280013,0.75
11721513_a_at,5,0.925925925925926,0.8296296296296297,0.1689148777924649,0.75
11721703_s_at,5,0.925925925925926,0.6370370370370371,0.45916964478133193,0.75
11755153_a_at,5,0.925925925925926,0.8148148148148149,0.2191140660407265,0.75
11722387_at,5,0.925925925925926,0.9074074074074074,0.08281733249999221,0.75
11731874_x_at,5,0.925925925925926,0.7481481481481482,0.37715998868447315,0.75
11758105_s_at,5,0.925925925925926,0.5777777777777778,0.5115939748098373,0.75
11727913_a_at,5,0.925925925925926,0.725925925925926,0.38275587208189077,0.75
11725461_s_at,5,0.925925925925926,0.8222222222222223,0.2420193963363636,0.75
11745421_a_at,5,0.925925925925926,0.7481481481481482,0.4217996585928278,0.75
11720644_a_at,5,0.925925925925926,0.6666666666666667,0.44752022124424345,0.6666666666666666
11741275_a_at,5,0.925925925925926,0.6222222222222222,0.4738714844907246,0.5
11754863_s_at,5,0.925925925925926,0.9481481481481481,0.04969039949999533,0.25
11718568_a_at,5,0.925925925925926,0.7333333333333334,0.39752319599996255,0.25
11723179_a_at,5,0.925925925925926,0.5703703703703704,0.5215519733500678,0.25
11728838_a_at,5,0.925925925925926,0.6814814814814815,0.4079121452520998,0.25
11736333_at,5,0.925925925925926,0.5777777777777778,0.5280863295596319,0.25
11719798_s_at,5,0.925925925925926,0.6592592592592593,0.407743968726604,0.25
11728858_at,5,0.925925925925926,0.7740740740740741,0.26784718121132656,0.25
11727172_at,5,0.925925925925926,0.6296296296296297,0.45209465243458163,0.25
11750028_a_at,5,0.925925925925926,0.874074074074074,0.14248432638275074,0.25
11722258_at,5,0.925925925925926,0.6740740740740742,0.43144571461995446,0.25
11724645_at,5,0.925925925925926,0.7777777777777779,0.36004114991154784,0.25
11726704_x_at,5,0.925925925925926,0.7037037037037037,0.41984385365757904,0.25
11722752_a_at,5,0.9259259259259259,0.762962962962963,0.42921435869090774,0.75
11724493_s_at,5,0.9259259259259259,0.7925925925925925,0.24230262568586852,0.75
11722225_a_at,5,0.9259259259259259,0.5851851851851853,0.51812154115892,0.75
11732823_s_at,5,0.9259259259259259,0.7481481481481482,0.36231991411542513,0.75
11717837_x_at,5,0.9259259259259259,0.7407407407407407,0.42390826452813324,0.75
11723691_at,5,0.9259259259259259,0.9037037037037038,0.109869607216232,0.75
11758669_s_at,5,0.9259259259259259,0.7185185185185186,0.3653361569083761,0.75
11755086_x_at,5,0.9259259259259259,0.7851851851851852,0.28736540357438256,0.75
11728555_s_at,5,0.9259259259259259,0.6592592592592593,0.4330325008315265,0.6666666666666666
11744896_a_at,5,0.9259259259259259,0.6296296296296295,0.46185051530888616,0.5833333333333334
11724005_s_at,5,0.9259259259259259,0.7185185185185186,0.42439337809277683,0.3333333333333333
11716765_s_at,5,0.9259259259259259,0.8333333333333334,0.2709025710801443,0.25
11722107_at,5,0.9259259259259259,0.8148148148148149,0.2644973492052908,0.25
11731425_at,5,0.9259259259259259,0.7407407407407407,0.4239082645281332,0.25
11720345_a_at,5,0.9259259259259259,0.7037037037037037,0.40656478518703976,0.25
11719367_a_at,5,0.9259259259259259,0.7666666666666667,0.2973361383174267,0.25
11759416_x_at,5,0.9259259259259259,0.6888888888888889,0.4028363090719623,0.25
11757477_s_at,5,0.9259259259259259,0.8592592592592594,0.12668615834434868,0.25
11722834_x_at,5,0.9259259259259259,0.7333333333333334,0.4152444864644137,0.25
11752689_a_at,5,0.9259259259259259,0.7925925925925926,0.3027083961733711,0.25
11716449_a_at,5,0.9074074074074074,0.7666666666666667,0.2932715984419134,0.75
11720998_a_at,5,0.888888888888889,0.6888888888888889,0.4019841052211892,0.75
11732131_x_at,5,0.888888888888889,0.6407407407407407,0.41689294267422844,0.75
11725073_s_at,5,0.888888888888889,0.7703703703703704,0.24762243926587824,0.75
11757926_s_at,5,0.888888888888889,0.7851851851851852,0.2801136355731709,0.75
11738519_x_at,5,0.888888888888889,0.7333333333333334,0.2979122600324475,0.75
11719844_at,5,0.888888888888889,0.6222222222222222,0.47531665858238753,0.75
11721465_a_at,5,0.888888888888889,0.5925925925925927,0.46185051530888616,0.75
11745364_a_at,5,0.888888888888889,0.762962962962963,0.30496576074428006,0.75
11732329_a_at,5,0.888888888888889,0.7037037037037037,0.28206567058755216,0.75
11755804_a_at,5,0.888888888888889,0.7185185185185186,0.4137552605561167,0.75
11758214_s_at,5,0.888888888888889,0.7185185185185186,0.33599758311234745,0.75
11745724_at,5,0.888888888888889,0.725925925925926,0.3490138959819184,0.75
11726492_a_at,5,0.888888888888889,0.725925925925926,0.4195169996931591,0.75
11721202_at,5,0.888888888888889,0.7481481481481482,0.35659570079736025,0.75
11734922_x_at,5,0.888888888888889,0.7074074074074075,0.3385395892623821,0.75
11741517_s_at,5,0.888888888888889,0.7555555555555555,0.2408831487630978,0.75
11728265_a_at,5,0.888888888888889,0.6222222222222222,0.42342259517119407,0.75
11740559_a_at,5,0.888888888888889,0.8518518518518519,0.09799078929868857,0.75
11746957_a_at,5,0.888888888888889,0.7407407407407407,0.38756388030474725,0.75
11752737_a_at,5,0.888888888888889,0.6222222222222223,0.41689294267422844,0.75
11726205_at,5,0.888888888888889,0.6222222222222222,0.47531665858238753,0.6666666666666666
11755026_s_at,5,0.888888888888889,0.8592592592592594,0.07124216319137541,0.6666666666666666
11724771_x_at,5,0.888888888888889,0.7851851851851852,0.2979122600324475,0.5
11749984_s_at,5,0.888888888888889,0.6888888888888889,0.3809597294999642,0.4166666666666667
11718472_s_at,5,0.888888888888889,0.8,0.3060882001688057,0.3333333333333333
11723633_s_at,5,0.888888888888889,0.6148148148148148,0.48332978571140217,0.25
11739232_x_at,5,0.888888888888889,0.6148148148148149,0.46451591392927843,0.25
11729766_x_at,5,0.888888888888889,0.6925925925925925,0.3373218170092956,0.25
11719663_s_at,5,0.888888888888889,0.837037037037037,0.16271024175176885,0.25
11755020_a_at,5,0.888888888888889,0.7333333333333334,0.27641641714141174,0.25
11717123_a_at,5,0.888888888888889,0.7037037037037038,0.39196315719475416,0.25
11743448_s_at,5,0.888888888888889,0.5777777777777778,0.47905370828163035,0.25
11717952_at,5,0.888888888888889,0.6814814814814815,0.35774787084572596,0.25
11758608_s_at,5,0.888888888888889,0.8518518518518519,0.16355112715421935,0.25
11752129_a_at,5,0.888888888888889,0.762962962962963,0.312738249371623,0.25
11728499_x_at,5,0.888888888888889,0.7037037037037038,0.359087396845654,0.25
11748160_s_at,5,0.888888888888889,0.6814814814814815,0.38095972949996415,0.25
11718073_at,5,0.888888888888889,0.674074074074074,0.36137217533779165,0.25
11758955_at,5,0.888888888888889,0.7148148148148149,0.36842079478522705,0.25
11715487_a_at,5,0.888888888888889,0.6296296296296297,0.40740740740740744,0.25
11716963_a_at,5,0.888888888888889,0.7851851851851852,0.2377304671982402,0.25
11761552_at,5,0.888888888888889,0.6296296296296297,0.4115946439054235,0.25
11728347_at,5,0.888888888888889,0.7111111111111111,0.4201704533597564,0.25
11725229_s_at,5,0.888888888888889,0.7407407407407407,0.3384382756017975,0.25
11756967_x_at,5,0.888888888888889,0.7444444444444445,0.37551975868552817,0.25
11734575_a_at,5,0.888888888888889,0.6518518518518519,0.39423138046622735,0.25
11745313_a_at,5,0.8888888888888888,0.6962962962962963,0.3157936851450697,0.75
11736017_s_at,5,0.8888888888888888,0.874074074074074,0.12989391049444576,0.75
11738807_s_at,5,0.8888888888888888,0.762962962962963,0.2827942099084603,0.75
11739467_a_at,5,0.8888888888888888,0.6518518518518519,0.37460541654786017,0.75
11741047_a_at,5,0.8888888888888888,0.7037037037037037,0.37221761559707,0.75
11750619_a_at,5,0.8888888888888888,0.7407407407407407,0.32394177193585,0.75
11728059_s_at,5,0.8888888888888888,0.7851851851851852,0.26110454417799356,0.75
11722532_s_at,5,0.8888888888888888,0.6222222222222222,0.45617242185784185,0.6666666666666666
11743762_at,5,0.8888888888888888,0.7037037037037037,0.3153590067764149,0.5833333333333334
11717873_x_at,5,0.8888888888888888,0.7777777777777779,0.2928034870526277,0.5
11728740_a_at,5,0.8888888888888888,0.7962962962962964,0.22144927302039627,0.4166666666666667
11746818_s_at,5,0.8888888888888888,0.7444444444444445,0.27102913150334373,0.4166666666666667
11739055_x_at,5,0.8888888888888888,0.6592592592592592,0.4085841591265663,0.3333333333333333
11719686_a_at,5,0.8888888888888888,0.6962962962962963,0.4018134475589783,0.25
11752153_a_at,5,0.8888888888888888,0.6666666666666666,0.4287347001033417,0.25
11729576_a_at,5,0.8888888888888888,0.7185185185185186,0.35389271661011124,0.25
11759727_x_at,5,0.8888888888888888,0.7851851851851852,0.32436494882683425,0.25
11720844_at,5,0.8888888888888888,0.762962962962963,0.33395004678073636,0.25
11719299_s_at,5,0.8703703703703705,0.8777777777777779,0.1370870779505314,0.25
11718450_at,5,0.8703703703703705,0.8481481481481481,0.13507098169489232,0.25
11721834_a_at,5,0.8518518518518519,0.5851851851851853,0.4716954214794954,0.75
11715424_x_at,5,0.8518518518518519,0.7703703703703704,0.26110454417799356,0.75
11733513_a_at,5,0.8518518518518519,0.7037037037037038,0.39975987305412786,0.75
11716812_x_at,5,0.8518518518518519,0.5925925925925926,0.4941357060787531,0.75
11722259_s_at,5,0.8518518518518519,0.6962962962962963,0.4001028674313007,0.75
11720408_at,5,0.8518518518518519,0.8592592592592594,0.11233889546743035,0.75
11747463_a_at,5,0.8518518518518519,0.725925925925926,0.36999981462939785,0.75
11732899_s_at,5,0.8518518518518519,0.6222222222222222,0.4369742578889667,0.75
11755009_s_at,5,0.8518518518518519,0.7,0.4011300908611054,0.75
11734920_s_at,5,0.8518518518518519,0.8,0.11886523359912012,0.75
11727657_at,5,0.8518518518518519,0.7037037037037037,0.39717797388013365,0.75
11738360_x_at,5,0.8518518518518519,0.711111111111111,0.41606953096247756,0.75
11729442_a_at,5,0.8518518518518519,0.6666666666666667,0.376796110173626,0.75
11719758_a_at,5,0.8518518518518519,0.6370370370370371,0.3861455264882479,0.75
11745188_a_at,5,0.8518518518518519,0.6444444444444445,0.4062272469095189,0.75
11756288_a_at,5,0.8518518518518519,0.6074074074074074,0.459318992531185,0.75
11756883_s_at,5,0.8518518518518519,0.6,0.40690204346584496,0.75
11731998_s_at,5,0.8518518518518519,0.6851851851851852,0.30089031128281335,0.75
11724820_a_at,5,0.8518518518518519,0.5777777777777778,0.43398178768687495,0.75
11720595_a_at,5,0.8518518518518519,0.8222222222222223,0.1319891087496701,0.75
11715189_s_at,5,0.8518518518518519,0.7074074074074075,0.3563070761440026,0.75
11762329_s_at,5,0.8518518518518519,0.7222222222222222,0.28568978926928723,0.75
11727141_s_at,5,0.8518518518518519,0.7185185185185186,0.3160108001140969,0.75
11737628_a_at,5,0.8518518518518519,0.7111111111111111,0.3047407767514699,0.75
11717722_s_at,5,0.8518518518518519,0.6,0.4846052513717371,0.75
11754371_a_at,5,0.8518518518518519,0.6518518518518519,0.36439626299996575,0.75
11733023_s_at,5,0.8518518518518519,0.8074074074074075,0.16438771126794183,0.75
11731423_at,5,0.8518518518518519,0.6666666666666667,0.3647725111776335,0.6666666666666666
11757106_s_at,5,0.8518518518518519,0.7111111111111111,0.3852564036724694,0.6666666666666666
11743534_a_at,5,0.8518518518518519,0.562962962962963,0.4306501289999595,0.5833333333333334
11755224_a_at,5,0.8518518518518519,0.7851851851851852,0.15360326928390908,0.5833333333333334
11730394_at,5,0.8518518518518519,0.6,0.44935558186972147,0.5
11716908_a_at,5,0.8518518518518519,0.5925925925925926,0.4955217837133204,0.4166666666666667
11719911_at,5,0.8518518518518519,0.7185185185185186,0.4062272469095189,0.3333333333333333
11717019_x_at,5,0.8518518518518519,0.7185185185185186,0.4062272469095189,0.25
11718406_s_at,5,0.8518518518518519,0.6666666666666667,0.39544734266782633,0.25
11719347_a_at,5,0.8518518518518519,0.7185185185185186,0.33599758311234745,0.25
11738203_x_at,5,0.8518518518518519,0.8296296296296296,0.16058876584206522,0.25
11718305_a_at,5,0.8518518518518519,0.7037037037037037,0.3675820970607261,0.25
11735741_s_at,5,0.8518518518518519,0.6,0.4424337232301615,0.25
11736173_at,5,0.8518518518518519,0.7333333333333333,0.37350525142159136,0.25
11735740_a_at,5,0.8518518518518519,0.8296296296296296,0.1881248162844488,0.25
11732181_x_at,5,0.8518518518518519,0.8222222222222222,0.19316155274674512,0.25
11758593_s_at,5,0.8518518518518519,0.7185185185185186,0.3072065385678181,0.25
11739392_a_at,5,0.8518518518518519,0.6074074074074074,0.4402580612479767,0.25
11754481_x_at,5,0.8518518518518519,0.6222222222222222,0.45842217620046816,0.25
11761516_x_at,5,0.8518518518518519,0.7925925925925926,0.18257418583505536,0.25
11749750_a_at,5,0.8518518518518519,0.6444444444444445,0.37643187991916777,0.25
11743449_a_at,5,0.8518518518518519,0.625925925925926,0.4002742544031495,0.25
11746456_x_at,5,0.8518518518518519,0.7777777777777778,0.1906598174256852,0.25
11718195_a_at,5,0.8518518518518519,0.7037037037037037,0.40232520337778577,0.25
11744300_at,5,0.8518518518518519,0.6592592592592592,0.33477056410301237,0.25
11754330_a_at,5,0.8518518518518519,0.725925925925926,0.3127382493716229,0.25
11748615_a_at,5,0.8518518518518519,0.8074074074074075,0.16438771126794186,0.25
11717559_a_at,5,0.8518518518518519,0.6296296296296297,0.37497142095030717,0.25
11721805_at,5,0.8518518518518519,0.6518518518518519,0.4095901126207186,0.25
11718190_s_at,5,0.8518518518518519,0.762962962962963,0.21691185873105664,0.25
11755506_a_at,5,0.8518518518518519,0.6296296296296297,0.4295338335090075,0.25
11723423_x_at,5,0.8518518518518519,0.725925925925926,0.3038391748443509,0.25
11739275_x_at,5,0.8518518518518519,0.6740740740740742,0.3368131124263602,0.25
200011_PM_s_at,5,0.8518518518518519,0.6222222222222222,0.4539115170326972,0.25
11725054_a_at,5,0.8518518518518519,0.7592592592592593,0.23424278964210216,0.25
11756467_x_at,5,0.8518518518518519,0.6814814814814815,0.3782495239018307,0.25
11724435_a_at,5,0.8518518518518519,0.7851851851851852,0.14439695325642915,0.25
11742851_x_at,5,0.8518518518518519,0.6,0.3870326067440928,0.25
11720104_a_at,5,0.8333333333333334,0.5444444444444445,0.4824776020587279,0.25
11746668_a_at,5,0.8333333333333333,0.788888888888889,0.24553628213284773,0.75
11747453_a_at,5,0.8333333333333333,0.8185185185185185,0.18351095024944436,0.75
11717337_a_at,5,0.8333333333333333,0.8037037037037036,0.23592040228431235,0.25
11757569_a_at,5,0.8148148148148149,0.6814814814814815,0.37277000415070016,0.75
11740096_a_at,5,0.8148148148148149,0.7111111111111111,0.4052129450846771,0.75
11719889_x_at,5,0.8148148148148149,0.562962962962963,0.46804616798293697,0.75
11724326_a_at,5,0.8148148148148149,0.7074074074074075,0.35292234813545464,0.75
11751031_a_at,5,0.8148148148148149,0.762962962962963,0.33599758311234745,0.75
11751164_a_at,5,0.8148148148148149,0.5481481481481482,0.5047103231439455,0.75
11726633_s_at,5,0.8148148148148149,0.6962962962962964,0.3642079931537636,0.75
11752051_a_at,5,0.8148148148148149,0.7037037037037037,0.3042903097250923,0.75
11742208_a_at,5,0.8148148148148149,0.5703703703703704,0.40027425440314957,0.75
11748071_a_at,5,0.8148148148148149,0.8,0.1298939104944458,0.75
11723311_a_at,5,0.8148148148148149,0.6592592592592592,0.39405736528208557,0.75
11745769_a_at,5,0.8148148148148149,0.7518518518518519,0.09851434132052138,0.75
11743596_a_at,5,0.8148148148148149,0.6,0.3125188608848739,0.75
11757635_a_at,5,0.8148148148148149,0.5925925925925927,0.4099248818736788,0.75
11724056_a_at,5,0.8148148148148149,0.7703703703703704,0.3036133560284325,0.75
11733853_s_at,5,0.8148148148148149,0.6296296296296297,0.4124269898392609,0.75
11754920_s_at,5,0.8148148148148149,0.5925925925925927,0.408248290463863,0.75
11758237_s_at,5,0.8148148148148149,0.6962962962962963,0.25945759609249447,0.75
11760900_x_at,5,0.8148148148148149,0.7481481481481482,0.22283865120727886,0.75
11740958_x_at,5,0.8148148148148149,0.7703703703703704,0.16850834320114558,0.75
11723465_a_at,5,0.8148148148148149,0.7111111111111111,0.20687763027805836,0.75
11758557_s_at,5,0.8148148148148149,0.6444444444444445,0.34005567203371945,0.75
11739408_at,5,0.8148148148148149,0.6222222222222223,0.3716644060533957,0.75
11750360_s_at,5,0.8148148148148149,0.725925925925926,0.2652741419180738,0.75
11720010_s_at,5,0.8148148148148149,0.7851851851851852,0.2726690713971253,0.75
11742723_a_at,5,0.8148148148148149,0.7814814814814814,0.1159442654999891,0.75
11723735_a_at,5,0.8148148148148149,0.8222222222222222,0.12394963356060382,0.75
11734546_s_at,5,0.8148148148148149,0.6666666666666667,0.35233884426741574,0.75
11726071_a_at,5,0.8148148148148149,0.5777777777777778,0.5000685824020783,0.75
11718339_x_at,5,0.8148148148148149,0.6592592592592592,0.39579407429311253,0.75
11720747_a_at,5,0.8148148148148149,0.6,0.4738714844907246,0.75
11719024_at,5,0.8148148148148149,0.7296296296296296,0.3141605401592334,0.75
11716845_at,5,0.8148148148148149,0.7703703703703704,0.1877598793427641,0.75
11725069_s_at,5,0.8148148148148149,0.7037037037037037,0.3384382756017975,0.75
11728961_a_at,5,0.8148148148148149,0.7592592592592593,0.2566001196398337,0.75
11739438_at,5,0.8148148148148149,0.7037037037037037,0.33333333333333337,0.6666666666666666
11724643_at,5,0.8148148148148149,0.8518518518518519,0.12559870339120865,0.5833333333333334
11761116_a_at,5,0.8148148148148149,0.6592592592592592,0.40521294508467715,0.5
11745099_x_at,5,0.8148148148148149,0.837037037037037,0.10006856360078736,0.4166666666666667
11754712_a_at,5,0.8148148148148149,0.6333333333333334,0.3038391748443509,0.3333333333333333
11728375_x_at,5,0.8148148148148149,0.6851851851851852,0.3384382756017975,0.3333333333333333
11724764_s_at,5,0.8148148148148149,0.6888888888888889,0.36250916454050836,0.3333333333333333
11718322_at,5,0.8148148148148149,0.6962962962962964,0.3103164454170876,0.3333333333333333
11734727_a_at,5,0.8148148148148149,0.6481481481481481,0.4095063775462219,0.25
11719038_a_at,5,0.8148148148148149,0.8185185185185185,0.2055472137112831,0.25
11743129_at,5,0.8148148148148149,0.7407407407407407,0.2111435972405811,0.25
11759312_at,5,0.8148148148148149,0.825925925925926,0.14200214453837637,0.25
11716993_a_at,5,0.8148148148148149,0.6444444444444445,0.3662736389652183,0.25
11755072_a_at,5,0.8148148148148149,0.7925925925925926,0.08425417160057279,0.25
11751356_s_at,5,0.8148148148148149,0.7,0.3203221971916986,0.25
11743412_at,5,0.8148148148148149,0.5777777777777778,0.4833297857114021,0.25
11740473_a_at,5,0.8148148148148149,0.6,0.3983849425044402,0.25
11750292_x_at,5,0.8148148148148149,0.762962962962963,0.2716610491984036,0.25
11736123_a_at,5,0.8148148148148149,0.6962962962962964,0.21340533764278424,0.25
11722510_at,5,0.8148148148148149,0.6814814814814815,0.37092550988308987,0.25
11733235_at,5,0.8148148148148149,0.5740740740740742,0.4366602267611703,0.25
11763167_x_at,5,0.8148148148148149,0.6481481481481481,0.3740557384578547,0.25
11724004_a_at,5,0.8148148148148149,0.6370370370370371,0.37350525142159136,0.25
11754419_a_at,5,0.8148148148148149,0.5185185185185185,0.45737366797142476,0.25
11757630_s_at,5,0.8148148148148149,0.7407407407407408,0.15930231976004863,0.25
11730168_s_at,5,0.8148148148148149,0.662962962962963,0.3836507900023277,0.25
11744452_x_at,5,0.8148148148148149,0.5851851851851853,0.3670219004988888,0.25
11719220_a_at,5,0.8148148148148149,0.8148148148148149,0.15713484026367724,0.25
11757522_s_at,5,0.8148148148148149,0.7740740740740741,0.20047953485517572,0.25
11738183_a_at,5,0.8148148148148149,0.6148148148148149,0.4308093636620844,0.25
11764146_s_at,5,0.8148148148148149,0.5777777777777778,0.4162343436173719,0.25
11729504_a_at,5,0.8148148148148149,0.562962962962963,0.46804616798293697,0.25
11743816_s_at,5,0.8148148148148149,0.8074074074074075,0.17253058813114247,0.25
11722480_a_at,5,0.8148148148148149,0.874074074074074,0.10006856360078735,0.25
11720230_at,5,0.8148148148148149,0.6666666666666667,0.41076061134849695,0.25
11756527_a_at,5,0.8148148148148149,0.7037037037037037,0.2868876552746235,0.25
11749526_a_at,5,0.8148148148148149,0.6777777777777778,0.3136142685928377,0.25
