rf_rank,probe_id,gene_symbol,rf_importance,rf_n_nodes,j48_split,j48_threshold,j48_direction,j48_depth,abs_fold_change,log_fc,hybrid_score,source
1,11745299_x_at,GYPB,1.0,1,False,,,,2.8526,-2.8526,,rf
2,11727807_at,FECH,0.96,2,False,,,,2.8395,-2.8395,,rf
3,11731448_a_at,SNCA,0.94,2,False,,,,3.0974,-3.0974,,rf
4,11728137_at,XK,0.89,3,False,,,,2.7655,-2.7655,,rf
5,11742315_s_at,RHCE /// RHD,0.85,5,False,,,,3.3176,-3.3176,,rf
6,11729583_x_at,CA1,0.85,6,False,,,,3.325,-3.325,,rf
7,11716466_s_at,ISCA1,0.84,2,False,,,,2.3218,-2.3218,,rf
8,11739338_at,FAM46C,0.84,2,False,,,,2.5064,-2.5064,,rf
9,11752701_s_at,RHCE /// RHD,0.83,2,False,,,,2.5189,-2.5189,,rf
10,11727808_s_at,FECH,0.83,2,False,,,,2.525,-2.525,,rf
11,11752881_s_at,RHCE /// RHD,0.81,1,False,,,,2.6207,-2.6207,,rf
12,11725951_at,RIOK3,0.81,1,False,,,,1.8623,-1.8623,,rf
13,11737268_s_at,RHCE /// RHD,0.81,1,False,,,,2.6611,-2.6611,,rf
14,11742143_s_at,RHCE /// RHD,0.77,5,False,,,,3.3086,-3.3086,,rf
15,11729582_s_at,CA1,0.76,4,False,,,,3.5691,-3.5691,,rf
16,11740680_s_at,RHCE /// RHD,0.74,5,False,,,,3.3934,-3.3934,,rf
17,11725497_a_at,RAP1GAP,0.74,11,False,,,,3.252,-3.252,,rf
18,11745661_x_at,GYPA,0.73,3,False,,,,2.4458,-2.4458,,rf
19,11729757_a_at,RHAG,0.72,4,False,,,,1.6936,-1.6936,,rf
20,11725950_s_at,RIOK3,0.71,2,False,,,,1.7679,-1.7679,,rf
21,11721655_at,CISD2,0.71,5,False,,,,2.0968,-2.0968,,rf
22,11716876_a_at,TSTA3,0.71,22,False,,,,1.7444,-1.7444,,rf
23,11757303_s_at,BNIP3L,0.7,3,False,,,,1.8325,-1.8325,,rf
24,11740553_a_at,XPC,0.7,6,False,,,,0.72,0.72,,rf
25,11736538_s_at,RHCE /// RHD,0.69,3,False,,,,3.2413,-3.2413,,rf
26,11732236_a_at,GYPA,0.69,9,False,,,,3.306,-3.306,,rf
27,11732235_a_at,GYPA,0.68,7,False,,,,2.7993,-2.7993,,rf
28,11719581_a_at,BPGM,0.65,12,False,,,,3.388,-3.388,,rf
29,11716467_x_at,ISCA1,0.65,4,False,,,,2.344,-2.344,,rf
30,11728821_a_at,HEPACAM2,0.65,4,False,,,,2.6654,-2.6654,,rf
31,11721029_a_at,PIP5K1B,0.65,7,False,,,,2.0196,-2.0196,,rf
