rf_rank,probe_id,gene_symbol,rf_importance,rf_n_nodes,j48_split,j48_threshold,j48_direction,j48_depth,abs_fold_change,log_fc,hybrid_score,source
1,11718340_x_at,DAZAP2,0.92,1,False,,,,0.7752,0.7752,,rf
2,11728424_x_at,PILRA,0.92,1,False,,,,1.2653,1.2653,,rf
3,11723153_a_at,GON4L,0.92,1,False,,,,0.4805,0.4805,,rf
4,11718260_at,NOTCH1,0.88,4,False,,,,1.0624,1.0624,,rf
5,11741035_a_at,RPS6KA1,0.86,7,False,,,,0.7602,0.7602,,rf
6,11718568_a_at,WIPF1,0.84,2,False,,,,0.9839,0.9839,,rf
7,11733611_a_at,DOCK8,0.79,4,False,,,,1.0238,1.0238,,rf
8,11732415_s_at,TIAM1,0.76,5,False,,,,1.1607,1.1607,,rf
9,11728926_at,NFAM1,0.75,5,False,,,,1.1839,1.1839,,rf
10,11732373_a_at,TSEN34,0.72,3,False,,,,1.2016,1.2016,,rf
11,11719728_s_at,SIRPA,0.72,1,False,,,,1.3363,1.3363,,rf
12,11722269_a_at,SASH3,0.71,6,False,,,,0.8832,0.8832,,rf
13,11741435_s_at,GRB2,0.69,2,False,,,,0.8176,0.8176,,rf
14,11728961_a_at,DISC1 /// TSNAX-DISC1,0.69,2,False,,,,0.9435,0.9435,,rf
15,11733691_a_at,SIGLEC7,0.67,13,False,,,,1.4067,1.4067,,rf
16,11755644_s_at,CDK11A /// CDK11B,0.67,3,False,,,,0.5785,0.5785,,rf
17,11720739_s_at,ITPKB,0.67,12,False,,,,0.6937,0.6937,,rf
18,11750862_a_at,ADGRE3,0.65,4,False,,,,1.5619,1.5619,,rf
19,11747203_x_at,CLN3,0.65,5,False,,,,0.5228,0.5228,,rf
20,11746456_x_at,GPR155,0.65,5,False,,,,1.2001,1.2001,,rf
21,11718387_s_at,RBSN,0.65,3,False,,,,0.5649,0.5649,,rf
22,11731879_a_at,NLRP1,0.64,8,False,,,,1.2655,1.2655,,rf
23,11740096_a_at,TMCC1,0.63,6,False,,,,1.0296,1.0296,,rf
24,11754832_a_at,PPP1R12C,0.63,7,False,,,,0.3819,0.3819,,rf
25,11724224_a_at,AMPD2,0.62,10,False,,,,1.035,1.035,,rf
26,11740553_a_at,XPC,0.6,24,False,,,,0.72,0.72,,rf
27,11726384_at,FRY,0.6,8,False,,,,1.5816,1.5816,,rf
28,11731728_at,P2RY13,0.6,2,False,,,,1.2888,1.2888,,rf
29,11757383_a_at,CTSH,0.59,13,False,,,,1.1463,1.1463,,rf
30,11730005_a_at,SEMA4D,0.59,11,False,,,,0.9636,0.9636,,rf
31,11760387_at,IL16,0.59,2,False,,,,0.8127,0.8127,,rf
32,11754863_s_at,VPS37C,0.59,14,False,,,,0.6724,0.6724,,rf
33,11747020_x_at,HMHA1,0.59,1,False,,,,0.756,0.756,,rf
34,11717267_x_at,CAMK2G,0.59,17,False,,,,0.8295,0.8295,,rf
35,11756746_s_at,AKIP1 /// NUAK2,0.58,15,False,,,,1.1032,1.1032,,rf
36,11748839_a_at,NFS1,0.58,2,False,,,,0.5425,0.5425,,rf
37,11737423_a_at,NLRP1,0.57,16,False,,,,0.9726,0.9726,,rf
38,11745768_a_at,NOTCH2,0.57,2,False,,,,0.8716,0.8716,,rf
39,11715617_a_at,RNF130,0.56,1,False,,,,1.0181,1.0181,,rf
40,11725180_a_at,RUNX2,0.56,7,False,,,,1.2249,1.2249,,rf
41,11746195_x_at,LOC100996763 /// NBPF10 /// NBPF11 /// NBPF14 /// NBPF19 /// NBPF20 /// NBPF25P /// NBPF26 /// NBPF8,0.55,4,False,,,,0.9798,0.9798,,rf
42,11725165_a_at,C7orf31,0.55,6,False,,,,0.7359,0.7359,,rf
43,11739069_s_at,PSAP,0.55,5,False,,,,0.9646,0.9646,,rf
44,11750585_a_at,SEPT9,0.54,3,False,,,,0.8228,0.8228,,rf
45,11740206_x_at,GPR155,0.53,12,False,,,,1.1039,1.1039,,rf
46,11759407_at,FAM217B,0.53,4,False,,,,0.6401,0.6401,,rf
47,11746639_a_at,RASSF2,0.52,8,False,,,,1.1938,1.1938,,rf
48,11716389_a_at,BAZ1B,0.5,3,False,,,,0.35,0.35,,rf
49,11726636_s_at,KAT6A,0.5,1,False,,,,0.7369,0.7369,,rf
50,11728827_at,F2RL1,0.49,2,False,,,,0.9235,0.9235,,rf
