probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11716876_a_at,TSTA3,0.0659,1.0,1.744369466666666,0.7424
11719581_a_at,BPGM,0.0276,1.0,3.3879618999999996,0.6801
11731452_s_at,SEC62,0.0448,1.0,2.0619120666666673,0.6264
11756301_x_at,TSTA3,0.0427,1.0,1.9330776999999983,0.5926
11725497_a_at,RAP1GAP,0.0149,1.0,3.251957766666667,0.5649
11721029_a_at,PIP5K1B,0.037,1.0,2.0196019666666665,0.5613
11736395_a_at,BPGM,0.0107,1.0,3.326534500000002,0.5434
11749318_a_at,TSTA3,0.0338,1.0,2.0494480999999993,0.5412
11732236_a_at,GYPA,0.0107,1.0,3.306031566666667,0.5405
11731454_a_at,SEC62,0.0515,1.0,1.0380897666666673,0.535
11761538_x_at,TSTA3,0.0371,1.0,1.8240181666666668,0.5349
11739787_a_at,IGF2 /// INS-IGF2,0.0067,1.0,3.452315566666668,0.5305
11721930_a_at,TMCC2,0.0187,1.0,2.760081200000001,0.5254
11756003_x_at,IGF2 /// INS-IGF2,0.0068,1.0,3.3839208999999992,0.5218
11729582_s_at,CA1,0.0029,0.8,3.5690905000000015,0.5179
11720807_x_at,EIF1AY,0.0023,1.0,3.5986673666666675,0.5175
11756160_x_at,CTNNAL1,0.0223,1.0,2.3980114666666674,0.5024
