gene_symbol,selected_probe_count,probe_ids,probe_types,max_abs_fold_change,mean_abs_fold_change,direction_consistency,notes
EIF1AY,1,11720807_x_at,_x_at,3.5987,3.5987,single,contains _x_at probe (cross-hybridising — interpret with care)
CA1,2,11729582_s_at | 11729583_x_at,_s_at | _x_at,3.5691,3.4471,consistent,contains _x_at probe (cross-hybridising — interpret with care)
IGF2 /// INS-IGF2,2,11739787_a_at | 11756003_x_at,_a_at | _x_at,3.4523,3.4181,consistent,contains _x_at probe (cross-hybridising — interpret with care)
RHCE /// RHD,7,11740680_s_at | 11742315_s_at | 11742143_s_at | 11736538_s_at | 11737268_s_at | 11752881_s_at | 11752701_s_at,_s_at | _s_at | _s_at | _s_at | _s_at | _s_at | _s_at,3.3934,3.0088,consistent,7 probes selected — high representation
BPGM,2,11719581_a_at | 11736395_a_at,_a_at | _a_at,3.388,3.3572,consistent,
GYPA,4,11732236_a_at | 11732235_a_at | 11751870_x_at | 11745661_x_at,_a_at | _a_at | _x_at | _x_at,3.306,2.7596,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
RAP1GAP,1,11725497_a_at,_a_at,3.252,3.252,single,
SNCA,1,11731448_a_at,_a_at,3.0974,3.0974,single,
IFIT1B,1,11737280_at,_at,2.997,2.997,single,
GYPB,4,11745557_x_at | 11745299_x_at | 11753827_x_at | 11753662_x_at,_x_at | _x_at | _x_at | _x_at,2.9867,2.8667,consistent,4 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
HEMGN,1,11736696_a_at,_a_at,2.9438,2.9438,single,
XK,2,11728138_at | 11728137_at,_at | _at,2.8971,2.8313,consistent,
BBOF1,1,11729920_at,_at,2.8918,2.8918,single,
CTNNAL1,1,11720494_a_at,_a_at,2.8612,2.8612,single,
FECH,3,11727807_at | 11746263_a_at | 11727808_s_at,_at | _a_at | _s_at,2.8395,2.641,consistent,3 probes selected — high representation
FAM46C,2,11739340_at | 11739338_at,_at | _at,2.7707,2.6386,consistent,
TMCC2,1,11721930_a_at,_a_at,2.7601,2.7601,single,
HEPACAM2,2,11728821_a_at | 11750918_a_at,_a_at | _a_at,2.6654,2.5668,consistent,
SLC14A1,3,11733360_x_at | 11727970_a_at | 11727969_a_at,_x_at | _a_at | _a_at,2.6613,2.5393,consistent,3 probes selected — high representation; contains _x_at probe (cross-hybridising — interpret with care)
KRT1,1,11723952_at,_at,2.4864,2.4864,single,
IFI27,1,11715893_s_at,_s_at,2.4824,2.4824,single,
RHD,1,11737267_a_at,_a_at,2.4665,2.4665,single,
ACSL6,1,11722470_x_at,_x_at,2.4637,2.4637,single,contains _x_at probe (cross-hybridising — interpret with care)
NUDT4 /// NUDT4P1 /// NUDT4P2,2,11754453_s_at | 11758559_s_at,_s_at | _s_at,2.4595,2.4399,consistent,
HBD /// HBD,1,11725438_a_at,_a_at,2.4431,2.4431,single,
TSPAN7,1,11715752_at,_at,2.4349,2.4349,single,
DYRK3,1,11733482_a_at,_a_at,2.4242,2.4242,single,
