sample,11720807_x_at,11729582_s_at,11739787_a_at,11740680_s_at,11719581_a_at,11756003_x_at,11736395_a_at,11729583_x_at,11742315_s_at,11742143_s_at,11732236_a_at,11725497_a_at,11736538_s_at,11731448_a_at,11737280_at,11745557_x_at,11736696_a_at,11728138_at,11729920_at,11720494_a_at,11745299_x_at,11727807_at,11753827_x_at,11732235_a_at,11753662_x_at,11739340_at,11728137_at,11721930_a_at,11728821_a_at,11733360_x_at,11737268_s_at,11752881_s_at,11746263_a_at,11727808_s_at,11752701_s_at,11739338_at,11727970_a_at,11751870_x_at,11723952_at,11715893_s_at,11750918_a_at,11737267_a_at,11722470_x_at,11754453_s_at,11727969_a_at,11745661_x_at,11725438_a_at,11715752_at,11733482_a_at,11758559_s_at,class
GSM3507251,1.736091,8.73293,3.802539,5.874669,7.00447,3.164706,7.177016,10.10315,5.907681,5.937729,4.99403,6.427765,5.915199,5.882703,7.810727,7.214436,6.964293,4.177295,4.954436,6.458408,6.292865,4.099481,7.250937,4.253155,7.054167,5.92027,6.5992,7.217052,4.277569,6.412936,5.155025,5.101368,7.085751,9.600315,5.040342,8.870037,5.63871,3.50673,6.323502,5.990334,4.087893,5.011745,5.16982,8.656445,6.307517,4.171605,11.27899,9.090311,8.048323,8.497303,control
GSM3507252,10.80675,11.21623,10.50652,8.663006,10.28933,9.388454,10.45849,12.94683,8.725281,8.607899,7.868501,11.04259,8.624262,9.541193,11.07417,11.80902,9.96174,7.881823,8.053823,7.207698,10.64557,9.141988,11.92994,6.73059,11.72102,9.793498,10.06711,10.09559,7.019146,8.833643,8.018767,8.078774,10.37626,11.83804,7.976721,12.02558,7.775052,6.308299,10.96436,10.46554,6.419081,8.200645,9.168177,10.27236,8.742691,6.110325,13.26159,7.97577,6.157817,9.340133,control
GSM3507253,9.37129,10.62525,8.256703,8.101383,9.050923,6.768762,9.215179,12.6179,8.245027,7.857437,7.683703,7.95552,7.919959,8.355137,8.522453,10.78942,9.920204,7.49146,8.593866,8.543353,9.810022,8.108831,11.34423,6.990414,10.82662,8.732722,9.543177,10.94088,5.780903,8.51029,7.356441,7.364122,9.458369,10.59702,7.349376,11.28631,7.798507,6.445415,10.7915,11.59922,5.321611,7.142222,8.011215,10.91664,8.667625,6.763692,13.2637,5.381186,8.304876,9.874104,control
GSM3507254,9.460186,10.19644,7.907831,8.149967,9.483574,6.471226,9.673876,12.28693,7.973178,7.804259,6.749736,9.102225,7.960407,8.820645,10.00545,10.98067,9.331628,8.090366,7.680902,6.486973,9.826868,6.805356,10.99006,6.096196,10.86427,9.195862,10.16393,9.285774,5.888033,8.604115,7.204032,7.32614,8.606367,10.21533,7.168413,11.75697,7.170244,5.084542,9.095136,13.03225,5.428741,7.546532,6.945753,9.382859,8.171408,5.409542,12.52532,6.748736,6.44031,8.410751,control
GSM3507255,10.57418,11.09068,9.764305,8.281197,9.966805,8.597828,10.06115,12.8377,8.454098,8.213202,8.448383,10.4275,8.264534,9.673346,10.77009,10.92176,9.758898,8.708439,8.694458,7.700443,9.973259,9.079234,11.11676,7.580755,10.93524,9.249146,10.7925,8.818477,6.627501,8.890066,7.418587,7.543453,10.1571,11.56892,7.674555,11.9953,8.151865,7.037364,10.76665,9.615314,6.04865,6.647097,9.561088,10.4641,8.801292,7.148755,13.22518,7.366595,5.711877,9.731139,control
GSM3507256,9.676264,10.12291,10.63106,7.876316,9.238316,9.436772,9.389742,12.16234,7.97191,7.847722,7.013339,9.569218,7.567138,7.860137,9.526112,10.48709,8.432035,5.85881,7.321882,7.653397,9.57889,5.630871,10.77832,6.15251,10.49125,8.505514,8.379808,10.11183,6.453424,7.32244,7.07843,7.392475,8.411459,10.2148,7.143842,10.91827,6.267776,5.628811,10.2906,11.14578,5.786015,7.350005,6.91559,9.02731,7.335158,5.934243,12.87688,6.919941,6.977432,8.148791,control
GSM3507257,10.89628,11.79638,10.60354,9.851624,10.66081,9.595173,10.60374,13.53406,9.895985,9.806581,8.711367,11.00169,9.668638,9.827097,11.12502,11.63621,10.7488,8.907088,9.329871,8.057846,10.51009,7.783724,11.68828,8.191077,11.46648,9.683715,10.73814,10.47878,7.958577,10.12051,9.282298,9.316309,9.853762,11.10672,9.235086,12.02408,9.898367,7.671011,11.58554,12.5057,7.670094,9.396277,9.861277,10.61261,10.019,8.074608,13.53899,7.874085,8.237082,9.975142,control
GSM3507258,1.815625,6.717366,6.673732,4.369011,6.938884,5.184538,6.93788,8.959162,4.288306,4.471892,4.669218,7.708288,5.001933,6.005084,7.436206,6.905177,6.910491,4.843163,4.915001,4.066763,5.843014,4.642005,7.249216,3.249679,7.159014,6.366477,7.528552,7.62015,4.724324,6.762814,4.363943,3.66212,6.688575,8.407215,4.259893,9.500135,5.56535,2.873733,9.550803,13.0746,3.518617,4.329871,5.838849,7.550749,6.250932,3.403228,10.24451,4.52489,4.355912,6.795306,control
GSM3507259,11.05218,12.12613,11.90633,8.666756,11.15157,10.78421,11.25086,13.30907,8.74729,8.584756,8.281876,10.03731,8.632675,10.49915,11.05992,11.53262,10.48517,8.624088,8.686649,7.017447,10.59796,8.995209,11.92108,7.055787,11.52546,10.19536,10.39323,9.378567,7.290894,9.957262,7.795441,7.845303,10.71485,12.08902,7.958945,12.35833,9.165996,6.718687,11.22937,9.054829,6.744178,8.35753,9.509171,10.54109,9.908274,6.605161,12.86798,8.171928,6.498895,9.953217,control
GSM3507260,1.968502,8.563044,3.961401,5.643051,7.3304,3.587532,7.488406,10.65219,5.36971,5.375114,6.641864,8.268433,5.25628,9.057079,7.754519,8.087192,7.393475,5.858877,7.338269,7.1502,7.080079,7.800306,8.276588,5.498274,7.892933,7.603907,8.56069,7.423429,4.886573,7.59465,4.945993,5.148617,8.448687,10.73072,5.103641,10.57007,6.872291,5.038793,10.23257,7.301145,4.404465,4.944792,6.962659,9.797777,7.278593,5.078041,11.11552,5.117413,4.986469,9.197536,control
