Gene,N_runs,Median_TestAUC,Mean_TestAUC,SD_TestAUC,Median_TestAcc
11718185_a_at,5,1.0,1.0,0.0,1.0
11725976_a_at,5,1.0,0.9925925925925926,0.016563466499998396,1.0
11754863_s_at,5,1.0,0.9851851851851852,0.03312693299999682,1.0
11726632_at,5,1.0,0.9703703703703704,0.06625386599999376,1.0
11720493_s_at,5,1.0,1.0,0.0,1.0
11740162_a_at,5,1.0,0.9703703703703704,0.06625386599999376,1.0
11760963_x_at,5,1.0,0.962962962962963,0.06415002990995844,1.0
11730431_a_at,5,1.0,0.9851851851851852,0.03312693299999689,1.0
11716903_a_at,5,1.0,0.9777777777777779,0.03312693299999688,1.0
11717544_a_at,5,1.0,0.9777777777777779,0.033126932999996826,1.0
11724484_a_at,5,1.0,0.9555555555555555,0.0993807989999906,1.0
11725440_a_at,5,1.0,0.9481481481481481,0.11594426549998911,1.0
11721513_a_at,5,1.0,0.9925925925925926,0.016563466499998413,1.0
200021_PM_at,5,1.0,0.962962962962963,0.06415002990995844,1.0
11741435_s_at,5,1.0,0.9555555555555555,0.08029438292103258,1.0
11748747_a_at,5,1.0,0.9555555555555555,0.09938079899999061,1.0
11745742_s_at,5,1.0,0.9925925925925926,0.016563466499998406,1.0
11732181_x_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11718196_x_at,5,1.0,0.8962962962962964,0.14439695325642904,1.0
11736017_s_at,5,1.0,0.9407407407407409,0.11294778282945855,1.0
11723156_a_at,5,1.0,0.9407407407407409,0.09658077637337253,1.0
11731426_s_at,5,1.0,0.8814814814814815,0.16228816518671588,1.0
11752510_x_at,5,1.0,0.9777777777777779,0.049690399499995305,1.0
11722269_a_at,5,1.0,0.9925925925925926,0.01656346649999841,1.0
11722387_at,5,1.0,1.0,0.0,1.0
11720097_at,5,1.0,0.9037037037037038,0.13250773199998753,1.0
11742686_a_at,5,1.0,0.9703703703703704,0.04829038818668627,1.0
11755572_x_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11728989_a_at,5,1.0,0.9851851851851852,0.03312693299999689,1.0
11754831_a_at,5,1.0,0.9925925925925926,0.016563466499998413,1.0
11737749_a_at,5,1.0,0.9555555555555555,0.06625386599999376,1.0
11746456_x_at,5,1.0,1.0,0.0,1.0
11722270_at,5,1.0,0.9555555555555555,0.09938079899999061,1.0
11718120_at,5,1.0,0.962962962962963,0.05237828008789236,1.0
11718121_x_at,5,1.0,0.9259259259259259,0.10143010324169738,1.0
11725924_a_at,5,1.0,0.9333333333333333,0.12936480886350357,1.0
11741351_s_at,5,1.0,0.9703703703703704,0.04829038818668627,1.0
11721716_s_at,5,1.0,0.9259259259259259,0.12830005981991682,1.0
11756827_a_at,5,1.0,0.9851851851851852,0.03312693299999684,1.0
11723842_s_at,5,1.0,0.9703703703703704,0.04829038818668627,1.0
11727841_a_at,5,1.0,0.9407407407407409,0.13250773199998753,1.0
11744067_s_at,5,1.0,0.8666666666666668,0.18257418583505536,1.0
11736575_x_at,5,1.0,1.0,0.0,1.0
11715706_x_at,5,1.0,0.9851851851851852,0.03312693299999689,1.0
11733768_x_at,5,1.0,0.9037037037037037,0.17684942794538258,1.0
11720230_at,5,1.0,0.962962962962963,0.08281733249999217,1.0
11740553_a_at,5,1.0,1.0,0.0,0.9166666666666666
11755411_a_at,5,1.0,0.9925925925925926,0.016563466499998413,0.9166666666666666
11736084_a_at,5,1.0,0.9925925925925926,0.016563466499998406,0.9166666666666666
11744351_a_at,5,1.0,0.9703703703703704,0.048290388186686226,0.9166666666666666
11737423_a_at,5,1.0,0.9851851851851852,0.03312693299999684,0.9166666666666666
11757569_a_at,5,1.0,0.9703703703703704,0.04057204129667898,0.9166666666666666
11747203_x_at,5,1.0,0.9851851851851852,0.020286020648339426,0.9166666666666666
11756894_a_at,5,1.0,0.9777777777777779,0.03312693299999684,0.9166666666666666
11757379_a_at,5,1.0,0.9703703703703704,0.06625386599999376,0.9166666666666666
11754197_x_at,5,1.0,0.9851851851851852,0.02028602064833947,0.9166666666666666
11716908_a_at,5,1.0,0.9481481481481481,0.07219847662821456,0.9166666666666666
11720644_a_at,5,1.0,0.9703703703703704,0.04829038818668625,0.9166666666666666
11716904_s_at,5,1.0,0.9481481481481481,0.0811440825933579,0.9166666666666666
11757525_s_at,5,1.0,0.9777777777777779,0.04969039949999535,0.9166666666666666
11717324_at,5,1.0,0.9481481481481481,0.08114408259335792,0.9166666666666666
11724807_at,5,1.0,0.9925925925925926,0.016563466499998396,0.9166666666666666
11733802_a_at,5,1.0,0.9777777777777779,0.0496903994999953,0.9166666666666666
11732135_a_at,5,1.0,0.9925925925925926,0.016563466499998396,0.9166666666666666
11753909_x_at,5,1.0,0.962962962962963,0.05237828008789238,0.9166666666666666
11719025_a_at,5,1.0,0.9555555555555555,0.09938079899999061,0.9166666666666666
11756746_s_at,5,1.0,0.9259259259259259,0.10475656017578477,0.9166666666666666
11719038_a_at,5,1.0,0.962962962962963,0.08281733249999218,0.9166666666666666
11731879_a_at,5,1.0,0.9925925925925926,0.016563466499998396,0.9166666666666666
11725813_at,5,1.0,0.9555555555555555,0.09938079899999061,0.9166666666666666
11722752_a_at,5,1.0,0.962962962962963,0.05237828008789237,0.9166666666666666
11721719_at,5,1.0,0.9851851851851852,0.03312693299999689,0.9166666666666666
11757904_s_at,5,1.0,0.9555555555555555,0.06625386599999378,0.9166666666666666
11758386_s_at,5,1.0,0.9851851851851852,0.03312693299999688,0.9166666666666666
11722216_a_at,5,1.0,0.9481481481481481,0.07219847662821456,0.9166666666666666
11724979_a_at,5,1.0,0.9851851851851852,0.020286020648339464,0.9166666666666666
11742418_a_at,5,1.0,0.9703703703703704,0.048290388186686226,0.9166666666666666
11722960_a_at,5,1.0,0.9703703703703704,0.048290388186686226,0.9166666666666666
11716765_s_at,5,1.0,0.9777777777777779,0.0331269329999969,0.9166666666666666
11732189_at,5,1.0,1.0,0.0,0.9166666666666666
11724326_a_at,5,1.0,0.9259259259259259,0.10143010324169739,0.9166666666666666
11731424_x_at,5,1.0,0.9259259259259259,0.11415581486979584,0.9166666666666666
11758090_s_at,5,1.0,0.9777777777777779,0.04969039949999535,0.9166666666666666
