probe_id,gene_symbol,rf_importance,selection_freq,abs_fold_change,combined_score
11731424_x_at,CXCR2,0.0256,1.0,1.6037999000000003,0.7162
11740553_a_at,XPC,0.049,1.0,0.7199724999999981,0.6701
11718185_a_at,FCHSD2,0.0538,1.0,0.48175853333333407,0.6437
11725976_a_at,WDR91,0.0482,1.0,0.6224668666666675,0.6336
11744351_a_at,LOC728392 /// NLRP1,0.0315,1.0,1.1078047333333316,0.6231
11731426_s_at,CXCR2 /// CXCR2P1,0.0088,1.0,1.676751266666665,0.5818
11725813_at,MAST3,0.0298,1.0,1.013826599999999,0.5793
11756894_a_at,SPIN3,0.0337,1.0,0.8296025333333326,0.5606
11751164_a_at,CPPED1,0.0111,1.0,1.5201324666666665,0.5565
11721719_at,NAAA,0.024,1.0,0.9877877999999987,0.5176
11757379_a_at,TYK2,0.0225,1.0,1.0154630666666655,0.5119
11724979_a_at,DPEP2,0.0064,1.0,1.5018671999999995,0.5073
