run_label,gene,canonical_symbol,tier,subcategory,evidence_type,microarray_comparable,found,probe_id,gene_symbol_in_run,rf_importance,selection_freq,abs_fold_change,combined_score,median_test_auc,sd_test_auc,notes
univariate_ann_ranking_top100_run,NLRP1,NLRP1,1,pyroptosis,serum_transcript,Y,Y,11731879_a_at,NLRP1,,,,1.0,1.0,0.0166,Pyroptosis initiator; inflammasome
univariate_ann_ranking_top100_run,NLRP3,NLRP3,1,pyroptosis,serum_transcript,Y,Y,11738183_a_at,NLRP3,,,,1.0,1.0,0.1376,Inflammasome sensor; pyroptosis
univariate_ann_ranking_top100_run,IKBKB,IKBKB,1,NFkB_signalling,serum_transcript,Y,Y,11755411_a_at,IKBKB,,,,1.0,1.0,0.0166,IKK-beta; NF-kB signalling
univariate_ann_ranking_top100_run,FTH1,FTH1,1,iron_storage,serum_transcript,Y,Y,11752577_at,FTH1,,,,0.963,0.963,0.0483,Ferritin heavy chain; iron metabolism
univariate_ann_ranking_top100_run,TLR2,TLR2,1,innate_immunity,serum_transcript,Y,Y,11736273_a_at,TLR2,,,,0.9259,0.9259,0.1822,Toll-like receptor 2; innate immune receptor
univariate_ann_ranking_top100_run,STAT3,STAT3,1,JAK_STAT_signalling,serum_transcript,Y,Y,11720755_at,STAT3,,,,0.8889,0.8889,0.1514,JAK-STAT signalling hub; steroid-response
univariate_ann_ranking_top100_run,NCF2,NCF2,1,oxidative_burst,serum_transcript,Y,Y,11741153_a_at,NCF2,,,,0.8519,0.8519,0.1495,NADPH oxidase component p67-phox
univariate_ann_ranking_top100_run,SOD2,SOD2,1,mitochondrial_antioxidant,serum_transcript,Y,Y,11758924_x_at,LOC100129518 /// SOD2,,,,0.7778,0.7778,0.1325,Mitochondrial superoxide dismutase
univariate_ann_ranking_top100_run,CASP4,CASP4,1,pyroptosis,serum_transcript,Y,Y,11746002_a_at,CASP4,,,,0.7037,0.7037,0.1942,Non-canonical pyroptosis caspase
univariate_ann_ranking_top100_run,BPGM,BPGM,1,erythroid_metabolism,serum_transcript,Y,N,,,,,,,,,Literature top-3 SONFH serum biomarker; WGCNA+LASSO+RF validated; strongest convergent hit
univariate_ann_ranking_top100_run,GYPA,GYPA,1,erythroid_surface,serum_transcript,Y,N,,,,,,,,,Literature top-3 SONFH serum biomarker; erythroid surface glycoprotein
univariate_ann_ranking_top100_run,TMCC2,TMCC2,1,erythroid_metabolism,serum_transcript,Y,N,,,,,,,,,Literature top-3 SONFH serum biomarker; best probe clean
univariate_ann_ranking_top100_run,CTNNAL1,CTNNAL1,1,cell_adhesion,serum_transcript,Y,N,,,,,,,,,Catenin alpha-like 1; human blood/serum biomarker candidate
univariate_ann_ranking_top100_run,SLC2A1,SLC2A1,1,glucose_transport,serum_transcript,Y,N,,,,,,,,,GLUT1; hypoxia-driven upregulation; human blood/serum candidate
univariate_ann_ranking_top100_run,CASP1,CASP1,1,pyroptosis,serum_transcript,Y,N,,,,,,,,,Pyroptosis executioner; caspase-1
univariate_ann_ranking_top100_run,IL1B,IL1B,1,inflammation,serum_transcript,Y,N,,,,,,,,,Interleukin-1beta; core inflammation mediator
univariate_ann_ranking_top100_run,ICAM1,ICAM1,1,inflammation_adhesion,serum_transcript,Y,N,,,,,,,,,Intercellular adhesion molecule 1
univariate_ann_ranking_top100_run,NR3C1,NR3C1,1,glucocorticoid_receptor,serum_transcript,Y,N,,,,,,,,,Glucocorticoid receptor gene; steroid-response hub
univariate_ann_ranking_top100_run,LACTB,LACTB,1,mitochondrial,serum_transcript,Y,N,,,,,,,,,Mitochondrial serine beta-lactamase-like
univariate_ann_ranking_top100_run,PDK3,PDK3,1,mitochondrial,serum_transcript,Y,N,,,,,,,,,Pyruvate dehydrogenase kinase 3
univariate_ann_ranking_top100_run,RAB5IF,RAB5IF,1,vesicle_trafficking,serum_transcript,Y,N,,,,,,,,,RAB5-interacting factor
univariate_ann_ranking_top100_run,SQOR,SQOR,1,mitochondrial_sulfide,serum_transcript,Y,N,,,,,,,,,Sulfide:quinone oxidoreductase; mitochondrial
univariate_ann_ranking_top100_run,TYROBP,TYROBP,2,immune_signalling,mechanistic,Y,Y,11723287_at,TYROBP,,,,1.0,1.0,0.1159,DAP12; immune-network signalling hub
univariate_ann_ranking_top100_run,PECAM1,CD31,2,endothelial_surface,mechanistic,N,Y,11720644_a_at,PECAM1,,,,1.0,1.0,0.0483,CD31; endothelial surface marker
