rank,gene,tier,relation,confidence,biomarker_potential,score,abs_fold_change,known_sonfh_known_genes,known_jia2023_known_genes
1,TSTA3,Tier 1,direct,high,strong,0.7686,1.9330776999999983,,
2,BPGM,Tier 1,direct,high,strong,0.6646,3.3879618999999996,1,
3,DNAJC6,Tier 2,indirect,moderate,moderate,0.5619,2.7797734333333333,,
4,GYPA,Tier 1,direct,high,strong,0.5064,3.306031566666667,1,
5,TMCC2,Tier 2,direct,moderate,moderate,0.4922,2.760081200000001,1,
6,IGF2,Tier 3,indirect,moderate,moderate,0.4919,3.3839208999999992,,
7,HEMGN,Tier 1,direct,high,strong,0.4778,2.943764233333332,2,
8,PIP5K1B,Tier 1,direct,high,strong,0.4744,2.0196019666666665,,
9,ELOVL6,Tier 1,direct,high,strong,0.412,1.4919190333333336,,
10,MAP4K5,Tier 1,direct,high,strong,0.3971,1.3195956000000004,,
11,CISD2,Tier 1,direct,high,strong,0.371,2.0968221,,
12,ARG2,Tier 1,direct,high,strong,0.3518,1.7888590333333338,,
