rank,gene,tier,relation,confidence,biomarker_potential,score,abs_fold_change,known_sonfh_known_genes,known_jia2023_known_genes
1,PIK3CD,Tier 2,indirect,moderate,moderate,1.0,1.1049,,early
2,CPPED1,Tier 3,indirect,low,weak,1.0,1.3978,,
3,CBL,Tier 2,direct,moderate,moderate,1.0,1.015,,
4,DPEP2,Tier 2,indirect,moderate,moderate,1.0,1.5019,,
5,NLRP1,Tier 1,direct,high,strong,1.0,1.2655,1,
6,FCHSD2,Tier 3,indirect,low,moderate,1.0,0.4818,,
7,NOTCH2,Tier 2,indirect,moderate,moderate,1.0,1.1274,,
8,IMPDH1,Tier 3,indirect,low,weak,1.0,1.0315,,
9,LCP1,Tier 1,direct,high,strong,1.0,0.9313,,
10,ARNTL,Tier 2,indirect,moderate,moderate,1.0,0.9444,,
11,SETD1B,Tier 2,direct,moderate,strong,1.0,0.7192,,
