gene,new_multivariate_top100_tier,new_multivariate_top100_score,new_multivariate_top100_rel,new_multivariate_top500_tier,new_multivariate_top500_score,new_multivariate_top500_rel,new_univariate_top100_tier,new_univariate_top100_score,new_univariate_top100_rel,univariate_rerank_top100_tier,univariate_rerank_top100_score,univariate_rerank_top100_rel,weka_multivariate_tier,weka_multivariate_score,weka_multivariate_rel,weka_univariate_ann_tier,weka_univariate_ann_score,weka_univariate_ann_rel,best_fc,n_runs,known_sonfh_known_genes,known_jia2023_known_genes
NLRP1,,,,,,,Tier 1,1.0,direct,Tier 1,1.2642,direct,,,,Tier 1,0.64,direct,1.266,3,1,
TSTA3,Tier 1,0.7424,direct,Tier 1,0.7686,direct,,,,,,,Tier 1,0.71,direct,,,,1.933,3,,
GYPA,Tier 1,0.5405,direct,Tier 1,0.5064,direct,,,,,,,Tier 1,0.73,direct,,,,3.306,3,1,
CISD2,Tier 1,0.4454,direct,Tier 1,0.371,direct,,,,,,,Tier 1,0.71,direct,,,,2.414,3,,
BPGM,Tier 1,0.6801,direct,Tier 1,0.6646,direct,,,,,,,Tier 1,0.65,direct,,,,3.388,3,1,
PIP5K1B,Tier 1,0.5613,direct,Tier 1,0.4744,direct,,,,,,,Tier 1,0.65,direct,,,,2.02,3,,
TMCC2,Tier 2,0.5254,direct,Tier 2,0.4922,direct,,,,,,,Tier 2,0.64,direct,,,,2.76,3,1,
HEMGN,Tier 1,0.4553,direct,Tier 1,0.4778,direct,,,,,,,Tier 1,0.61,direct,,,,2.944,3,2,
P2RY13,,,,,,,,,,Tier 1,1.287,direct,,,,Tier 1,0.6,direct,1.289,2,,
NOTCH2,,,,,,,Tier 2,1.0,indirect,,,,,,,Tier 2,0.57,indirect,1.127,2,,
IGF2,Tier 3,0.5305,indirect,Tier 3,0.4919,indirect,,,,,,,,,,,,,3.452,2,,
TCF3,Tier 2,0.4273,indirect,,,,,,,,,,Tier 2,0.46,indirect,,,,1.508,2,,
STOM,Tier 2,0.3877,direct,,,,,,,,,,Tier 2,0.43,direct,,,,1.627,2,,
ABCG2,Tier 2,0.3245,indirect,,,,,,,,,,Tier 2,0.0,indirect,,,,2.33,2,,
CXCR2,,,,,,,,,,Tier 2,1.6665,indirect,,,,,,,1.677,1,,
VCAN,,,,,,,,,,Tier 2,1.6259,indirect,,,,,,,1.635,1,,
F2RL1,,,,,,,,,,Tier 2,1.4401,indirect,,,,,,,1.445,1,,
WLS,,,,,,,,,,Tier 2,1.4109,indirect,,,,,,,1.755,1,,
ABCG1,,,,,,,,,,Tier 2,1.4085,indirect,,,,,,,1.413,1,,
IL6R,,,,,,,,,,Tier 2,1.3649,indirect,,,,,,,1.369,1,,
CCR2,,,,,,,,,,Tier 2,1.3459,indirect,,,,,,,1.349,1,,
PTAFR,,,,,,,,,,Tier 2,1.3077,direct,,,,,,,1.31,1,,
PIK3CD,,,,,,,Tier 2,1.0,indirect,,,,,,,,,,1.105,1,,early
CPPED1,,,,,,,Tier 3,1.0,indirect,,,,,,,,,,1.398,1,,
CBL,,,,,,,Tier 2,1.0,direct,,,,,,,,,,1.015,1,,
DPEP2,,,,,,,Tier 2,1.0,indirect,,,,,,,,,,1.502,1,,
FCHSD2,,,,,,,Tier 3,1.0,indirect,,,,,,,,,,0.482,1,,
IMPDH1,,,,,,,Tier 3,1.0,indirect,,,,,,,,,,1.032,1,,
LCP1,,,,,,,Tier 1,1.0,direct,,,,,,,,,,0.931,1,,
ARNTL,,,,,,,Tier 2,1.0,indirect,,,,,,,,,,0.944,1,,
SETD1B,,,,,,,Tier 2,1.0,direct,,,,,,,,,,0.719,1,,
NOTCH1,,,,,,,,,,,,,,,,Tier 2,0.88,direct,1.062,1,,
RHAG,,,,,,,,,,,,,Tier 2,0.72,indirect,,,,1.694,1,,
SIRPA,,,,,,,,,,,,,,,,Tier 2,0.72,indirect,1.336,1,,
BNIP3L,,,,,,,,,,,,,Tier 2,0.7,indirect,,,,1.833,1,2,
GRB2,,,,,,,,,,,,,,,,Tier 2,0.69,indirect,0.818,1,,
SEMA4D,,,,,,,,,,,,,,,,Tier 2,0.59,indirect,0.964,1,,
DNAJC6,,,,Tier 2,0.5619,indirect,,,,,,,,,,,,,2.78,1,,
UBE2H,,,,,,,,,,,,,Tier 2,0.56,indirect,,,,2.258,1,,
RUNX2,,,,,,,,,,,,,,,,Tier 1,0.56,direct,1.225,1,2,
ELOVL6,,,,Tier 1,0.412,direct,,,,,,,,,,,,,1.492,1,,
MAP4K5,,,,Tier 1,0.3971,direct,,,,,,,,,,,,,1.32,1,,
ARG2,,,,Tier 1,0.3518,direct,,,,,,,,,,,,,1.789,1,,
