gene,n_runs,pipelines,best_tier,best_fc,all_direct,known_sonfh_known_genes,known_jia2023_known_genes
NLRP1,3,new_univariate_top100  univariate_rerank_top100  weka_univariate_ann,T1,1.266,True,1,
TSTA3,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,1.933,True,,
GYPA,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,3.306,True,1,
CISD2,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,2.414,True,,
BPGM,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,3.388,True,1,
PIP5K1B,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,2.02,True,,
TMCC2,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T2,2.76,True,1,
HEMGN,3,new_multivariate_top100  new_multivariate_top500  weka_multivariate,T1,2.944,True,2,
P2RY13,2,univariate_rerank_top100  weka_univariate_ann,T1,1.289,True,,
NOTCH2,2,new_univariate_top100  weka_univariate_ann,T2,1.127,False,,
IGF2,2,new_multivariate_top100  new_multivariate_top500,T3,3.452,False,,
TCF3,2,new_multivariate_top100  weka_multivariate,T2,1.508,False,,
STOM,2,new_multivariate_top100  weka_multivariate,T2,1.627,True,,
ABCG2,2,new_multivariate_top100  weka_multivariate,T2,2.33,False,,
