rank,gene,tier,relation,confidence,biomarker_potential,score,abs_fold_change,known_sonfh_known_genes,known_jia2023_known_genes
1,CXCR2,Tier 2,indirect,moderate,moderate,1.6665,1.6768,,
2,VCAN,Tier 2,indirect,moderate,moderate,1.6259,1.6353,,
3,F2RL1,Tier 2,indirect,moderate,moderate,1.4401,1.4454,,
4,WLS,Tier 2,indirect,moderate,moderate,1.4109,1.7548,,
5,ABCG1,Tier 2,indirect,moderate,moderate,1.4085,1.4131,,
6,IL6R,Tier 2,indirect,moderate,moderate,1.3649,1.3685,,
7,CCR2,Tier 2,indirect,moderate,moderate,1.3459,1.349,,
8,PTAFR,Tier 2,direct,moderate,moderate,1.3077,1.31,,
9,P2RY13,Tier 1,direct,high,strong,1.287,1.2888,,
10,NLRP1,Tier 1,direct,high,strong,1.2642,1.2655,1,
