rank,gene,tier,relation,confidence,biomarker_potential,score,abs_fold_change,known_sonfh_known_genes,known_jia2023_known_genes
1,GYPA,Tier 1,direct,high,strong,0.73,2.4458,1,
2,RHAG,Tier 2,indirect,moderate,moderate,0.72,1.6936,,
3,CISD2,Tier 1,direct,high,strong,0.71,2.0968,,
4,TSTA3,Tier 1,direct,high,strong,0.71,1.7444,,
5,BNIP3L,Tier 2,indirect,moderate,moderate,0.7,1.8325,2,
6,BPGM,Tier 1,direct,moderate,strong,0.65,3.388,1,
7,PIP5K1B,Tier 1,direct,high,strong,0.65,2.0196,,
8,TMCC2,Tier 2,direct,moderate,moderate,0.64,2.7601,1,
9,HEMGN,Tier 1,direct,high,strong,0.61,2.9438,2,
10,UBE2H,Tier 2,indirect,moderate,moderate,0.56,2.2584,,
11,TCF3,Tier 2,indirect,moderate,moderate,0.46,1.5079,,
12,STOM,Tier 2,direct,moderate,moderate,0.43,1.627,,
13,ABCG2,Tier 2,indirect,moderate,moderate,0.0,2.3299,,
